target,class,partition,count,percentage,scope
articleType,Accessory Gift Set,development,91,0.2776675922253074,development_targets_only
articleType,Baby Dolls,development,2,0.006102584444512251,development_targets_only
articleType,Backpacks,development,604,1.8429805022426997,development_targets_only
articleType,Bangle,development,50,0.15256461111280628,development_targets_only
articleType,Basketballs,development,12,0.03661550666707351,development_targets_only
articleType,Belts,development,676,2.0626735422451405,development_targets_only
articleType,Blazers,development,7,0.021359045555792877,development_targets_only
articleType,Body Wash and Scrub,development,1,0.0030512922222561255,development_targets_only
articleType,Booties,development,9,0.02746163000030513,development_targets_only
articleType,Boxers,development,34,0.10374393555670827,development_targets_only
articleType,Bra,development,251,0.7658743477862875,development_targets_only
articleType,Bracelet,development,44,0.13425685777926952,development_targets_only
articleType,Briefs,development,568,1.7331339822414793,development_targets_only
articleType,Camisoles,development,13,0.039666798889329634,development_targets_only
articleType,Capris,development,136,0.4149757422268331,development_targets_only
articleType,Caps,development,230,0.7017972111189088,development_targets_only
articleType,Casual Shoes,development,2276,6.944741097854941,development_targets_only
articleType,Churidar,development,26,0.07933359777865927,development_targets_only
articleType,Clothing Set,development,7,0.021359045555792877,development_targets_only
articleType,Clutches,development,189,0.5766942300064077,development_targets_only
articleType,Compact,development,4,0.012205168889024502,development_targets_only
articleType,Concealer,development,2,0.006102584444512251,development_targets_only
articleType,Cufflinks,development,38,0.11594910444573277,development_targets_only
articleType,Cushion Covers,development,1,0.0030512922222561255,development_targets_only
articleType,Deodorant,development,248,0.7567204711195191,development_targets_only
articleType,Dresses,development,289,0.8818234522320202,development_targets_only
articleType,Duffel Bag,development,73,0.22274433222469717,development_targets_only
articleType,Dupatta,development,99,0.3020779300033564,development_targets_only
articleType,Earrings,development,206,0.6285661977847619,development_targets_only
articleType,Eyeshadow,development,4,0.012205168889024502,development_targets_only
articleType,Flats,development,356,1.0862600311231807,development_targets_only
articleType,Flip Flops,development,734,2.239648491135996,development_targets_only
articleType,Footballs,development,7,0.021359045555792877,development_targets_only
articleType,Formal Shoes,development,517,1.5775180789064167,development_targets_only
articleType,Foundation and Primer,development,11,0.03356421444481738,development_targets_only
articleType,Fragrance Gift Set,development,47,0.1434107344460379,development_targets_only
articleType,Free Gifts,development,57,0.17392365666859916,development_targets_only
articleType,Gloves,development,18,0.05492326000061026,development_targets_only
articleType,Handbags,development,1222,3.728679095596985,development_targets_only
articleType,Hat,development,2,0.006102584444512251,development_targets_only
articleType,Headband,development,6,0.018307753333536753,development_targets_only
articleType,Heels,development,890,2.7156500778079518,development_targets_only
articleType,Highlighter and Blush,development,4,0.012205168889024502,development_targets_only
articleType,Innerwear Vests,development,205,0.6255149055625058,development_targets_only
articleType,Ipad,development,1,0.0030512922222561255,development_targets_only
articleType,Jackets,development,193,0.5888993988954322,development_targets_only
articleType,Jeans,development,472,1.4402099289048913,development_targets_only
articleType,Jeggings,development,22,0.06712842888963476,development_targets_only
articleType,Jewellery Set,development,38,0.11594910444573277,development_targets_only
