id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,year,productDisplayName,product_name_repaired,has_articleType_label,has_season_label,has_gender_label,has_usage_label,path,width,height,aspect_ratio,mode,format,file_size_bytes,sha256,product_name_key,product_family_group,family_group_basis,is_cross_role_exact_duplicate,is_cross_role_near_duplicate,has_conflicting_target_labels,conflicting_targets,pre_quarantine_reason,duplicate_group,is_cross_role_duplicate,quarantine_reason,partition,cv_fold
1163,Men,Apparel,Topwear,Tshirts,Blue,Summer,Sports,2011,Nike Sahara Team India Fanwear Round Neck Jersey,False,True,True,True,True,data/raw/teacher/train/images_train/1163.jpg,60.0,80.0,0.75,RGB,JPEG,17352,00f9e2852e2727492ea7f7bb1cd751ba7c1b012dbd5d4de141d2b08b0bd73f89,nike sahara team india fanwear round neck jersey,family_998bae6a40b82ac1,singleton,False,False,False,,,single_00f9e2852e27,False,,development,0
1164,Men,Apparel,Topwear,Tshirts,Blue,Winter,Sports,2015,Nike Men Blue T20 Indian Cricket Jersey,False,True,True,True,True,data/raw/teacher/train/images_train/1164.jpg,60.0,80.0,0.75,RGB,JPEG,24919,b2943e771e61145743485c9f2a5227479f01fcdd669aecc1d0ad6fe393efdca8,nike men blue t20 indian cricket jersey,family_9e468662812f45d0,singleton,False,False,False,,,single_b2943e771e61,False,,development,3
1165,,Apparel,Topwear,,Blue,,,2013,Nike Mean Team India Cricket Jersey,False,False,False,False,False,data/raw/teacher/train/images_train/1165.jpg,60.0,80.0,0.75,RGB,JPEG,4775,b2f466e4135c64321c7fc90d37d69e0c88d545979783a5bf4b127b109c5dcefb,nike mean team india cricket jersey,quarantine_28dbec0e0501d3cc,quarantine,False,False,True,"articleType,season,usage",conflicting_labels_exact_sha,dup_30723,False,conflicting_labels_exact_sha,quarantine,
1525,,Accessories,Bags,,Navy Blue,,,2010,Puma Deck Navy Blue Backpack,False,False,False,False,False,data/raw/teacher/train/images_train/1525.jpg,60.0,80.0,0.75,RGB,JPEG,1253,80080c8551dd98fe521a78b0969be4872ef8fe8d59608bf8fd9646df22a9da41,puma deck navy blue backpack,family_ea85b0d61253e103,singleton,False,False,False,,,single_80080c8551dd,False,,holdout,
1526,Unisex,Accessories,Bags,Backpacks,Black,Fall,Sports,2010,Puma Big Cat Backpack Black,False,True,True,True,True,data/raw/teacher/train/images_train/1526.jpg,60.0,80.0,0.75,RGB,JPEG,3605,82b23691f7b91d818d618d7ec1b2d533faaca5d8fd89216090c94b3d7cc0ff70,puma big cat backpack black,family_70c023a77b3abc66,singleton,False,False,False,,,single_82b23691f7b9,False,,development,0
1528,Men,Apparel,Topwear,Jackets,Black,Fall,Sports,2010,Puma Men Ferrari Black Fleece Jacket,False,True,True,True,True,data/raw/teacher/train/images_train/1528.jpg,60.0,80.0,0.75,RGB,JPEG,24199,67a3f5a06cb022fff81027b5a84e8efbbc206c435f5468bdd3ac21ae58048d42,puma men ferrari black fleece jacket,family_7e46d737fdcad874,singleton,False,False,False,,,single_67a3f5a06cb0,False,,development,3
1529,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,2010,Ferrari Tee,False,True,True,True,True,data/raw/teacher/train/images_train/1529.jpg,60.0,80.0,0.75,RGB,JPEG,1395,380ab41c30b5ff5b3527d3c531c3acb55a99c7b1a999546bb3daa874f6f6100a,ferrari tee,family_6f52d3110a0e41e4,singleton,False,False,False,,,single_380ab41c30b5,False,,development,1
1530,Men,Apparel,Topwear,Jackets,Red,Fall,Sports,2010,Puma Men Ferrari Track Jacket,False,True,True,True,True,data/raw/teacher/train/images_train/1530.jpg,60.0,80.0,0.75,RGB,JPEG,1513,0a319ed72c6bb81954eebf2543927a9a553adadfd2dbdf306947d507d723e284,puma men ferrari track jacket,family_8ff9538e65e6781d,singleton,False,False,False,,,single_0a319ed72c6b,False,,development,4
1531,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,2010,Puma Men Grey Solid Round Neck T-Shirt,False,True,True,True,True,data/raw/teacher/train/images_train/1531.jpg,60.0,80.0,0.75,RGB,JPEG,25960,d1675a8723b9cfbed2a0afe7e0a0e1ee94a09e2ac6ba5d0128d1ac0bbeb7d18c,puma men grey solid round neck t-shirt,family_f1294f35f19846cd,singleton,False,False,False,,,single_d1675a8723b9,False,,development,2
1532,,Apparel,Topwear,,Grey,,,2010,Puma Men Grey Leaping Cat T-shirt,False,False,False,False,False,data/raw/teacher/train/images_train/1532.jpg,60.0,80.0,0.75,RGB,JPEG,1278,c8d4e272dad87ffe2095906be10175b3fcc55687d63bbb59e2dea2d3df97a7dd,puma men grey leaping cat t-shirt,family_f76cb816b3f74ecf,singleton,False,False,False,,,single_c8d4e272dad8,False,,holdout,
