target,class,articleType,rows,families
gender,Boys,Blazers,1,1
gender,Boys,Booties,5,3
gender,Boys,Capris,11,3
gender,Boys,Casual Shoes,24,20
gender,Boys,Churidar,1,1
gender,Boys,Clothing Set,4,4
gender,Boys,Flip Flops,14,13
gender,Boys,Gloves,6,3
gender,Boys,Innerwear Vests,3,1
gender,Boys,Jackets,4,2
gender,Boys,Jeans,25,10
gender,Boys,Kurta Sets,2,2
gender,Boys,Kurtas,5,4
gender,Boys,Leggings,3,3
gender,Boys,Rompers,6,4
gender,Boys,Sandals,11,9
gender,Boys,Shirts,65,25
gender,Boys,Shorts,46,26
gender,Boys,Socks,1,1
gender,Boys,Sports Shoes,2,2
gender,Boys,Sweatshirts,2,2
gender,Boys,Trousers,4,3
gender,Boys,Tshirts,432,249
gender,Boys,Waistcoat,2,2
gender,Boys,Watches,5,5
gender,Girls,Backpacks,1,1
gender,Girls,Booties,4,2
gender,Girls,Capris,29,15
gender,Girls,Casual Shoes,14,13
gender,Girls,Clothing Set,3,3
gender,Girls,Dresses,54,36
gender,Girls,Earrings,1,1
gender,Girls,Flip Flops,6,5
gender,Girls,Gloves,6,3
gender,Girls,Innerwear Vests,5,4
gender,Girls,Jeans,13,5
gender,Girls,Leggings,16,8
gender,Girls,Lehenga Choli,2,2
gender,Girls,Rompers,5,4
gender,Girls,Salwar,4,4
gender,Girls,Sandals,39,32
gender,Girls,Shirts,1,1
gender,Girls,Shorts,32,18
gender,Girls,Skirts,20,11
gender,Girls,Tops,192,99
gender,Girls,Tshirts,88,67
gender,Girls,Watches,8,2
gender,Men,Accessory Gift Set,91,33
gender,Men,Backpacks,47,28
gender,Men,Bangle,14,2
gender,Men,Belts,443,240
gender,Men,Blazers,5,5
gender,Men,Body Wash and Scrub,1,1
gender,Men,Boxers,34,27
gender,Men,Bracelet,16,1
gender,Men,Briefs,437,307
gender,Men,Caps,94,79
gender,Men,Casual Shoes,1786,1318
gender,Men,Churidar,6,5
gender,Men,Cufflinks,38,17
gender,Men,Deodorant,157,139
gender,Men,Duffel Bag,3,2
gender,Men,Flip Flops,401,350
gender,Men,Formal Shoes,517,223
gender,Men,Fragrance Gift Set,27,26
gender,Men,Free Gifts,30,19
gender,Men,Gloves,6,6
gender,Men,Handbags,4,3
gender,Men,Heels,1,1
gender,Men,Innerwear Vests,196,155
gender,Men,Jackets,144,127
gender,Men,Jeans,263,117
gender,Men,Kurtas,51,40
gender,Men,Kurtis,2,2
gender,Men,Laptop Bag,14,10
gender,Men,Lounge Pants,29,27
gender,Men,Lounge Shorts,22,17
gender,Men,Messenger Bag,10,10
gender,Men,Mufflers,25,22
gender,Men,Nehru Jackets,4,3
gender,Men,Night suits,15,10
gender,Men,Perfume and Body Mist,266,231
gender,Men,Rain Trousers,1,1
gender,Men,Ring,25,1
