target,class,rows,families,visual_components,sha_unique,largest_family,family_concentration_ess,mixed_family_rows,mixed_visual_component_rows,article_types,effective_article_types,top_type,top_type_share,brightness_median,foreground_fraction_median,foreground_lt_015,foreground_fallback_rows
gender,Boys,684,397,486,489,16,202.7105719237435,2,0,25,4.816284719075916,Tshirts,0.631578947368421,0.9143492579460144,0.2072916666666666,33,5
gender,Girls,543,336,404,406,14,204.33056133056132,1,0,22,9.190656101534758,Tops,0.35359116022099446,0.9355457425117492,0.2083333333333333,48,3
gender,Men,17753,12345,17436,17475,51,4934.925373835434,1,1,64,17.138920905914787,Tshirts,0.2431701684222385,0.8300106525421143,0.40125,931,321
gender,Unisex,1766,1428,1760,1766,18,828.5749202975558,10,1,45,14.063658110711538,Backpacks,0.29784824462061155,0.8419599831104279,0.29499999999999993,235,59
gender,Women,12027,8401,11924,11985,80,2918.1288506929736,0,0,93,31.650793655100443,Kurtas,0.10526315789473684,0.8597785234451294,0.349375,1550,137
usage,Casual,25151,17637,24489,24585,80,6674.046496660723,679,2,110,25.911398671420987,Tshirts,0.1963341417836269,0.845650315284729,0.351875,2515,344
usage,Ethnic,2183,1351,2176,2180,37,564.0299443721151,33,0,34,5.58958546037465,Kurtas,0.6037562986715529,0.8398962616920471,0.391875,106,0
usage,Formal,1949,1016,1869,1869,23,420.617982504706,326,0,22,6.6334843674052095,Shirts,0.3709594663930221,0.8334788084030151,0.3889583333333333,138,8
usage,Home,1,1,1,1,1,1.0,0,0,1,1.0,Cushion Covers,1.0,0.8822041749954224,0.9995833333333334,0,1
usage,NA,61,49,56,60,6,32.92920353982301,12,2,14,9.417116959631292,Shoe Accessories,0.2786885245901639,0.8929231762886047,0.2347916666666666,13,1
usage,Party,12,10,12,12,3,8.0,6,0,6,3.8566247975126364,Dresses,0.5833333333333334,0.782364010810852,0.34979166666666667,1,0
usage,Smart Casual,47,37,46,47,4,28.68831168831169,16,0,9,5.730863838122673,Watches,0.3829787234042553,0.8311919569969177,0.389375,1,0
usage,Sports,3346,3020,3339,3344,20,2391.225117471166,158,0,35,5.686948242783312,Sports Shoes,0.49701135684399284,0.849273294210434,0.3020833333333333,22,165
usage,Travel,22,22,22,22,1,22.0,2,0,5,4.016838131067284,Backpacks,0.45454545454545453,0.7479419708251953,0.44604166666666667,1,6
