target,class,fold,feature,train_n,val_n,train_mean,val_mean,standardized_mean_difference,wasserstein_distance
gender,Boys,0,brightness,548,136,0.9021161695683959,0.9021097084178644,-0.00011491459833920981,0.008395373901234716
gender,Boys,0,foreground_fraction,548,136,0.22809002433090023,0.2250490196078431,-0.030560182154138967,0.014934722520394995
gender,Boys,0,near_white_fraction,548,136,0.7733048205596107,0.776968443627451,0.03682629070714818,0.014549777712179761
gender,Boys,0,foreground_center_x,548,136,0.49520985401459855,0.49681372549019603,0.10283817779685324,0.002079755259768135
gender,Boys,0,foreground_center_y,548,136,0.504698905109489,0.5050091911764706,0.01034559126035312,0.005182951373980248
gender,Girls,0,brightness,436,107,0.9184614542974244,0.9232282009080192,0.095212594687723,0.006094805563455952
gender,Girls,0,foreground_fraction,436,107,0.22891341743119262,0.22657710280373827,-0.024478551272193255,0.009489598516676684
gender,Girls,0,near_white_fraction,436,107,0.7735755925076454,0.7760591900311528,0.026329691159591443,0.009271829182028646
gender,Girls,0,foreground_center_x,436,107,0.49625382262996937,0.49338006230529585,-0.17761067814507278,0.004509274343365063
gender,Girls,0,foreground_center_y,436,107,0.5087155963302752,0.5080023364485982,-0.021300911608293907,0.0034979743633713435
gender,Men,0,brightness,14203,3550,0.822119451911338,0.8176141469243546,-0.053163499459590244,0.0046928657368515495
gender,Men,0,foreground_fraction,14203,3550,0.3821468362232804,0.3872153169014085,0.029996259969048367,0.005524104031196405
gender,Men,0,near_white_fraction,14203,3550,0.6258316566166149,0.6205132042253522,-0.032064658248065536,0.005778790553640318
gender,Men,0,foreground_center_x,14203,3550,0.49797253614149195,0.49824413145539903,0.013733289237643272,0.00046328447575578476
gender,Men,0,foreground_center_y,14203,3550,0.5082341758783356,0.5084295774647888,0.0062910305353875776,0.00043730569716971077
gender,Unisex,0,brightness,1411,355,0.8240599881707144,0.8335861278251863,0.09327982427660302,0.010742672716173908
gender,Unisex,0,foreground_fraction,1411,355,0.3204202594692495,0.31019444444444444,-0.05660527358187636,0.010892111528134088
gender,Unisex,0,near_white_fraction,1411,355,0.6846105008268367,0.6940158450704225,0.05221944097244051,0.01019633837753666
gender,Unisex,0,foreground_center_x,1411,355,0.4996515473659343,0.4998356807511737,0.014153475044030518,0.0009777303081422632
gender,Unisex,0,foreground_center_y,1411,355,0.5084484998818805,0.5122183098591548,0.07668737873816345,0.0039526041198763556
gender,Women,0,brightness,9622,2405,0.8553053360208606,0.8597246110191464,0.05704429692057293,0.004464962802429943
gender,Women,0,foreground_fraction,9622,2405,0.3300262160723569,0.32224679487179486,-0.052132006639280526,0.007956537733984189
gender,Women,0,near_white_fraction,9622,2405,0.6810891377780305,0.6883038808038808,0.04848591086097921,0.007326623135682212
gender,Women,0,foreground_center_x,9622,2405,0.4970131015270299,0.4977581427581428,0.03117244588055444,0.0008801791520247257
gender,Women,0,foreground_center_y,9622,2405,0.5134331046906396,0.5150701663201663,0.03439898747647448,0.0017094642489570724
usage,Casual,0,brightness,20114,5037,0.8379170714851709,0.8405412799999168,0.03034385828318141,0.002946400000273812
usage,Casual,0,foreground_fraction,20114,5037,0.35036062075884444,0.34729791211700084,-0.01829641043779163,0.0048546709893489545
usage,Casual,0,near_white_fraction,20114,5037,0.6590032577932619,0.6618417047184171,0.01718172230681532,0.004474936436994821
usage,Casual,0,foreground_center_x,20114,5037,0.49789353984176987,0.49834061279862346,0.022775656865101804,0.0004966691453827561
usage,Casual,0,foreground_center_y,20114,5037,0.5125393175565941,0.5136626464165177,0.026761295285358897,0.0011504130397571653
usage,Ethnic,0,brightness,1745,438,0.8419572549426453,0.8280649280439228,-0.21285529325646996,0.01394612496695052
usage,Ethnic,0,foreground_fraction,1745,438,0.3750233190967905,0.38713517884322673,0.13570103096755648,0.012161995380755729
usage,Ethnic,0,near_white_fraction,1745,438,0.6299060816168388,0.6168664383561644,-0.14602008314440482,0.013084188885704362
usage,Ethnic,0,foreground_center_x,1745,438,0.49404489016236863,0.49469178082191784,0.019227748271148926,0.0027332386945959977
usage,Ethnic,0,foreground_center_y,1745,438,0.5023961318051576,0.5019977168949772,-0.02702072967586306,0.0015373343276942634
usage,Formal,0,brightness,1566,383,0.8300299429421528,0.8202172264106591,-0.14078727764801915,0.010836860263812597
usage,Formal,0,foreground_fraction,1566,383,0.36118731789708797,0.36398063533507397,0.017511947886545715,0.009755317918206937
usage,Formal,0,near_white_fraction,1566,383,0.647576384742333,0.6440214316797215,-0.022888800219353758,0.009518004070416588
usage,Formal,0,foreground_center_x,1566,383,0.49829714772243505,0.4991949521322889,0.0321442409965639,0.002167885450950184
usage,Formal,0,foreground_center_y,1566,383,0.5082375478927202,0.5096279373368147,0.05605195645339635,0.002881795430976128
usage,NA,0,brightness,50,11,0.8558154024183751,0.8894934762607921,0.2498582763866814,0.042334265885027964
usage,NA,0,foreground_fraction,50,11,0.26609999999999995,0.24081439393939388,-0.15374255138513598,0.042571212121212135
usage,NA,0,near_white_fraction,50,11,0.7369166666666667,0.7615719696969697,0.15033612971994328,0.04246060606060609
usage,NA,0,foreground_center_x,50,11,0.49783333333333324,0.4969696969696969,-0.07058901545980714,0.002984848484848481
usage,NA,0,foreground_center_y,50,11,0.5065,0.5005681818181819,-0.13652819251480275,0.016704545454545455
usage,Party,0,brightness,9,3,0.8269137673907809,0.7824561397234598,-0.4918164860291257,0.0444576276673211
usage,Party,0,foreground_fraction,9,3,0.3163194444444444,0.38972222222222225,0.8598631839219075,0.07340277777777779
usage,Party,0,near_white_fraction,9,3,0.6906018518518519,0.6130555555555555,-0.9025117634935127,0.07754629629629631
usage,Party,0,foreground_center_x,9,3,0.48518518518518516,0.4916666666666667,0.2759457847949072,0.010185185185185235
usage,Party,0,foreground_center_y,9,3,0.5284722222222222,0.5,-0.3385857976237041,0.04375
usage,Smart Casual,0,brightness,38,9,0.828197507481826,0.7958142823643155,-0.4283454904208642,0.03892142277712013
usage,Smart Casual,0,foreground_fraction,38,9,0.3596600877192982,0.3936111111111111,0.25479176112907514,0.0640850389863548
usage,Smart Casual,0,near_white_fraction,38,9,0.6428782894736841,0.6074537037037037,-0.26799926263213353,0.06517239278752437
usage,Smart Casual,0,foreground_center_x,38,9,0.5002192982456141,0.5009259259259259,0.034387998066221774,0.0063109161793372445
usage,Smart Casual,0,foreground_center_y,38,9,0.5171052631578947,0.5187499999999999,0.04066679209154963,0.011293859649122799
usage,Sports,0,brightness,2678,668,0.8378100131455423,0.83083569106763,-0.07686461367494733,0.007200944866013046
usage,Sports,0,foreground_fraction,2678,668,0.363178237283213,0.36862971972721215,0.03055600976666917,0.005686997845856702
usage,Sports,0,near_white_fraction,2678,668,0.6436061841340968,0.6373003992015969,-0.03541504745324542,0.006723110755089275
usage,Sports,0,foreground_center_x,2678,668,0.4974887976101568,0.4973178642714571,-0.011920932726892923,0.0007270280201359775
usage,Sports,0,foreground_center_y,2678,668,0.49759926562111023,0.4978012724550898,0.006889828510696349,0.001879039251593901
usage,Travel,0,brightness,18,4,0.7688004308276706,0.6572234779596329,-1.1189942185130473,0.11157695286803776
usage,Travel,0,foreground_fraction,18,4,0.5148958333333333,0.6681770833333334,0.4704564102918285,0.16734374999999999
usage,Travel,0,near_white_fraction,18,4,0.4876388888888889,0.3324479166666666,-0.47310828694629814,0.16926504629629632
usage,Travel,0,foreground_center_x,18,4,0.5055555555555556,0.5020833333333333,-0.4049272149198231,0.007175925925925924
usage,Travel,0,foreground_center_y,18,4,0.5211805555555556,0.48906249999999996,-0.4014038029412885,0.047048611111111124
gender,Boys,1,brightness,546,138,0.9005690379675492,0.9082310618697733,0.13856025836714486,0.009074590534213845
gender,Boys,1,foreground_fraction,546,138,0.2290602106227106,0.22125452898550718,-0.08308069404636975,0.008823459149546086
gender,Boys,1,near_white_fraction,546,138,0.772420634920635,0.7804136473429951,0.08490110717914472,0.009042642140468226
gender,Boys,1,foreground_center_x,546,138,0.49542124542124544,0.4959541062801932,0.03443585569752047,0.001629107607368477
gender,Boys,1,foreground_center_y,546,138,0.504727564102564,0.5048913043478261,0.004851806673178234,0.003635630673674151
gender,Girls,1,brightness,433,110,0.918215138532273,0.9240677871487357,0.11919579134497778,0.010926682295079445
gender,Girls,1,foreground_fraction,433,110,0.23105658198614315,0.2182045454545454,-0.1352612058091163,0.014913596122891748
gender,Girls,1,near_white_fraction,433,110,0.771230273287144,0.785223484848485,0.14848791176962675,0.01639007278325985
gender,Girls,1,foreground_center_x,433,110,0.4958237105465742,0.4951515151515151,-0.04274696366574206,0.0022048428861361916
gender,Girls,1,foreground_center_y,433,110,0.507621247113164,0.5123295454545456,0.15186440393568515,0.006306030862901531
gender,Men,1,brightness,14202,3551,0.8213568405885501,0.8206654314389198,-0.008107733483733146,0.0012385312692466126
gender,Men,1,foreground_fraction,14202,3551,0.3829052285977973,0.3841807472073594,0.00751689630734061,0.002619776256000305
