model_id,target,code,name,epoch,folds,train_macro_f1,validation_macro_f1,train_loss,validation_loss
g-e1,gender,E1,SmallCNN baseline,1,5,0.38178657,0.38772206,0.63110509,0.72945485
g-e1,gender,E1,SmallCNN baseline,2,5,0.55068599,0.43979611,0.46749444,0.67549387
g-e1,gender,E1,SmallCNN baseline,3,5,0.61649684,0.46844214,0.41432458,0.6185437
g-e1,gender,E1,SmallCNN baseline,4,5,0.65045241,0.54701401,0.38243785,0.60403865
g-e1,gender,E1,SmallCNN baseline,5,5,0.6807048,0.52269461,0.35366111,0.80835307
g-e1,gender,E1,SmallCNN baseline,6,5,0.70757734,0.49474265,0.33142264,0.65398009
g-e1,gender,E1,SmallCNN baseline,7,5,0.73071437,0.50499425,0.30859008,0.79415594
g-e1,gender,E1,SmallCNN baseline,8,5,0.74959158,0.47428027,0.28620842,0.78264464
g-e1,gender,E1,SmallCNN baseline,9,5,0.77711316,0.5033895,0.26555924,0.85404398
g-e1,gender,E1,SmallCNN baseline,10,5,0.79598148,0.47845975,0.24297314,1.46498227
g-e1,gender,E1,SmallCNN baseline,11,5,0.81824978,0.494257,0.22124649,0.98453918
g-e1,gender,E1,SmallCNN baseline,12,5,0.84027796,0.35719016,0.19817563,2.43867882
g-e1,gender,E1,SmallCNN baseline,13,5,0.86114639,0.51278134,0.17834965,1.05811319
g-e1,gender,E1,SmallCNN baseline,14,5,0.88124154,0.61555278,0.1539827,0.63706697
g-e1,gender,E1,SmallCNN baseline,15,5,0.90409629,0.42145363,0.12936091,1.48216316
g-e1,gender,E1,SmallCNN baseline,16,5,0.91706379,0.49463319,0.11304011,0.97068658
g-e1,gender,E1,SmallCNN baseline,17,5,0.93564112,0.57431125,0.09145029,0.89989293
g-e1,gender,E1,SmallCNN baseline,18,5,0.95159635,0.47549895,0.07484084,1.61475726
g-e1,gender,E1,SmallCNN baseline,19,5,0.9614963,0.55556853,0.06017644,1.07845389
g-e1,gender,E1,SmallCNN baseline,20,5,0.97376011,0.64804905,0.04666374,0.6714263
g-e1,gender,E1,SmallCNN baseline,21,5,0.98073356,0.59376271,0.03648047,1.10905108
g-e1,gender,E1,SmallCNN baseline,22,5,0.98800812,0.65219807,0.02886986,0.69307877
g-e1,gender,E1,SmallCNN baseline,23,5,0.99072528,0.67213388,0.02407892,0.60451402
g-e1,gender,E1,SmallCNN baseline,24,5,0.99428455,0.71138985,0.0193392,0.53662773
g-e1,gender,E1,SmallCNN baseline,25,5,0.99588469,0.69320793,0.01628481,0.54444417
g-e1,gender,E1,SmallCNN baseline,26,5,0.99728753,0.70864114,0.01445593,0.55321718
g-e1,gender,E1,SmallCNN baseline,27,5,0.99815412,0.70336598,0.01249803,0.52779597
g-e1,gender,E1,SmallCNN baseline,28,5,0.99821317,0.7123553,0.01165755,0.5209384
g-e1,gender,E1,SmallCNN baseline,29,5,0.9983477,0.71041724,0.011152,0.52067467
g-e1,gender,E1,SmallCNN baseline,30,5,0.99881191,0.71166794,0.01067656,0.523704
g-e2,gender,E2,Brightness jitter,1,5,0.35898172,0.37589219,0.65108018,0.80466494
g-e2,gender,E2,Brightness jitter,2,5,0.52077402,0.46260782,0.48761898,0.70145501
g-e2,gender,E2,Brightness jitter,3,5,0.5903611,0.43068783,0.43504479,0.66210551
g-e2,gender,E2,Brightness jitter,4,5,0.62874551,0.5317236,0.40229669,0.51674159
g-e2,gender,E2,Brightness jitter,5,5,0.65763231,0.50387227,0.37383254,0.8418897
g-e2,gender,E2,Brightness jitter,6,5,0.68424593,0.60465319,0.34955311,0.50096723
g-e2,gender,E2,Brightness jitter,7,5,0.70674769,0.50826158,0.32818849,0.65645445
g-e2,gender,E2,Brightness jitter,8,5,0.72750011,0.53115613,0.30663434,0.59871382
g-e2,gender,E2,Brightness jitter,9,5,0.75098477,0.56175435,0.28720255,0.54720149
g-e2,gender,E2,Brightness jitter,10,5,0.77116716,0.46088733,0.2653627,1.13631119
g-e2,gender,E2,Brightness jitter,11,5,0.79029561,0.51434729,0.24540232,0.78891783
g-e2,gender,E2,Brightness jitter,12,5,0.81398577,0.51354805,0.22267528,0.92257789
g-e2,gender,E2,Brightness jitter,13,5,0.83345083,0.54563169,0.20221997,0.8064315
g-e2,gender,E2,Brightness jitter,14,5,0.84905809,0.47467281,0.18141197,1.08946568
g-e2,gender,E2,Brightness jitter,15,5,0.87152762,0.52719859,0.15778125,0.83800016
g-e2,gender,E2,Brightness jitter,16,5,0.89067974,0.49492079,0.13978025,0.77870243
g-e2,gender,E2,Brightness jitter,17,5,0.90762285,0.64222246,0.12026604,0.71809326
g-e2,gender,E2,Brightness jitter,18,5,0.92514514,0.47467666,0.10189857,1.67833284
g-e2,gender,E2,Brightness jitter,19,5,0.93833768,0.63566622,0.08566297,0.64647235
g-e2,gender,E2,Brightness jitter,20,5,0.95342396,0.49323005,0.06910101,1.34629771
