fold,label,comparison,harmed,helped,both_wrong
pooled,Girls,training_grayscale_clean,17,19,72
pooled,Girls,remaining_color_sensitivity,36,13,76
pooled,Boys,training_grayscale_clean,14,15,79
pooled,Boys,remaining_color_sensitivity,25,13,80
pooled,Unisex,training_grayscale_clean,23,34,309
pooled,Unisex,remaining_color_sensitivity,24,31,301
0,Girls,training_grayscale_clean,15,5,30
0,Girls,remaining_color_sensitivity,28,4,41
0,Boys,training_grayscale_clean,7,7,44
0,Boys,remaining_color_sensitivity,13,8,43
0,Unisex,training_grayscale_clean,8,19,161
0,Unisex,remaining_color_sensitivity,12,13,156
4,Girls,training_grayscale_clean,2,14,42
4,Girls,remaining_color_sensitivity,8,9,35
4,Boys,training_grayscale_clean,7,8,35
4,Boys,remaining_color_sensitivity,12,5,37
4,Unisex,training_grayscale_clean,15,15,148
4,Unisex,remaining_color_sensitivity,12,18,145
