model,fold,dimensions,raw_f1,standardized_f1,train_mass_covered,val_mass_covered,effective_rows,max_weight
G2,0,gender,0.7604983529055681,0.7608722931203536,1.0,1.0,6552.941387631971,1.0183807751805356
CompactBlurCNN,0,gender,0.7175806817177809,0.7177984532768642,1.0,1.0,6552.941387631971,1.0183807751805356
G2,0,gender × articleType,0.7604983529055681,0.7670796978497936,0.9895118230358505,0.9963375553181749,6281.154078855187,6.498016781083144
CompactBlurCNN,0,gender × articleType,0.7175806817177809,0.7238729702318231,0.9895118230358505,0.9963375553181749,6281.154078855187,6.498016781083144
G2,0,gender × family_size_bin,0.7604983529055681,0.7623567224542472,1.0,1.0,6545.103957705102,1.3995728451563691
CompactBlurCNN,0,gender × family_size_bin,0.7175806817177809,0.7188492858483058,1.0,1.0,6545.103957705102,1.3995728451563691
G2,0,gender × articleType × family_size_bin,0.7604983529055681,0.7708408689133772,0.9630816170861938,0.9882496566458111,6116.080916787334,6.248093058733791
CompactBlurCNN,0,gender × articleType × family_size_bin,0.7175806817177809,0.7290534810069697,0.9630816170861938,0.9882496566458111,6116.080916787334,6.248093058733791
G2,4,gender,0.7304612751770436,0.730240086822883,1.0,1.0,6556.981614690698,1.0011662752068025
CompactBlurCNN,4,gender,0.7085293651532218,0.7082839565484039,1.0,1.0,6556.981614690698,1.0011662752068025
G2,4,gender × articleType,0.7304612751770436,0.7328156046506422,0.9919133353677144,0.998017385999695,6407.692812449731,4.251945376869088
CompactBlurCNN,4,gender × articleType,0.7085293651532218,0.7126961033363678,0.9919133353677144,0.998017385999695,6407.692812449731,4.251945376869088
G2,4,gender × family_size_bin,0.7304612751770436,0.7313389570684873,1.0,1.0,6546.590354270048,1.3654896122854623
CompactBlurCNN,4,gender × family_size_bin,0.7085293651532218,0.7100053959154906,1.0,1.0,6546.590354270048,1.3654896122854623
G2,4,gender × articleType × family_size_bin,0.7304612751770436,0.7292932704950911,0.9702471772963076,0.993442122922068,6259.18987860386,3.3140162496185535
CompactBlurCNN,4,gender × articleType × family_size_bin,0.7085293651532218,0.7039258301700867,0.9702471772963076,0.993442122922068,6259.18987860386,3.3140162496185535
