model,fold,partition,class_index,class_name,support,predicted_count,precision,recall,f1
G2,0,train,0,Boys,548,545,0.998165137614679,0.9927007299270073,0.9954254345837146
G2,0,train,1,Girls,436,435,0.9954022988505747,0.9931192660550459,0.9942594718714123
G2,0,train,2,Men,14203,14240,0.9963483146067416,0.9989438850946983,0.9976444116302781
G2,0,train,3,Unisex,1411,1377,0.9920116194625999,0.9681077250177179,0.9799139167862266
G2,0,train,4,Women,9622,9623,0.9984412345422425,0.998545001039285,0.9984931150948299
G2,0,validation,0,Boys,136,116,0.7586206896551724,0.6470588235294118,0.6984126984126984
G2,0,validation,1,Girls,107,110,0.6363636363636364,0.6542056074766355,0.6451612903225806
G2,0,validation,2,Men,3550,3683,0.9177301113222917,0.952112676056338,0.9346052813493709
G2,0,validation,3,Unisex,355,255,0.7294117647058823,0.523943661971831,0.6098360655737705
G2,0,validation,4,Women,2405,2389,0.9175387191293428,0.9114345114345115,0.9144764288694202
G2,4,train,0,Boys,546,544,0.9981617647058824,0.9945054945054945,0.9963302752293578
G2,4,train,1,Girls,434,432,0.9976851851851852,0.9930875576036866,0.9953810623556582
G2,4,train,2,Men,14201,14222,0.9974687104486007,0.9989437363565946,0.9982056784998066
G2,4,train,3,Unisex,1413,1388,0.9927953890489913,0.9752300070771408,0.9839343091752945
G2,4,train,4,Women,9622,9630,0.9986500519210799,0.9994803575140303,0.9990650322044463
G2,4,validation,0,Boys,138,152,0.618421052631579,0.6811594202898551,0.6482758620689655
G2,4,validation,1,Girls,109,82,0.6341463414634146,0.47706422018348627,0.5445026178010473
G2,4,validation,2,Men,3552,3634,0.9284534947716016,0.9498873873873874,0.9390481491789591
G2,4,validation,3,Unisex,353,305,0.6459016393442623,0.5580736543909348,0.5987841945288753
G2,4,validation,4,Women,2405,2384,0.925755033557047,0.9176715176715177,0.9216955523073711
CompactBlurCNN,0,train,0,Boys,548,574,0.8414634146341463,0.8813868613138686,0.8609625668449197
CompactBlurCNN,0,train,1,Girls,436,386,0.8704663212435233,0.7706422018348624,0.8175182481751825
CompactBlurCNN,0,train,2,Men,14203,14584,0.9594075699396599,0.9851439836654228,0.9721054642720672
CompactBlurCNN,0,train,3,Unisex,1411,1026,0.8771929824561403,0.6378454996456414,0.7386130488305294
CompactBlurCNN,0,train,4,Women,9622,9650,0.9700518134715026,0.9728746622323842,0.9714611872146118
CompactBlurCNN,0,validation,0,Boys,136,127,0.6614173228346457,0.6176470588235294,0.6387832699619771
CompactBlurCNN,0,validation,1,Girls,107,87,0.632183908045977,0.514018691588785,0.5670103092783505
CompactBlurCNN,0,validation,2,Men,3550,3663,0.911001911001911,0.94,0.9252738111742687
CompactBlurCNN,0,validation,3,Unisex,355,239,0.6903765690376569,0.4647887323943662,0.5555555555555556
CompactBlurCNN,0,validation,4,Women,2405,2437,0.895363151415675,0.9072765072765073,0.9012804626187527
CompactBlurCNN,4,train,0,Boys,546,563,0.8650088809946714,0.891941391941392,0.8782687105500452
CompactBlurCNN,4,train,1,Girls,434,415,0.8578313253012049,0.8202764976958525,0.8386336866902238
CompactBlurCNN,4,train,2,Men,14201,14487,0.9623800648857597,0.9817618477572002,0.9719743446737311
CompactBlurCNN,4,train,3,Unisex,1413,1158,0.8557858376511226,0.7013446567586695,0.7709062621548035
CompactBlurCNN,4,train,4,Women,9622,9593,0.9697696236839362,0.9668468093951361,0.9683060109289617
CompactBlurCNN,4,validation,0,Boys,138,143,0.6223776223776224,0.644927536231884,0.6334519572953737
CompactBlurCNN,4,validation,1,Girls,109,86,0.627906976744186,0.4954128440366973,0.5538461538461539
CompactBlurCNN,4,validation,2,Men,3552,3622,0.9168967421314191,0.9349662162162162,0.9258433231112351
CompactBlurCNN,4,validation,3,Unisex,353,281,0.594306049822064,0.4730878186968839,0.5268138801261829
CompactBlurCNN,4,validation,4,Women,2405,2425,0.8989690721649485,0.9064449064449065,0.9026915113871636
