model,fold,dimensions,slice,train,validation,accuracy_gap
CompactBlurCNN,0,articleType,Accessory Gift Set,1.0,1.0,0.0
CompactBlurCNN,0,articleType,Baby Dolls,1.0,,
CompactBlurCNN,0,articleType,Backpacks,0.911340206185567,0.7226890756302521,0.1886511305553149
CompactBlurCNN,0,articleType,Bangle,0.90625,1.0,-0.09375
CompactBlurCNN,0,articleType,Basketballs,0.7777777777777778,0.6666666666666666,0.11111111111111116
CompactBlurCNN,0,articleType,Belts,0.9464944649446494,0.8656716417910447,0.08082282315360467
CompactBlurCNN,0,articleType,Blazers,1.0,1.0,0.0
CompactBlurCNN,0,articleType,Body Wash and Scrub,1.0,,
CompactBlurCNN,0,articleType,Booties,0.5714285714285714,0.0,0.5714285714285714
CompactBlurCNN,0,articleType,Boxers,1.0,1.0,0.0
CompactBlurCNN,0,articleType,Bra,1.0,1.0,0.0
CompactBlurCNN,0,articleType,Bracelet,0.9642857142857143,0.25,0.7142857142857143
CompactBlurCNN,0,articleType,Briefs,0.9978070175438597,0.9642857142857143,0.033521303258145396
CompactBlurCNN,0,articleType,Camisoles,1.0,1.0,0.0
CompactBlurCNN,0,articleType,Capris,0.8636363636363636,0.5,0.36363636363636365
CompactBlurCNN,0,articleType,Caps,0.7945945945945946,0.4666666666666667,0.3279279279279279
CompactBlurCNN,0,articleType,Casual Shoes,0.9312809235843871,0.8512035010940919,0.08007742249029515
CompactBlurCNN,0,articleType,Churidar,0.9523809523809523,1.0,-0.04761904761904767
CompactBlurCNN,0,articleType,Clothing Set,1.0,1.0,0.0
CompactBlurCNN,0,articleType,Clutches,1.0,0.8648648648648649,0.1351351351351351
CompactBlurCNN,0,articleType,Compact,1.0,,
CompactBlurCNN,0,articleType,Concealer,1.0,,
CompactBlurCNN,0,articleType,Cufflinks,1.0,1.0,0.0
CompactBlurCNN,0,articleType,Cushion Covers,1.0,,
CompactBlurCNN,0,articleType,Deodorant,0.9698492462311558,0.8571428571428571,0.11270638908829866
CompactBlurCNN,0,articleType,Dresses,0.9482758620689655,0.9298245614035088,0.01845130066545675
CompactBlurCNN,0,articleType,Duffel Bag,0.7966101694915254,0.5714285714285714,0.225181598062954
CompactBlurCNN,0,articleType,Dupatta,1.0,1.0,0.0
CompactBlurCNN,0,articleType,Earrings,0.9920634920634921,1.0,-0.007936507936507908
CompactBlurCNN,0,articleType,Eyeshadow,1.0,1.0,0.0
CompactBlurCNN,0,articleType,Flats,0.9721254355400697,0.8985507246376812,0.07357471090238854
CompactBlurCNN,0,articleType,Flip Flops,0.8568994889267462,0.7619047619047619,0.0949947270219843
CompactBlurCNN,0,articleType,Footballs,0.6,0.5,0.09999999999999998
CompactBlurCNN,0,articleType,Formal Shoes,0.9951690821256038,0.9902912621359223,0.004877819989681509
CompactBlurCNN,0,articleType,Foundation and Primer,1.0,1.0,0.0
