fold,model,condition,label,support,precision,recall,f1,predicted_count
pooled,D30,clean,Boys,274,0.6870229007633588,0.656934306569343,0.6716417910447762,262
pooled,D30,clean,Girls,216,0.6127450980392157,0.5787037037037037,0.5952380952380952,204
pooled,D30,clean,Men,7102,0.9215552523874488,0.9511405237961138,0.9361141906873615,7330
pooled,D30,clean,Unisex,708,0.6899810964083176,0.5155367231638418,0.5901374292643492,529
pooled,D30,clean,Women,4810,0.9201671891327063,0.9153846153846154,0.9177696717040125,4785
pooled,D30,gray,Boys,274,0.6411290322580645,0.5802919708029197,0.6091954022988506,248
pooled,D30,gray,Girls,216,0.6,0.2777777777777778,0.379746835443038,100
pooled,D30,gray,Men,7102,0.8797729618163055,0.9602928752464095,0.9182711727480813,7752
pooled,D30,gray,Unisex,708,0.7023346303501945,0.5098870056497176,0.5908346972176759,514
pooled,D30,gray,Women,4810,0.9237099644128114,0.8634095634095634,0.892542445733935,4496
pooled,D45,clean,Boys,274,0.6515151515151515,0.6277372262773723,0.6394052044609665,264
pooled,D45,clean,Girls,216,0.6062176165803109,0.5416666666666666,0.5721271393643031,193
pooled,D45,clean,Men,7102,0.9181446111869032,0.9476203886229231,0.9326496674057649,7330
pooled,D45,clean,Unisex,708,0.6820702402957486,0.5211864406779662,0.5908726981585268,541
pooled,D45,clean,Women,4810,0.9155165202843998,0.9101871101871102,0.9128440366972477,4782
pooled,D45,gray,Boys,274,0.6228813559322034,0.5364963503649635,0.5764705882352941,236
pooled,D45,gray,Girls,216,0.625,0.30092592592592593,0.40625,104
pooled,D45,gray,Men,7102,0.8683976072292223,0.9607152914671924,0.912226753125209,7857
pooled,D45,gray,Unisex,708,0.7075664621676891,0.4887005649717514,0.5781119465329991,489
pooled,D45,gray,Women,4810,0.921112115732369,0.8471933471933472,0.8826077539527832,4424
pooled,G2,clean,Boys,274,0.6791044776119403,0.6642335766423357,0.6715867158671587,268
pooled,G2,clean,Girls,216,0.6354166666666666,0.5648148148148148,0.5980392156862745,192
pooled,G2,clean,Men,7102,0.923055897225639,0.9509997183891862,0.9368194743047368,7317
pooled,G2,clean,Unisex,708,0.6839285714285714,0.5409604519774012,0.6041009463722398,560
pooled,G2,clean,Women,4810,0.9216425728053635,0.9145530145530145,0.9180841072732965,4773
pooled,G2,gray,Boys,274,0.6504065040650406,0.583941605839416,0.6153846153846154,246
pooled,G2,gray,Girls,216,0.5873015873015873,0.3425925925925926,0.4327485380116959,126
pooled,G2,gray,Men,7102,0.8921401390893583,0.9573359617009293,0.9235889424709638,7621
pooled,G2,gray,Unisex,708,0.7051282051282052,0.5437853107344632,0.6140350877192983,546
pooled,G2,gray,Women,4810,0.9216801575147671,0.8758835758835759,0.8981984863021,4571
pooled,E6,clean,Boys,274,0.6733870967741935,0.6094890510948905,0.6398467432950191,248
pooled,E6,clean,Girls,216,0.6089385474860335,0.5046296296296297,0.5518987341772152,179
pooled,E6,clean,Men,7102,0.9128839358521337,0.945789918332864,0.929045643153527,7358
pooled,E6,clean,Unisex,708,0.6801470588235294,0.5225988700564972,0.5910543130990416,544
pooled,E6,clean,Women,4810,0.9056682702363522,0.9002079002079002,0.9029298300490043,4781
pooled,E6,gray,Boys,274,0.6510638297872341,0.5583941605839416,0.6011787819253438,235
pooled,E6,gray,Girls,216,0.635593220338983,0.3472222222222222,0.4491017964071856,118
pooled,E6,gray,Men,7102,0.880374074555137,0.9543790481554492,0.9158840618877103,7699
pooled,E6,gray,Unisex,708,0.6812977099236641,0.5042372881355932,0.5795454545454546,524
pooled,E6,gray,Women,4810,0.9128804587560653,0.8604989604989605,0.885916095890411,4534
0,D30,clean,Boys,136,0.7391304347826086,0.625,0.6772908366533864,115
0,D30,clean,Girls,107,0.6371681415929203,0.6728971962616822,0.6545454545454545,113
0,D30,clean,Men,3550,0.919087700244366,0.9535211267605633,0.9359878335407161,3683
0,D30,clean,Unisex,355,0.7322175732217573,0.49295774647887325,0.5892255892255892,239
0,D30,clean,Women,2405,0.9171868497711194,0.9164241164241165,0.9168053244592346,2403
0,D30,gray,Boys,136,0.7115384615384616,0.5441176470588235,0.6166666666666667,104
0,D30,gray,Girls,107,0.5660377358490566,0.2803738317757009,0.375,53
0,D30,gray,Men,3550,0.8751282051282051,0.9614084507042253,0.916241610738255,3900
0,D30,gray,Unisex,355,0.7444933920704846,0.476056338028169,0.5807560137457045,227
0,D30,gray,Women,2405,0.9144997796386073,0.8627858627858628,0.887890457851947,2269
0,D45,clean,Boys,136,0.6528925619834711,0.5808823529411765,0.6147859922178989,121
0,D45,clean,Girls,107,0.6224489795918368,0.5700934579439252,0.5951219512195122,98
0,D45,clean,Men,3550,0.918322896814593,0.9501408450704225,0.9339609580506715,3673
0,D45,clean,Unisex,355,0.728744939271255,0.5070422535211268,0.5980066445182725,247
0,D45,clean,Women,2405,0.9121789560894781,0.9155925155925156,0.9138825482465242,2414
0,D45,gray,Boys,136,0.6666666666666666,0.5147058823529411,0.5809128630705395,105
0,D45,gray,Girls,107,0.5769230769230769,0.2803738317757009,0.37735849056603776,52
0,D45,gray,Men,3550,0.8687229161356105,0.96,0.9120835006021678,3923
0,D45,gray,Unisex,355,0.7466666666666667,0.4732394366197183,0.5793103448275863,225
0,D45,gray,Women,2405,0.9172597864768683,0.8573804573804574,0.8863099075865033,2248
0,G2,clean,Boys,136,0.7586206896551724,0.6470588235294118,0.6984126984126984,116
0,G2,clean,Girls,107,0.6363636363636364,0.6542056074766355,0.6451612903225806,110
0,G2,clean,Men,3550,0.9177301113222917,0.952112676056338,0.9346052813493709,3683
0,G2,clean,Unisex,355,0.7294117647058823,0.523943661971831,0.6098360655737705,255
0,G2,clean,Women,2405,0.9175387191293428,0.9114345114345115,0.9144764288694202,2389
0,G2,gray,Boys,136,0.7372881355932204,0.6397058823529411,0.6850393700787402,118
0,G2,gray,Girls,107,0.55,0.308411214953271,0.39520958083832336,60
0,G2,gray,Men,3550,0.8868660598179454,0.9605633802816902,0.9222447599729547,3845
0,G2,gray,Unisex,355,0.7520325203252033,0.5211267605633803,0.6156405990016639,246
