sheet,id,fold,label,family,selection
boys_regressions_1,8326,0,Boys,family_4b2a043526e3d497,See README for selection; this is not a random prevalence sample.
boys_regressions_1,21848,0,Boys,family_8a04588eefa8fdf6,See README for selection; this is not a random prevalence sample.
boys_regressions_1,31104,0,Boys,family_ebd9a67a71d5234c,See README for selection; this is not a random prevalence sample.
boys_regressions_1,31147,0,Boys,family_21684baa1b9fd9e1,See README for selection; this is not a random prevalence sample.
boys_regressions_1,34689,0,Boys,family_17679a13bcbcf6b7,See README for selection; this is not a random prevalence sample.
boys_regressions_1,38493,0,Boys,family_3744da9fb8eeb45b,See README for selection; this is not a random prevalence sample.
boys_regressions_1,48246,0,Boys,family_8192609673590f1c,See README for selection; this is not a random prevalence sample.
boys_regressions_1,2720,4,Boys,family_2fffc4b65cb862bc,See README for selection; this is not a random prevalence sample.
boys_regressions_1,3806,4,Boys,family_034989d64798cc03,See README for selection; this is not a random prevalence sample.
boys_regressions_1,3815,4,Boys,family_c5012fb6613af708,See README for selection; this is not a random prevalence sample.
boys_regressions_1,30722,4,Boys,family_625f69203dc87f82,See README for selection; this is not a random prevalence sample.
boys_regressions_1,34104,4,Boys,family_57c37833f51386c7,See README for selection; this is not a random prevalence sample.
boys_regressions_1,34683,4,Boys,family_124b618be4229c12,See README for selection; this is not a random prevalence sample.
boys_regressions_1,35892,4,Boys,family_05a923bfeba80f8e,See README for selection; this is not a random prevalence sample.
boys_regressions_1,36746,4,Boys,family_eba45bd736147a13,See README for selection; this is not a random prevalence sample.
boys_regressions_1,38494,4,Boys,family_549b82a47a6dc1c7,See README for selection; this is not a random prevalence sample.
boys_regressions_2,46959,4,Boys,family_ffb370582c7af5c0,See README for selection; this is not a random prevalence sample.
boys_regressions_2,46962,4,Boys,family_f52cbf7d4696920f,See README for selection; this is not a random prevalence sample.
boys_regressions_2,47117,4,Boys,family_cf33bf6094c02aed,See README for selection; this is not a random prevalence sample.
girls_regressions_1,2740,0,Girls,family_f7c08cbf489b79dd,See README for selection; this is not a random prevalence sample.
girls_regressions_1,33268,0,Girls,family_f7ef0fc76c28739d,See README for selection; this is not a random prevalence sample.
girls_regressions_1,37209,0,Girls,family_dbe31a67d240ac8c,See README for selection; this is not a random prevalence sample.
girls_regressions_1,37587,0,Girls,family_4b8d2b0fd6f4d59e,See README for selection; this is not a random prevalence sample.
girls_regressions_1,38481,0,Girls,family_1bce6b9bdc003e50,See README for selection; this is not a random prevalence sample.
girls_regressions_1,38506,0,Girls,family_22d05056de2fd5f7,See README for selection; this is not a random prevalence sample.
girls_regressions_1,41759,0,Girls,family_9f3ea987ad750c7c,See README for selection; this is not a random prevalence sample.
girls_regressions_1,4217,4,Girls,family_7ec7bbd3677bee60,See README for selection; this is not a random prevalence sample.
girls_regressions_1,4723,4,Girls,family_5837b4e1cfa199e6,See README for selection; this is not a random prevalence sample.
girls_regressions_1,10758,4,Girls,family_4b7385013e6fc7a2,See README for selection; this is not a random prevalence sample.
girls_regressions_1,35531,4,Girls,family_920220489d2553b3,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4870,0,Men,family_ef55cea42ae85fa5,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4875,4,Men,family_92461c2176e3487f,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4959,4,Men,family_04e729a9c402868a,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4960,4,Men,family_cdcaf888b551e74f,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4970,0,Men,family_a0a82602907053ff,See README for selection; this is not a random prevalence sample.
name_label_conflicts,5021,0,Men,family_1210e6c2e909ec7c,See README for selection; this is not a random prevalence sample.
name_label_conflicts,5022,4,Men,family_6eef362598bc0d76,See README for selection; this is not a random prevalence sample.
name_label_conflicts,10670,0,Men,family_056fc87e597be327,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4886,4,Women,family_eac267edb8b1e378,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4902,4,Women,family_fbf8c469f38fb282,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4914,4,Women,family_a3b4b1d0d06dec98,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4917,0,Women,family_884419926c415ed2,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4919,0,Women,family_7cb3c8de64d6b6b4,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4930,4,Women,family_afb36973671a3f3a,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4933,4,Women,family_56a331c6be05d87a,See README for selection; this is not a random prevalence sample.
name_label_conflicts,4988,0,Women,family_7a6171f6389cbb70,See README for selection; this is not a random prevalence sample.
grayscale_failures,38496,4,Boys,family_ca68f1ea1c576cbc,See README for selection; this is not a random prevalence sample.
grayscale_failures,40154,4,Boys,family_152a8232461bccbc,See README for selection; this is not a random prevalence sample.
grayscale_failures,46962,4,Boys,family_f52cbf7d4696920f,See README for selection; this is not a random prevalence sample.
grayscale_failures,5216,0,Boys,family_9f8f6a6903c658a2,See README for selection; this is not a random prevalence sample.
grayscale_failures,37559,0,Girls,family_d6a6033eca292a8a,See README for selection; this is not a random prevalence sample.
grayscale_failures,40159,4,Girls,family_4da5bbd83b6b3f36,See README for selection; this is not a random prevalence sample.
grayscale_failures,37583,4,Girls,family_a77e49f2ecb0e399,See README for selection; this is not a random prevalence sample.
grayscale_failures,37555,0,Girls,family_0ef428f10791ea57,See README for selection; this is not a random prevalence sample.
grayscale_failures,3903,0,Girls,family_0aab5e232c5075e4,See README for selection; this is not a random prevalence sample.
grayscale_failures,40144,4,Girls,family_1a10db7392577123,See README for selection; this is not a random prevalence sample.
grayscale_failures,41756,0,Girls,family_52e642fe3ccb9e14,See README for selection; this is not a random prevalence sample.
grayscale_failures,36754,4,Girls,family_6cf932850d493ddc,See README for selection; this is not a random prevalence sample.
grayscale_failures,4784,4,Women,family_49b3fd5d946ee152,See README for selection; this is not a random prevalence sample.
grayscale_failures,51021,4,Women,family_faf6d0d49f52c86b,See README for selection; this is not a random prevalence sample.
grayscale_failures,24777,4,Women,family_df0ea362ed3bc425,See README for selection; this is not a random prevalence sample.
grayscale_failures,32157,4,Women,family_a83703962c347736,See README for selection; this is not a random prevalence sample.
shared_child_errors,14284,0,Boys,family_3845075ee50bf284,See README for selection; this is not a random prevalence sample.
shared_child_errors,37343,0,Boys,family_a756fae96165fb24,See README for selection; this is not a random prevalence sample.
shared_child_errors,12995,0,Boys,family_1a8ca8c7b9e16ae3,See README for selection; this is not a random prevalence sample.
shared_child_errors,37538,0,Boys,family_1f8eaef9257c6e73,See README for selection; this is not a random prevalence sample.
shared_child_errors,39758,0,Boys,family_cef8287a38380c4e,See README for selection; this is not a random prevalence sample.
shared_child_errors,42595,0,Boys,family_bafcae35dc442eba,See README for selection; this is not a random prevalence sample.
shared_child_errors,29177,4,Boys,family_c040a4523ace9008,See README for selection; this is not a random prevalence sample.
shared_child_errors,47111,4,Boys,family_cf33bf6094c02aed,See README for selection; this is not a random prevalence sample.
shared_child_errors,2716,0,Girls,family_cc9cf5d8f89bae4a,See README for selection; this is not a random prevalence sample.
shared_child_errors,2697,0,Girls,family_1498172a195a73ec,See README for selection; this is not a random prevalence sample.
shared_child_errors,35525,0,Girls,family_b683515e95d1f265,See README for selection; this is not a random prevalence sample.
shared_child_errors,15871,0,Girls,family_a36d7d23f7d9ed39,See README for selection; this is not a random prevalence sample.
shared_child_errors,46846,0,Girls,family_326667459d29713f,See README for selection; this is not a random prevalence sample.
shared_child_errors,34092,0,Girls,family_637dac1d20bc444d,See README for selection; this is not a random prevalence sample.
shared_child_errors,35540,0,Girls,family_124173d09df0366e,See README for selection; this is not a random prevalence sample.
shared_child_errors,35563,0,Girls,family_d38da18d74fa47d2,See README for selection; this is not a random prevalence sample.
child_recoveries,4192,0,Boys,family_fd36d80fe16f0daa,See README for selection; this is not a random prevalence sample.
child_recoveries,10054,0,Boys,family_7fedf7aaae65bdad,See README for selection; this is not a random prevalence sample.
child_recoveries,21843,4,Boys,family_775435c64c893b5d,See README for selection; this is not a random prevalence sample.
child_recoveries,35435,4,Boys,family_a1d1ff3cc57429ed,See README for selection; this is not a random prevalence sample.
child_recoveries,37511,4,Boys,family_c038704b88b61695,See README for selection; this is not a random prevalence sample.
child_recoveries,37528,0,Boys,family_cfce6bbf43ea8f12,See README for selection; this is not a random prevalence sample.
child_recoveries,37540,4,Boys,family_fb01bb8467ce90ad,See README for selection; this is not a random prevalence sample.
child_recoveries,37543,0,Boys,family_764f912d8d3095df,See README for selection; this is not a random prevalence sample.
child_recoveries,2712,4,Girls,family_abf6c4227a94db45,See README for selection; this is not a random prevalence sample.
child_recoveries,4186,0,Girls,family_f723386d3487b4a2,See README for selection; this is not a random prevalence sample.
child_recoveries,15854,4,Girls,family_edf56b44266895fa,See README for selection; this is not a random prevalence sample.
child_recoveries,23624,4,Girls,family_d0570679c09dc507,See README for selection; this is not a random prevalence sample.
child_recoveries,35523,0,Girls,family_0da073bc4e77af19,See README for selection; this is not a random prevalence sample.
child_recoveries,35529,4,Girls,family_8422de5c5d383a52,See README for selection; this is not a random prevalence sample.
child_recoveries,41299,4,Girls,family_4da5bbd83b6b3f36,See README for selection; this is not a random prevalence sample.
child_recoveries,41311,4,Girls,family_dcf3a3c34ff16b7c,See README for selection; this is not a random prevalence sample.
