gender,articleType,rows,parent_correct,weighted_correct,recovered,newly_wrong,persistent_error,net_correct,parent_errors,weighted_errors
Boys,Blazers,1,1,1,0,0,0,0,0,0
Boys,Booties,4,0,0,0,0,4,0,4,4
Boys,Capris,2,2,2,0,0,0,0,0,0
Boys,Casual Shoes,13,6,6,0,0,7,0,7,7
Boys,Clothing Set,1,0,1,1,0,0,1,1,0
Boys,Flip Flops,5,1,3,2,0,2,2,4,2
Boys,Gloves,4,1,2,1,0,2,1,3,2
Boys,Jackets,4,0,0,0,0,4,0,4,4
Boys,Jeans,13,8,6,2,4,3,-2,5,7
Boys,Kurtas,1,1,1,0,0,0,0,0,0
Boys,Rompers,3,2,3,1,0,0,1,1,0
Boys,Sandals,5,1,2,1,0,3,1,4,3
Boys,Shirts,49,45,49,4,0,0,4,4,0
Boys,Shorts,29,18,19,2,1,9,1,11,10
Boys,Sports Shoes,1,0,1,1,0,0,1,1,0
Boys,Sweatshirts,4,3,3,0,0,1,0,1,1
Boys,Trousers,9,3,6,3,0,3,3,6,3
Boys,Tshirts,203,168,167,11,12,24,-1,35,36
Boys,Watches,5,0,0,0,0,5,0,5,5
Girls,Capris,20,16,17,3,2,1,1,4,3
Girls,Casual Shoes,11,3,4,2,1,6,1,8,7
Girls,Clothing Set,2,2,2,0,0,0,0,0,0
Girls,Dresses,35,28,30,3,1,4,2,7,5
Girls,Flip Flops,2,0,1,1,0,1,1,2,1
Girls,Gloves,2,2,2,0,0,0,0,0,0
Girls,Innerwear Vests,3,2,2,0,0,1,0,1,1
Girls,Jeans,9,6,7,1,0,2,1,3,2
Girls,Leggings,3,2,3,1,0,0,1,1,0
Girls,Lehenga Choli,1,1,1,0,0,0,0,0,0
Girls,Rompers,2,2,2,0,0,0,0,0,0
Girls,Sandals,17,6,9,3,0,8,3,11,8
Girls,Shorts,17,12,12,0,0,5,0,5,5
Girls,Skirts,14,8,8,1,1,5,0,6,6
Girls,Tops,107,89,93,4,0,14,4,18,14
Girls,Tshirts,39,30,24,0,6,9,-6,9,15
Girls,Watches,1,0,0,0,0,1,0,1,1
Men,Accessory Gift Set,35,35,35,0,0,0,0,0,0
Men,Backpacks,23,0,1,1,0,22,1,23,22
Men,Bangle,13,2,3,3,2,8,1,11,10
Men,Belts,178,166,162,1,5,11,-4,12,16
Men,Blazers,2,2,2,0,0,0,0,0,0
Men,Boxers,14,14,14,0,0,0,0,0,0
Men,Bracelet,16,4,8,4,0,8,4,12,8
Men,Briefs,175,174,174,1,1,0,0,1,1
Men,Caps,41,19,21,6,4,16,2,22,20
Men,Casual Shoes,708,683,667,3,19,22,-16,25,41
Men,Cufflinks,20,17,15,0,2,3,-2,3,5
Men,Deodorant,64,56,53,0,3,8,-3,8,11
Men,Duffel Bag,2,1,0,0,1,1,-1,1,2
Men,Flip Flops,162,151,142,2,11,9,-9,11,20
Men,Formal Shoes,205,204,204,0,0,1,0,1,1
Men,Fragrance Gift Set,14,14,13,0,1,0,-1,0,1
Men,Free Gifts,9,8,7,0,1,1,-1,1,2
Men,Gloves,2,2,2,0,0,0,0,0,0
Men,Handbags,3,1,1,0,0,2,0,2,2
Men,Heels,1,1,1,0,0,0,0,0,0
Men,Innerwear Vests,77,74,72,0,2,3,-2,3,5
Men,Jackets,44,44,44,0,0,0,0,0,0
Men,Jeans,108,108,105,0,3,0,-3,0,3
Men,Kurtas,21,21,21,0,0,0,0,0,0
Men,Laptop Bag,3,1,1,0,0,2,0,2,2
Men,Lounge Pants,14,14,14,0,0,0,0,0,0
Men,Lounge Shorts,9,8,8,0,0,1,0,1,1
Men,Messenger Bag,3,1,0,0,1,2,-1,2,3
Men,Mufflers,8,6,5,0,1,2,-1,2,3
Men,Nehru Jackets,1,1,1,0,0,0,0,0,0
Men,Night suits,8,6,6,0,0,2,0,2,2
Men,Perfume and Body Mist,106,81,81,7,7,18,0,25,25
Men,Rain Trousers,1,1,1,0,0,0,0,0,0
Men,Sandals,240,232,229,0,3,8,-3,8,11
Men,Scarves,13,10,10,0,0,3,0,3,3
Men,Shirts,905,905,903,0,2,0,-2,0,2
Men,Shorts,115,103,99,0,4,12,-4,12,16
Men,Socks,161,152,143,4,13,5,-9,9,18
Men,Sports Sandals,11,11,11,0,0,0,0,0,0
Men,Sports Shoes,520,504,486,1,19,15,-18,16,34
Men,Stoles,1,1,1,0,0,0,0,0,0
Men,Sunglasses,212,200,191,1,10,11,-9,12,21
Men,Suspenders,13,13,13,0,0,0,0,0,0
Men,Sweaters,61,61,61,0,0,0,0,0,0
Men,Sweatshirts,65,64,61,0,3,1,-3,1,4
Men,Ties,69,69,69,0,0,0,0,0,0
Men,Tops,1,1,1,0,0,0,0,0,0
Men,Track Pants,71,65,64,0,1,6,-1,6,7
Men,Tracksuits,10,10,10,0,0,0,0,0,0
Men,Trousers,135,133,133,0,0,2,0,2,2
Men,Trunk,46,45,46,1,0,0,1,1,0
Men,Tshirts,1697,1677,1671,2,8,18,-6,20,26
Men,Waistcoat,3,3,3,0,0,0,0,0,0
Men,Wallets,133,126,124,0,2,7,-2,7,9
Men,Watches,449,413,397,9,25,27,-16,36,52
Men,Water Bottle,2,1,1,0,0,1,0,1,1
Unisex,Backpacks,213,186,182,4,8,23,-4,27,31
Unisex,Basketballs,5,4,5,1,0,0,1,1,0
Unisex,Belts,3,0,0,0,0,3,0,3,3
Unisex,Caps,43,33,33,2,2,8,0,10,10
Unisex,Casual Shoes,75,25,44,20,1,30,19,50,31
Unisex,Cushion Covers,1,0,0,0,0,1,0,1,1
Unisex,Deodorant,1,0,0,0,0,1,0,1,1
Unisex,Duffel Bag,21,16,17,2,1,3,1,5,4
Unisex,Flip Flops,47,20,25,5,0,22,5,27,22
Unisex,Footballs,3,0,0,0,0,3,0,3,3
Unisex,Handbags,20,7,6,0,1,13,-1,13,14
Unisex,Headband,3,0,0,0,0,3,0,3,3
Unisex,Jeans,3,0,0,0,0,3,0,3,3
Unisex,Laptop Bag,21,15,17,2,0,4,2,6,4
Unisex,Messenger Bag,11,4,5,1,0,6,1,7,6
Unisex,Mobile Pouch,2,1,1,0,0,1,0,1,1
Unisex,Perfume and Body Mist,2,0,0,0,0,2,0,2,2
Unisex,Rucksacks,4,3,2,0,1,1,-1,1,2
Unisex,Sandals,33,17,20,3,0,13,3,16,13
Unisex,Scarves,4,0,0,0,0,4,0,4,4
Unisex,Shoe Accessories,8,0,0,0,0,8,0,8,8
Unisex,Socks,23,2,5,4,1,17,3,21,18
Unisex,Sports Sandals,3,0,0,0,0,3,0,3,3
Unisex,Sports Shoes,17,1,1,0,0,16,0,16,16
Unisex,Sunglasses,48,8,8,3,3,37,0,40,40
Unisex,Swimwear,2,0,0,0,0,2,0,2,2
Unisex,Tablet Sleeve,1,0,0,0,0,1,0,1,1
Unisex,Travel Accessory,4,1,1,1,1,2,0,3,3
Unisex,Trolley Bag,1,0,0,0,0,1,0,1,1
Unisex,Tshirts,24,12,12,0,0,12,0,12,12
Unisex,Waist Pouch,6,2,2,0,0,4,0,4,4
Unisex,Wallets,7,0,0,0,0,7,0,7,7
Unisex,Watches,44,13,16,4,1,27,3,31,28
Unisex,Water Bottle,2,0,0,0,0,2,0,2,2
Unisex,Wristbands,2,0,0,0,0,2,0,2,2
Women,Backpacks,9,3,5,2,0,4,2,6,4
Women,Bangle,18,17,15,0,2,1,-2,1,3
Women,Belts,89,65,61,1,5,23,-4,24,28
Women,Bra,99,99,98,0,1,0,-1,0,1
