model,basis,class_index,class_name,support,predicted_count,precision,recall,f1
G2,name_truth,0,Boys,356,268,0.7910447761194029,0.5955056179775281,0.6794871794871795
G2,name_truth,1,Girls,285,192,0.765625,0.5157894736842106,0.6163522012578617
G2,name_truth,2,Men,7023,7317,0.9189558562252289,0.9574256015947601,0.9377963737796374
G2,name_truth,3,Unisex,707,560,0.6839285714285714,0.5417256011315418,0.6045777426992897
G2,name_truth,4,Women,4739,4773,0.914309658495705,0.9208693817261026,0.9175777964676199
G2,original_teacher,0,Boys,274,268,0.6791044776119403,0.6642335766423357,0.6715867158671587
G2,original_teacher,1,Girls,216,192,0.6354166666666666,0.5648148148148148,0.5980392156862745
G2,original_teacher,2,Men,7102,7317,0.923055897225639,0.9509997183891862,0.9368194743047368
G2,original_teacher,3,Unisex,708,560,0.6839285714285714,0.5409604519774012,0.6041009463722398
G2,original_teacher,4,Women,4810,4773,0.9216425728053635,0.9145530145530145,0.9180841072732966
E6,name_truth,0,Boys,356,248,0.7741935483870968,0.5393258426966292,0.6357615894039735
E6,name_truth,1,Girls,285,179,0.7597765363128491,0.47719298245614034,0.5862068965517241
E6,name_truth,2,Men,7023,7358,0.9077194889915738,0.9510180834401253,0.9288644739586956
E6,name_truth,3,Unisex,707,544,0.6783088235294118,0.521923620933522,0.5899280575539568
E6,name_truth,4,Women,4739,4781,0.8985567872829952,0.9065203629457691,0.9025210084033612
E6,original_teacher,0,Boys,274,248,0.6733870967741935,0.6094890510948905,0.6398467432950191
E6,original_teacher,1,Girls,216,179,0.6089385474860335,0.5046296296296297,0.5518987341772152
E6,original_teacher,2,Men,7102,7358,0.9128839358521337,0.945789918332864,0.929045643153527
E6,original_teacher,3,Unisex,708,544,0.6801470588235294,0.5225988700564972,0.5910543130990416
E6,original_teacher,4,Women,4810,4781,0.9056682702363522,0.9002079002079002,0.9029298300490043
Gray10,name_truth,0,Boys,356,264,0.803030303030303,0.5955056179775281,0.6838709677419355
Gray10,name_truth,1,Girls,285,195,0.7897435897435897,0.5403508771929825,0.6416666666666666
Gray10,name_truth,2,Men,7023,7292,0.9186780032912781,0.9538658692866296,0.9359413202933986
Gray10,name_truth,3,Unisex,707,546,0.6868131868131868,0.5304101838755304,0.5985634477254589
Gray10,name_truth,4,Women,4739,4813,0.9075420735508,0.9217134416543574,0.914572864321608
Gray10,original_teacher,0,Boys,274,264,0.6856060606060606,0.6605839416058394,0.6728624535315985
Gray10,original_teacher,1,Girls,216,195,0.6512820512820513,0.5879629629629629,0.6180048661800487
Gray10,original_teacher,2,Men,7102,7292,0.9225178277564454,0.9471979724021402,0.9346950118104767
Gray10,original_teacher,3,Unisex,708,546,0.6886446886446886,0.5310734463276836,0.5996810207336523
Gray10,original_teacher,4,Women,4810,4813,0.914190733430293,0.9147609147609148,0.9144757352177076
NameTruth,name_truth,0,Boys,356,323,0.804953560371517,0.7303370786516854,0.7658321060382915
NameTruth,name_truth,1,Girls,285,274,0.7627737226277372,0.7333333333333333,0.7477638640429338
NameTruth,name_truth,2,Men,7023,7271,0.9240819694677486,0.956713655133134,0.9401147334545963
NameTruth,name_truth,3,Unisex,707,534,0.6928838951310862,0.5233380480905233,0.596293311845286
NameTruth,name_truth,4,Women,4739,4708,0.9252336448598131,0.9191812618695927,0.922197523023182
NameTruth,original_teacher,0,Boys,274,323,0.6037151702786377,0.7116788321167883,0.6532663316582914
NameTruth,original_teacher,1,Girls,216,274,0.5474452554744526,0.6944444444444444,0.6122448979591837
NameTruth,original_teacher,2,Men,7102,7271,0.9242195021317563,0.9462123345536468,0.9350866207472344
NameTruth,original_teacher,3,Unisex,708,534,0.6928838951310862,0.5225988700564972,0.5958132045088568
NameTruth,original_teacher,4,Women,4810,4708,0.9260832625318607,0.9064449064449065,0.9161588569027107
MixUp,name_truth,0,Boys,356,322,0.8416149068322981,0.7612359550561798,0.799410029498525
MixUp,name_truth,1,Girls,285,270,0.8111111111111111,0.7684210526315789,0.7891891891891891
MixUp,name_truth,2,Men,7023,7337,0.9179501158511654,0.9589918838103375,0.9380222841225627
MixUp,name_truth,3,Unisex,707,500,0.722,0.5106082036775106,0.5981772990886495
MixUp,name_truth,4,Women,4739,4681,0.9254432813501389,0.9141169023000633,0.9197452229299363
MixUp,original_teacher,0,Boys,274,322,0.639751552795031,0.7518248175182481,0.6912751677852348
MixUp,original_teacher,1,Girls,216,270,0.5962962962962963,0.7453703703703703,0.6625514403292181
MixUp,original_teacher,2,Men,7102,7337,0.918222706828404,0.9486060264714165,0.933167116836346
MixUp,original_teacher,3,Unisex,708,500,0.722,0.5098870056497176,0.5976821192052981
MixUp,original_teacher,4,Women,4810,4681,0.9265114291817987,0.9016632016632017,0.9139184490570014
