true_label,articleType,validation_rows,validation_errors,error_rate,train_rows_f0,train_rows_f4,train_class_share_f0,train_class_share_f4,train_errors_f0,train_errors_f4,train_families_f0,train_families_f4,validation_families
Women,Sports Shoes,137,62,0.45255474452554745,263,268,0.1945266272189349,0.1977859778597786,13,22,247,253,132
Women,Watches,267,62,0.23220973782771537,553,546,0.36309914642153646,0.3561643835616438,19,29,404,400,198
Unisex,Casual Shoes,75,50,0.6666666666666666,147,150,0.08081363386476086,0.08223684210526316,32,30,139,139,68
Unisex,Sunglasses,48,40,0.8333333333333334,95,95,0.13361462728551335,0.1357142857142857,20,16,64,54,24
Men,Watches,449,36,0.0801781737193764,869,892,0.5705843729481287,0.5818656229615133,8,9,564,560,278
Boys,Tshirts,203,35,0.1724137931034483,410,401,0.08918860126169241,0.08715496631167137,4,5,240,236,122
Unisex,Watches,44,31,0.7045454545454546,87,87,0.05712409717662508,0.05675146771037182,26,26,74,74,40
Women,Casual Shoes,102,28,0.27450980392156865,214,214,0.11764705882352941,0.11732456140350878,8,13,187,189,92
Unisex,Backpacks,213,27,0.1267605633802817,420,417,0.865979381443299,0.8723849372384938,4,6,295,298,151
Unisex,Flip Flops,47,27,0.574468085106383,101,100,0.17206132879045996,0.17094017094017094,15,16,91,92,43
Men,Casual Shoes,708,25,0.03531073446327684,1432,1432,0.7872457394172623,0.7850877192982456,6,7,1051,1055,530
Men,Perfume and Body Mist,106,25,0.2358490566037736,212,214,0.5593667546174143,0.5646437994722955,9,6,182,186,94
Women,Belts,89,24,0.2696629213483146,176,185,0.3247232472324723,0.3425925925925926,7,2,129,135,60
Men,Backpacks,23,23,1.0,37,36,0.07628865979381444,0.07531380753138076,17,20,24,21,13
Men,Caps,41,22,0.5365853658536586,74,73,0.4,0.3967391304347826,5,9,61,62,35
Unisex,Socks,23,21,0.9130434782608695,47,46,0.11244019138755981,0.11031175059952038,16,14,33,31,20
Men,Tshirts,1697,20,0.011785503830288745,3384,3401,0.7361322601696759,0.7391871332319061,6,5,2735,2750,1381
Women,Handbags,467,19,0.04068522483940043,935,934,0.9560327198364008,0.9569672131147541,3,1,596,598,294
Girls,Tops,107,18,0.16822429906542055,205,206,0.1872146118721461,0.1882998171846435,1,0,121,123,62
Women,Perfume and Body Mist,82,16,0.1951219512195122,162,158,0.42744063324538256,0.41688654353562005,6,11,137,133,68
Unisex,Sports Shoes,17,16,0.9411764705882353,29,28,0.021449704142011833,0.020664206642066422,17,18,29,28,17
Unisex,Sandals,33,16,0.48484848484848486,63,64,0.10696095076400679,0.1095890410958904,10,8,57,59,30
Men,Sports Shoes,520,16,0.03076923076923077,1055,1053,0.7803254437869822,0.7771217712177122,7,5,953,947,472
Women,Sunglasses,101,15,0.1485148514851485,206,225,0.28973277074542897,0.32142857142857145,3,3,115,127,54
Unisex,Handbags,20,13,0.65,42,38,0.04294478527607362,0.0389344262295082,13,5,38,35,19
Women,Flip Flops,80,13,0.1625,146,150,0.24872231686541738,0.2564102564102564,4,8,100,100,56
