model,fold,class_name,train_f1,validation_f1,gap,contribution_to_macro_gap,train_support,validation_support
G2,0,Boys,0.8743961352657005,0.6968641114982578,0.1775320237674427,0.03550640475348854,697,171
G2,0,Girls,0.8761329305135952,0.6666666666666666,0.20946626384692857,0.041893252769385714,558,142
G2,0,Men,0.9922951862585707,0.9354256353284266,0.05686955093014412,0.011373910186028824,14054,3518
G2,0,Unisex,0.9798994974874372,0.6108374384236454,0.36906205906379186,0.07381241181275837,1409,354
G2,0,Women,0.9921045751633987,0.9148623081774228,0.07724226698597592,0.015448453397195184,9502,2368
G2,4,Boys,0.8850855745721271,0.6646884272997032,0.22039714727242388,0.04407942945448477,683,185
G2,4,Girls,0.8715874620829119,0.56,0.3115874620829119,0.062317492416582375,557,143
G2,4,Men,0.9933896567570435,0.9401877013587338,0.05320195539830974,0.010640391079661948,14067,3505
G2,4,Unisex,0.9835596854896355,0.5987841945288753,0.38477549096076014,0.07695509819215203,1410,353
G2,4,Women,0.9924198860369075,0.9202944269190326,0.07212545911787482,0.014425091823574964,9499,2371
Gray10,0,Boys,0.8638195004029009,0.6622073578595318,0.20161214254336912,0.040322428508673826,697,171
Gray10,0,Girls,0.87035175879397,0.6359832635983262,0.23436849519564373,0.04687369903912875,558,142
Gray10,0,Men,0.9828812962310672,0.9365921787709497,0.046289117460117546,0.009257823492023509,14054,3518
Gray10,0,Unisex,0.9000751314800902,0.6128500823723229,0.28722504910776736,0.05744500982155347,1409,354
Gray10,0,Women,0.9816207184628237,0.9131430951885025,0.06847762327432128,0.013695524654864255,9502,2368
Gray10,4,Boys,0.867862969004894,0.7040498442367601,0.16381312476813392,0.032762624953626786,683,185
Gray10,4,Girls,0.8591691995947315,0.6473029045643153,0.2118662950304162,0.04237325900608324,557,143
Gray10,4,Men,0.9817785282116224,0.9352900069881201,0.04648852122350222,0.009297704244700444,14067,3505
Gray10,4,Unisex,0.8954224041682173,0.5851393188854489,0.3102830852827684,0.06205661705655367,1410,353
Gray10,4,Women,0.9807370184254607,0.9160176804883182,0.06471933793714246,0.012943867587428493,9499,2371
NameTruth,0,Boys,0.9784791965566715,0.735202492211838,0.2432767043448335,0.0486553408689667,697,171
NameTruth,0,Girls,0.9848078641644327,0.7318840579710145,0.25292380619341814,0.05058476123868363,558,142
NameTruth,0,Men,0.9877539463438805,0.9394193188163037,0.04833462752757678,0.009666925505515355,14054,3518
NameTruth,0,Unisex,0.8967863894139886,0.6140939597315436,0.282692429682445,0.056538485936489004,1409,354
NameTruth,0,Women,0.9871767920958587,0.9185091598231206,0.06866763227273809,0.013733526454547618,9502,2368
NameTruth,4,Boys,0.9785977859778598,0.7932960893854748,0.18530169659238505,0.037060339318477006,683,185
NameTruth,4,Girls,0.9866190900981268,0.7632508833922261,0.22336820670590063,0.044673641341180126,557,143
NameTruth,4,Men,0.9869946282160023,0.9408134642356242,0.04618116398037808,0.009236232796075616,14067,3505
NameTruth,4,Unisex,0.9054505005561735,0.5798449612403102,0.32560553931586333,0.06512110786317267,1410,353
NameTruth,4,Women,0.9875019775352002,0.9259259259259259,0.06157605160927426,0.012315210321854852,9499,2371
