id,model_fold,true_label,predicted_label,confidence,true_probability,old_predicted_label,error_status,g2_correct,articleType,baseColour,productDisplayName,label_source,changed,has_exact_cross_label_conflict,product_family_group,sha256,path
1549,4,Men,Women,0.4648926854133606,0.2590705454349518,Men,new_error,False,Sports Shoes,White,Puma Men's Jiyu Slip On Sneaker,product_name,False,False,family_75abf1771c0d9038,4ff56ad02f7a1941c655dcd6c29f3acf137c154ca2d7512b78b6da7b790273ed,data/raw/teacher/train/images_train/1549.jpg
1551,4,Unisex,Women,0.4849284291267395,0.4082143008708954,Women,persistent_error,False,Footballs,Orange,Puma Power Cat Trainer-OB Football,original_no_cue,False,False,family_1e61da9318ad5f39,866660e64e527eebb453cef406ad1b178688817749c7194a26669abeec5ef474,data/raw/teacher/train/images_train/1551.jpg
1553,0,Unisex,Women,0.9795905351638794,0.008796175941824913,Women,persistent_error,False,Footballs,White,Puma Power Cat Hard Ground Football,original_no_cue,False,False,family_8012472a35fd4093,fb8c12e6a62a67f09455de76d5655d332499024469cc62d95436fadc1e85fa9a,data/raw/teacher/train/images_train/1553.jpg
1556,4,Unisex,Women,0.6469846963882446,0.18915213644504547,Women,persistent_error,False,Backpacks,Black,Quechua Forclaz Large  Backpack - 50 ltr Orange,original_no_cue,False,False,family_46b724b2f85d4f7b,a6540678a87eba903fd1ecd1f6aae7d4ef6c91770f2c6f2e611d3f8c7b0eeba0,data/raw/teacher/train/images_train/1556.jpg
1557,0,Unisex,Men,0.7149192690849304,0.13464388251304626,Men,persistent_error,False,Backpacks,Black,Quechua Spacious Blue-Black Backpack,original_no_cue,False,False,family_9e2d999a438d4dc3,c2c424af887e493fe2b21cba8e92ca3524f2dd81383316fcc96f20d856f4e5c3,data/raw/teacher/train/images_train/1557.jpg
1558,0,Unisex,Women,0.6631530523300171,0.22963844239711761,Women,persistent_error,False,Water Bottle,Blue,Quechua Easy-to-Carry Blue Water Bottle,original_no_cue,False,False,family_67a375e4ddcdb509,f8b5e1b211bafaa8f2317f39e22f45ec1379ccebbac361c625accfa72b0eee57,data/raw/teacher/train/images_train/1558.jpg
1566,4,Men,Unisex,0.8021506071090698,0.11247343569993973,Unisex,persistent_error,False,Caps,Black,Artengo Men Black Cap,product_name,False,False,family_a9ffbdf317b2dabf,4b2b74eb3839940a1662b957b1ed151276fe4ab5c27c2baa98ea8a0a845a3410,data/raw/teacher/train/images_train/1566.jpg
1596,0,Men,Women,0.46533748507499695,0.08771724253892899,Women,persistent_error,False,Water Bottle,Pink,Quechua Easy-to-Carry Pink Sipper,original_no_cue,False,False,family_a19fbf8bf0530ca4,0268eb07e92debee24efc514956202a5c2caf1311e719d1fd33333032ab3494b,data/raw/teacher/train/images_train/1596.jpg
1604,4,Women,Men,0.6534004807472229,0.34090256690979004,Men,persistent_error,True,Track Pants,Blue,Reebok Track Pants Women Blue,product_name,False,False,family_361603c11612df16,5682a34c29bc670df43a36e2a1345171ad7add08e04515f20433ec87b4e0ab29,data/raw/teacher/train/images_train/1604.jpg
1626,0,Unisex,Boys,0.7325502038002014,0.13082367181777954,Men,persistent_error,False,Footballs,Blue,Kipsta F300 Football Size 5 Football,original_no_cue,False,False,family_22fc91dc876c50db,6462de5aaaed2dae9af78a372351db5a6d12fad103a75e49369ed386935a15f6,data/raw/teacher/train/images_train/1626.jpg
