alpha,fold,epoch,train_mixed_loss,validation_loss,validation_macro_f1
0.2,0,1,0.7208,0.5519,0.4973
0.2,0,2,0.6223,0.526,0.6234
0.2,0,3,0.5637,0.4264,0.6807
0.2,0,4,0.5614,0.3945,0.6874
0.2,0,5,0.528,0.4181,0.7169
0.2,0,6,0.5063,0.3995,0.7349
0.2,0,7,0.4865,0.3725,0.74
0.2,0,8,0.5027,0.371,0.7264
0.2,0,9,0.474,0.3352,0.7561
0.2,0,10,0.4618,0.3725,0.709
0.2,0,11,0.4714,0.3345,0.7655
0.2,0,12,0.4332,0.3308,0.7628
0.2,0,13,0.4362,0.3319,0.7573
0.2,0,14,0.4498,0.3197,0.7616
0.2,0,15,0.4383,0.3252,0.7408
0.2,0,16,0.4126,0.2974,0.7848
0.2,0,17,0.4049,0.3215,0.8006
0.2,0,18,0.3951,0.3375,0.7827
0.2,0,19,0.3992,0.2993,0.7921
0.2,0,20,0.3991,0.285,0.784
0.2,0,21,0.3818,0.2821,0.7988
0.2,0,22,0.3813,0.2928,0.7887
0.2,0,23,0.3663,0.2927,0.8086
0.2,0,24,0.3569,0.2809,0.8025
0.2,0,25,0.3671,0.2776,0.8052
0.2,0,26,0.3717,0.2745,0.8137
0.2,0,27,0.3654,0.273,0.8073
0.2,0,28,0.3559,0.2726,0.8132
0.2,0,29,0.3631,0.2727,0.8102
0.2,0,30,0.3384,0.2716,0.8119
0.2,4,1,0.7276,0.522,0.6494
0.2,4,2,0.6215,0.4378,0.6936
0.2,4,3,0.5622,0.4103,0.6859
0.2,4,4,0.5665,0.4013,0.6777
0.2,4,5,0.5314,0.4024,0.7257
0.2,4,6,0.5054,0.3948,0.7344
0.2,4,7,0.4862,0.3929,0.7457
0.2,4,8,0.5004,0.3357,0.7578
0.2,4,9,0.4716,0.3511,0.7488
0.2,4,10,0.459,0.3212,0.7756
0.2,4,11,0.4641,0.3674,0.7452
0.2,4,12,0.4238,0.3059,0.7777
0.2,4,13,0.4358,0.3078,0.7848
0.2,4,14,0.4506,0.3892,0.7702
0.2,4,15,0.4364,0.3006,0.7969
0.2,4,16,0.4106,0.3019,0.7939
0.2,4,17,0.4036,0.2989,0.7674
0.2,4,18,0.3944,0.2897,0.7796
0.2,4,19,0.4081,0.2881,0.7847
0.2,4,20,0.4051,0.2836,0.7801
0.2,4,21,0.4013,0.2812,0.8165
0.2,4,22,0.3736,0.279,0.8002
0.2,4,23,0.3676,0.2935,0.8014
0.2,4,24,0.3576,0.2806,0.7952
0.2,4,25,0.3614,0.2729,0.8155
0.2,4,26,0.372,0.2706,0.8061
0.2,4,27,0.37,0.2721,0.8118
0.2,4,28,0.3534,0.2703,0.8072
0.2,4,29,0.3689,0.2713,0.8062
0.2,4,30,0.337,0.2689,0.8061
0.4,0,1,0.7667,0.5578,0.5172
0.4,0,2,0.663,0.4907,0.6365
0.4,0,3,0.641,0.4558,0.6433
0.4,0,4,0.6265,0.4352,0.6875
0.4,0,5,0.6187,0.4567,0.703
0.4,0,6,0.5803,0.3984,0.724
0.4,0,7,0.5623,0.3714,0.7323
0.4,0,8,0.5674,0.4448,0.6982
0.4,0,9,0.5633,0.3836,0.7317
0.4,0,10,0.5373,0.3859,0.7446
0.4,0,11,0.538,0.4036,0.736
0.4,0,12,0.5236,0.3564,0.7433
0.4,0,13,0.5256,0.3314,0.7581
0.4,0,14,0.5013,0.3252,0.7494
0.4,0,15,0.5203,0.3384,0.7504
0.4,0,16,0.5125,0.3087,0.7923
0.4,0,17,0.4973,0.357,0.7735
0.4,0,18,0.487,0.3127,0.7761
0.4,0,19,0.4686,0.3058,0.7739
0.4,0,20,0.5013,0.3029,0.769
0.4,0,21,0.4918,0.3049,0.7831
0.4,0,22,0.4573,0.3024,0.7882
0.4,0,23,0.4933,0.307,0.7895
0.4,0,24,0.4585,0.2979,0.784
0.4,0,25,0.4615,0.2901,0.7994
0.4,0,26,0.5006,0.2923,0.7905
0.4,0,27,0.4598,0.2878,0.7898
0.4,0,28,0.4599,0.2865,0.7896
0.4,0,29,0.4531,0.2882,0.7941
0.4,0,30,0.4473,0.2869,0.7967
0.4,4,1,0.7665,0.5568,0.6226
0.4,4,2,0.6661,0.4767,0.6441
0.4,4,3,0.6276,0.4193,0.6937
0.4,4,4,0.6286,0.4146,0.692
0.4,4,5,0.6149,0.4016,0.7045
0.4,4,6,0.5827,0.5913,0.6494
0.4,4,7,0.5581,0.3825,0.7436
0.4,4,8,0.5626,0.3634,0.7429
0.4,4,9,0.5661,0.3763,0.7565
0.4,4,10,0.5371,0.3701,0.7583
0.4,4,11,0.5348,0.3943,0.7416
0.4,4,12,0.5154,0.3335,0.7797
0.4,4,13,0.521,0.4303,0.7417
0.4,4,14,0.5073,0.3461,0.7609
0.4,4,15,0.5182,0.323,0.7878
0.4,4,16,0.5092,0.3083,0.787
0.4,4,17,0.4957,0.3105,0.7693
0.4,4,18,0.4863,0.3016,0.7873
0.4,4,19,0.4692,0.3073,0.7739
0.4,4,20,0.4978,0.3009,0.798
0.4,4,21,0.4908,0.2928,0.8034
0.4,4,22,0.4605,0.2941,0.801
0.4,4,23,0.464,0.2993,0.7885
0.4,4,24,0.4551,0.287,0.8051
0.4,4,25,0.4609,0.2896,0.8079
0.4,4,26,0.4864,0.2883,0.8096
0.4,4,27,0.4593,0.2824,0.8144
0.4,4,28,0.4577,0.2851,0.8049
0.4,4,29,0.4501,0.2845,0.8056
0.4,4,30,0.4559,0.2797,0.8019
