first_id,second_id,reason
amazon_berkeley_objects:B07K8SGZZW,amazon_berkeley_objects:B07T3TV3V4,source_group
amazon_berkeley_objects:B07K8SGZZW,amazon_berkeley_objects:B07T3TV3V4,normalized_title
Marks and Spencer public catalogue:ms_P60707808,Marks and Spencer public catalogue:ms_P60916612,normalized_title
Marks and Spencer public catalogue:ms_P60763031,Marks and Spencer public catalogue:ms_P60916610,normalized_title
Marks and Spencer public catalogue:ms_P60752580,Marks and Spencer public catalogue:ms_P60753999,normalized_title
Amazon Berkeley Objects:abo_B075ZTSWPK,Amazon Berkeley Objects:abo_B075ZSLX8R,source_group
Amazon Berkeley Objects:abo_B075ZTSWPK,Amazon Berkeley Objects:abo_B075ZR4TF7,source_group
Amazon Berkeley Objects:abo_B075ZTSWPK,Amazon Berkeley Objects:abo_B075ZVKLZV,source_group
Amazon Berkeley Objects:abo_B075ZTSWPK,Amazon Berkeley Objects:abo_B075ZTSWNW,source_group
Amazon Berkeley Objects:abo_B075ZTSWPK,Amazon Berkeley Objects:abo_B075ZR4VCN,source_group
Amazon Berkeley Objects:abo_B075ZV5SJ9,Amazon Berkeley Objects:abo_B075ZR4TGZ,source_group
Amazon Berkeley Objects:abo_B075ZV5SJ9,Amazon Berkeley Objects:abo_B075ZR89WY,source_group
Amazon Berkeley Objects:abo_B075ZV5SJ9,Amazon Berkeley Objects:abo_B075ZV9GBR,source_group
Amazon Berkeley Objects:abo_B075ZV5SJ9,Amazon Berkeley Objects:abo_B075ZR4TGZ,normalized_title
Amazon Berkeley Objects:abo_B075ZV5SJ9,Amazon Berkeley Objects:abo_B075ZR89WY,normalized_title
Amazon Berkeley Objects:abo_B075ZV5SJ9,Amazon Berkeley Objects:abo_B075ZV9GBR,normalized_title
Amazon Berkeley Objects:abo_B075Z1MXFM,Amazon Berkeley Objects:abo_B075Z1R5ZJ,source_group
Amazon Berkeley Objects:abo_B075Z1MXFM,Amazon Berkeley Objects:abo_B075Z1R5ZJ,normalized_title
Amazon Berkeley Objects:abo_B079TYMQYQ,Amazon Berkeley Objects:abo_B075Z54188,source_group
