model,scope,class_index,class_name,support,predicted_count,precision,recall,f1
E2,all_five_folds,0,Casual,25151,25112,0.9263300414144632,0.9248936423999046,0.925611284642779
E2,all_five_folds,1,Ethnic,2183,2200,0.8445454545454546,0.8511223087494274,0.8478211270819074
E2,all_five_folds,2,Formal,1949,1985,0.7692695214105794,0.7834787070292457,0.7763091001525164
E2,all_five_folds,3,Home,1,0,0.0,0.0,0.0
E2,all_five_folds,4,NA,61,68,0.22058823529411764,0.2459016393442623,0.23255813953488372
E2,all_five_folds,5,Party,12,9,0.0,0.0,0.0
E2,all_five_folds,6,Smart Casual,47,48,0.125,0.1276595744680851,0.12631578947368421
E2,all_five_folds,7,Sports,3346,3331,0.6814770339237466,0.6784219964136282,0.6799460835704658
E2,all_five_folds,8,Travel,22,19,0.15789473684210525,0.13636363636363635,0.14634146341463414
E2,folds_0_4,0,Casual,10065,10019,0.9261403333666035,0.9219076005961252,0.9240191196972715
E2,folds_0_4,1,Ethnic,873,893,0.832026875699888,0.8510882016036655,0.8414496036240091
E2,folds_0_4,2,Formal,779,803,0.7608966376089664,0.7843388960205392,0.7724399494311
E2,folds_0_4,3,Home,1,0,0.0,0.0,0.0
E2,folds_0_4,4,NA,22,28,0.25,0.3181818181818182,0.28
E2,folds_0_4,5,Party,6,2,0.0,0.0,0.0
E2,folds_0_4,6,Smart Casual,18,16,0.25,0.2222222222222222,0.23529411764705882
E2,folds_0_4,7,Sports,1338,1337,0.6783844427823486,0.6778774289985052,0.6781308411214954
E2,folds_0_4,8,Travel,8,12,0.08333333333333333,0.125,0.1
E3,all_five_folds,0,Casual,25151,25168,0.9260568976478067,0.9266828356725378,0.9263697609252967
E3,all_five_folds,1,Ethnic,2183,2210,0.8479638009049774,0.858451672010994,0.8531755064875939
E3,all_five_folds,2,Formal,1949,2027,0.7607301430685742,0.7911749615187276,0.7756539235412474
E3,all_five_folds,3,Home,1,0,0.0,0.0,0.0
E3,all_five_folds,4,NA,61,89,0.1797752808988764,0.26229508196721313,0.21333333333333332
E3,all_five_folds,5,Party,12,7,0.0,0.0,0.0
E3,all_five_folds,6,Smart Casual,47,53,0.07547169811320754,0.0851063829787234,0.08
E3,all_five_folds,7,Sports,3346,3198,0.6954346466541589,0.6646742378959952,0.6797066014669927
E3,all_five_folds,8,Travel,22,20,0.15,0.13636363636363635,0.14285714285714282
E3,folds_0_4,0,Casual,10065,10023,0.927267285243939,0.923397913561848,0.9253285543608124
E3,folds_0_4,1,Ethnic,873,904,0.827433628318584,0.856815578465063,0.8418683173888576
E3,folds_0_4,2,Formal,779,817,0.7539779681762546,0.7907573812580231,0.7719298245614035
E3,folds_0_4,3,Home,1,0,0.0,0.0,0.0
E3,folds_0_4,4,NA,22,39,0.20512820512820512,0.36363636363636365,0.2622950819672131
E3,folds_0_4,5,Party,6,2,0.0,0.0,0.0
E3,folds_0_4,6,Smart Casual,18,18,0.1111111111111111,0.1111111111111111,0.1111111111111111
E3,folds_0_4,7,Sports,1338,1297,0.6969930609097919,0.6756352765321375,0.686148007590133
E3,folds_0_4,8,Travel,8,10,0.1,0.125,0.11111111111111112
E8,all_five_folds,0,Casual,25151,24571,0.9262138293109764,0.9048546777464117,0.9154096778086159
E8,all_five_folds,1,Ethnic,2183,2207,0.8405074762120526,0.8497480531378836,0.8451025056947609
E8,all_five_folds,2,Formal,1949,1993,0.7586552935273457,0.775782452539764,0.7671232876712328
E8,all_five_folds,3,Home,1,0,0.0,0.0,0.0
E8,all_five_folds,4,NA,61,304,0.0756578947368421,0.3770491803278688,0.12602739726027398
E8,all_five_folds,5,Party,12,56,0.03571428571428571,0.16666666666666666,0.058823529411764705
E8,all_five_folds,6,Smart Casual,47,395,0.027848101265822784,0.23404255319148937,0.0497737556561086
E8,all_five_folds,7,Sports,3346,3122,0.7017937219730942,0.6548117154811716,0.6774891774891775
E8,all_five_folds,8,Travel,22,124,0.07258064516129033,0.4090909090909091,0.12328767123287673
E8,folds_0_4,0,Casual,10065,9812,0.9263147166734611,0.9030303030303031,0.9145243245962671
E8,folds_0_4,1,Ethnic,873,893,0.8365061590145577,0.8556701030927835,0.8459796149490375
E8,folds_0_4,2,Formal,779,795,0.7559748427672957,0.7715019255455713,0.7636594663278273
E8,folds_0_4,3,Home,1,0,0.0,0.0,0.0
E8,folds_0_4,4,NA,22,136,0.058823529411764705,0.36363636363636365,0.10126582278481011
E8,folds_0_4,5,Party,6,14,0.14285714285714285,0.3333333333333333,0.2
E8,folds_0_4,6,Smart Casual,18,139,0.02877697841726619,0.2222222222222222,0.050955414012738856
E8,folds_0_4,7,Sports,1338,1268,0.7003154574132492,0.6636771300448431,0.681504221028396
E8,folds_0_4,8,Travel,8,53,0.03773584905660377,0.25,0.06557377049180328
