model,fold,class_name,multiplier
E2,0,Casual,1.0
E2,0,Ethnic,1.8425774575839067
E2,0,Formal,1.893113585085209
E2,0,Home,1.0
E2,0,NA,4.478495172004748
E2,0,Party,6.8756535298153025
E2,0,Smart Casual,4.796547087680972
E2,0,Sports,1.6554724902605462
E2,0,Travel,5.7817124057482365
E2,1,Casual,1.0
E2,1,Ethnic,1.8421872316600825
E2,1,Formal,1.8944656567717009
E2,1,Home,1.0
E2,1,NA,4.548650090904226
E2,1,Party,6.697411663024128
E2,1,Smart Casual,4.828992857918907
E2,1,Sports,1.6560599238711307
E2,1,Travel,5.865361224355893
E2,2,Casual,1.0
E2,2,Ethnic,1.8421872316600825
E2,2,Formal,1.8953763848562657
E2,2,Home,1.0
E2,2,NA,4.524771837942319
E2,2,Party,6.697411663024128
E2,2,Smart Casual,4.796904749803959
E2,2,Sports,1.6555959331861734
E2,2,Travel,5.782143528281955
E2,3,Casual,1.0
E2,3,Ethnic,1.8428751072751774
E2,3,Formal,1.8964542204200652
E2,3,Home,1.0
E2,3,NA,4.501898940443371
E2,3,Party,6.697994115389119
E2,3,Smart Casual,4.829412819906036
E2,3,Sports,1.655894519826829
E2,3,Travel,5.8658713159686755
E2,4,Casual,1.0
E2,4,Ethnic,1.8419923607437767
E2,4,Formal,1.8972751473190237
E2,4,Home,1.0
E2,4,NA,4.478996063114774
E2,4,Party,6.876422527792622
E2,4,Smart Casual,4.797083550868442
E2,4,Sports,1.6559669107041053
E2,4,Travel,5.782359053390701
E3,0,Casual,1.0
E3,0,Ethnic,1.8425774575839067
E3,0,Formal,1.893113585085209
E3,0,Home,1.0
E3,0,NA,4.478495172004748
E3,0,Party,6.8756535298153025
E3,0,Smart Casual,4.796547087680972
E3,0,Sports,1.6554724902605462
E3,0,Travel,5.7817124057482365
E3,1,Casual,1.0
E3,1,Ethnic,1.8421872316600825
E3,1,Formal,1.8944656567717009
E3,1,Home,1.0
E3,1,NA,4.548650090904226
E3,1,Party,6.697411663024128
E3,1,Smart Casual,4.828992857918907
E3,1,Sports,1.6560599238711307
E3,1,Travel,5.865361224355893
E3,2,Casual,1.0
E3,2,Ethnic,1.8421872316600825
E3,2,Formal,1.8953763848562657
E3,2,Home,1.0
E3,2,NA,4.524771837942319
E3,2,Party,6.697411663024128
E3,2,Smart Casual,4.796904749803959
E3,2,Sports,1.6555959331861734
E3,2,Travel,5.782143528281955
E3,3,Casual,1.0
E3,3,Ethnic,1.8428751072751774
E3,3,Formal,1.8964542204200652
E3,3,Home,1.0
E3,3,NA,4.501898940443371
E3,3,Party,6.697994115389119
E3,3,Smart Casual,4.829412819906036
E3,3,Sports,1.655894519826829
E3,3,Travel,5.8658713159686755
E3,4,Casual,1.0
E3,4,Ethnic,1.8419923607437767
E3,4,Formal,1.8972751473190237
E3,4,Home,1.0
E3,4,NA,4.478996063114774
E3,4,Party,6.876422527792622
E3,4,Smart Casual,4.797083550868442
E3,4,Sports,1.6559669107041053
E3,4,Travel,5.782359053390701
E8,0,Casual,1.0
E8,0,Ethnic,1.8425774575839067
E8,0,Formal,1.893113585085209
E8,0,Home,1.0
E8,0,NA,4.478495172004748
E8,0,Party,6.8756535298153025
E8,0,Smart Casual,4.796547087680972
E8,0,Sports,1.6554724902605462
E8,0,Travel,5.7817124057482365
E8,1,Casual,1.0
E8,1,Ethnic,1.8421872316600825
E8,1,Formal,1.8944656567717009
E8,1,Home,1.0
E8,1,NA,4.548650090904226
E8,1,Party,6.697411663024128
E8,1,Smart Casual,4.828992857918907
E8,1,Sports,1.6560599238711307
E8,1,Travel,5.865361224355893
E8,2,Casual,1.0
E8,2,Ethnic,1.8421872316600825
E8,2,Formal,1.8953763848562657
E8,2,Home,1.0
E8,2,NA,4.524771837942319
E8,2,Party,6.697411663024128
E8,2,Smart Casual,4.796904749803959
E8,2,Sports,1.6555959331861734
E8,2,Travel,5.782143528281955
E8,3,Casual,1.0
E8,3,Ethnic,1.8428751072751774
E8,3,Formal,1.8964542204200652
E8,3,Home,1.0
E8,3,NA,4.501898940443371
E8,3,Party,6.697994115389119
E8,3,Smart Casual,4.829412819906036
E8,3,Sports,1.655894519826829
E8,3,Travel,5.8658713159686755
E8,4,Casual,1.0
E8,4,Ethnic,1.8419923607437767
E8,4,Formal,1.8972751473190237
E8,4,Home,1.0
E8,4,NA,4.478996063114774
E8,4,Party,6.876422527792622
E8,4,Smart Casual,4.797083550868442
E8,4,Sports,1.6559669107041053
E8,4,Travel,5.782359053390701
