model,class_name,support,class_f1_delta,contribution_to_nine_class_delta,child_predicted_count,child_true_positive,parent_true_positive
E3,Casual,25151,0.00027411480323524806,3.0457200359472008e-05,26199,23930,23861
E3,Ethnic,2183,-0.0008795328735267116,-9.772587483630129e-05,2058,1809,1813
E3,Formal,1949,0.001850856767568243,0.000205650751952027,1813,1463,1444
E3,Home,1,0.0,0.0,0,0,0
E3,NA,61,0.03517518349259108,0.003908353721399009,22,11,10
E3,Party,12,0.0,0.0,1,0,0
E3,Smart Casual,47,0.0357142857142857,0.003968253968253966,9,1,0
E3,Sports,3346,-0.007863694877971783,-0.0008737438753301981,2664,2005,2085
E3,Travel,22,0.00738916256157629,0.0008210180623973656,6,3,3
E8,Casual,25151,-0.0012383965694547916,-0.00013759961882831018,26175,23880,23861
E8,Ethnic,2183,-0.0066030507594921906,-0.0007336723066102434,2030,1785,1813
E8,Formal,1949,0.0011431426840580183,0.00012701585378422427,1819,1464,1444
E8,Home,1,0.0,0.0,0,0,0
E8,NA,61,-0.060870972964222114,-0.006763441440469124,81,12,10
E8,Party,12,0.0769230769230769,0.008547008547008544,14,1,0
E8,Smart Casual,47,0.1034482758620689,0.011494252873563211,69,6,0
E8,Sports,3346,-0.00898301067188123,-0.0009981122968756922,2557,1966,2085
E8,Travel,22,-0.002814919071076699,-0.0003127687856751888,27,5,3
E9,Casual,25151,-0.03801527920588954,-0.004223919911765505,23807,21878,23861
E9,Ethnic,2183,-0.03142938488154112,-0.0034921538757267914,2145,1780,1813
E9,Formal,1949,-0.08630384050765028,-0.009589315611961143,2349,1482,1444
E9,Home,1,0.0,0.0,0,0,0
E9,NA,61,-0.0371139731339149,-0.004123774792657211,105,16,10
E9,Party,12,0.1111111111111111,0.012345679012345678,6,1,0
E9,Smart Casual,47,0.0909090909090909,0.0101010101010101,85,6,0
E9,Sports,3346,-0.07935151891980885,-0.008816835435534317,4248,2262,2085
E9,Travel,22,-0.04363124560168899,-0.0048479161779654435,27,4,3
