notebook,cells,executed_cells,output_count,sha256
04_task3_gender_usage.ipynb,104,26,68,cb0b2992c79f97cfbb2886f78391c44d179f60694027f87db1a754c029f1758a
04a_task3_smallcnn_baseline_training.ipynb,14,7,8,d2e66fafc5a3814c2b8b7429c4a50c8a95c2b8a9f8d051e002c4afe32023850d
04b_task3_smallcnn_child_experiments.ipynb,14,7,8,394974e83999859acb5da6aa2ac8683a2e287200b775aa4db0f7ae52cbbf7dd8
04c_task3_smallcnn_e3_experiments.ipynb,14,7,8,330086ed5cd4074845cd23c975a0a9311ccd9f726fde5547bbe64b165faf3b96
04d_task3_tinyresnet18_pm_e4_experiments.ipynb,14,7,8,a5b44560be5837fa9f555cb7edfb7d17ab167ff00a19c71845ae3b9098c5a5be
04e_task3_compactblurcnn_label_smoothing_e5_experiments.ipynb,14,7,8,79572196bf7b21ea0bdd6422a354fa085358083650be6300ff4843ee9c367a5e
04f_task3_gem_focal_e6_experiments.ipynb,14,7,8,4c4841fdc55b1ed9f24ab33ac2e3654ed1a0207382685e499c127820743dce63
04g_task3_tinyconvnext_tinyhrnet_e7_experiments.ipynb,14,7,8,487b8ca0ca3c1139bf9d1d8902c8b16f0002efe3316225b427aeea39009cc875
04h_task3_early_stopping_translation_e8_experiments.ipynb,14,7,8,83491c4effa8fafe1152253ad1720196f6ae13fe1cbfcb6f21a3039a609dfa73
04i_task3_semantic_filter_exception_balance_e9_experiments.ipynb,15,8,7,b1b9f43c89af39ab2e1108e4bbb000451b60bb3f817954fd1d8559549d282b53
04j_task3_audience_aux_e10_experiment.ipynb,11,6,5,907a96e55c73a5b90d51eb211e19404d374c5f1daaef89b424aa03b6346f350a
04k_task3_clean_slate_eda.ipynb,25,9,24,12d666bb17e29ba0427d2e7ba80bc4421d6f6b2fe94f58e67351c3a3c611c911
04l_task3_clean_slate_screen_1.ipynb,16,8,8,0fc14a930cff12cf8ef70c6b36e1a2b2259b1d2749d49ca83b38f366d89782bc
04m_task3_micro_swin_clean_slate_screen_2.ipynb,15,7,9,81c201ea37906fef4e2cbf7be7d49064a16b9f002f0c34d0944bfd70be144b68
04n_task3_gem_gender_v2_g1_foreground_mask.ipynb,12,5,7,827ba9f5a09277bf6bc8520a3c5aea437d405897de441e67073e92694bbe5ea5
04o_task3_gem_gender_v2_g2_translation.ipynb,12,5,7,393157cc948c368bd65562a537647f28d29b35fe3c0513dcb526453d68fc9490
04p_task3_gem_gender_v2_g3_component_weight.ipynb,12,5,7,cabb82f9de8adf31f3fd6c7b68f2632ff7ce3f7ce3f3668523899074355bd5c1
04q_task3_smallcnn_usage_v2_u1_component_weight.ipynb,12,5,7,cc68f2a62fecfb5efd6d19e4ea50da5ff63f86925b668493bdfeb081405d468b
04r_task3_gem_gender_v2_g2_confirmation.ipynb,10,4,5,d690b08c417139802b797780c3ac6f47d07a27fbdd7350ad387e751a9aeedf95
04s_task3_usage_v2_u2_full_rgb_hog_svm.ipynb,11,5,6,e51adbdb173ff229fd5a78f3af3a9aa934c56248733a8fa3d059bf72d12b8134
04t_task3_gender_gd1_mild_darkening.ipynb,10,4,4,4b2d356f0bf99a59701b60bd4b5b141ecb9eee9da15aa66731f188edfe97c005
04u_task3_gender_weight_decay_screen.ipynb,10,4,4,95c1218bfec452642ed2a0ad831e6de5c9459b3ffd83eabf53d94699f12d5fed
04v_task3_gender_saved_model_diagnostic.ipynb,8,3,3,eaa757b490a993d3bbf2d04fdaebefd8374ea84d9620ddbc0be2f65a888aa71f
04w_task3_gender_precision_check.ipynb,8,3,3,a31aa95594d56a4ed4068b01f43ebf292896faeea68285714bd9f60059b35cff
04x_task3_gender_narrow64_screen.ipynb,10,4,4,dc5c56f7618b280da3c48b0667242438ef78dfc3559e1955cb2c0d75982b0ed6
