model,brightness_085,brightness_115,grayscale,jpeg_75,translation_003
E2,0.0,0.0,0.0,0.0,0.0
E3,-0.028861672062353544,-0.027625907560998055,-0.0186540613435498,-0.0011914989038634498,-0.027060110871682058
E4,0.0333921631898044,-0.007407629877320899,0.01759494529019745,-0.009524945751622329,-0.05569478451249241
E5,0.03714228594260599,-0.006798663579221851,-0.00572811397530865,0.0013943243809196992,-0.013553981364072903
E6,-0.04421448574753445,-0.013471455094153501,0.01963488485273265,-0.00938607561171415,-0.0038323387363409095
E7,-0.14497269917808267,-0.009673405457214852,-0.05280263755167385,-0.010570810137478199,-0.04799482224673035
E8,-0.029642931537014444,-0.028616072328988152,-0.0141677527893328,-0.00414049955389885,0.03195898575927374
E9,-0.13290880854200107,-0.011352987901597052,-0.0471720670029669,-0.03953146373475585,-0.021132335600437507
S2,0.004629538713285836,-0.011327120019788053,-0.021797988916608498,-0.015076088403797299,-0.07044545669618932
U1,-0.003233820564216644,-0.011590209939705904,-0.0005633370400332004,-0.00694054894091925,0.0009689529709585032
U2,0.13709556252464936,-0.05360311138287986,0.0012168475419091994,-0.06304462725687571,-0.03554432466085511
