model,brightness_085,brightness_115,grayscale,jpeg_75,translation_003
E2,-0.1288675634595645,-0.03157439000862204,-0.014515065118654,-0.0007348106000470801,-0.08691222721167705
E3,-0.12518519437561418,-0.03545682278965304,-0.021312844345909597,0.001990887578393,-0.08580852237597973
E4,-0.10644747158642723,-0.02192203302717318,0.0076748696239019604,-0.0009603934944466313,-0.1357272630259017
E5,-0.09511988279987613,-0.03108971427048316,-0.01008223644333622,0.0004560567019213398,-0.07805986303115597
E6,-0.16089456081828646,-0.0364332346165301,-0.008305184132499619,-0.0116797461137585,-0.08091384152065803
E7,-0.28583744127612,-0.01810322384545816,-0.03987779802003012,-0.0011344768135530398,-0.11961469164343588
E8,-0.16189553255197422,-0.042218267161017384,-0.02082740715410716,-0.0019261965736549799,-0.026929325107182323
E9,-0.21432373392042922,-0.03539551784273258,-0.04159761364789386,-0.02074075020149662,-0.08187042523737402
S2,-0.12627387344079416,-0.0255237941879856,-0.0180550430789024,-0.010957585228338649,-0.15152064297448356
U1,-0.13413723271829664,-0.025786884107903453,0.0031796087976729,-0.0028220457654606,-0.08010623330733574
U2,0.00619215037056935,-0.06779978555107741,0.0049597933796153,-0.05892612408141705,-0.11661951093914935
