model,scope,slice,rows,errors,error_rate
E2,all_available_folds,exception,3359,1614,0.4805001488538255
E2,all_available_folds,unseen,19,6,0.3157894736842105
E2,all_available_folds,usual,29394,1936,0.0658637817241614
E3,all_available_folds,exception,3359,1615,0.4807978565049122
E3,all_available_folds,unseen,19,6,0.3157894736842105
E3,all_available_folds,usual,29394,1929,0.06562563788528271
E4,all_available_folds,exception,3359,1736,0.5168204822863948
E4,all_available_folds,unseen,19,7,0.3684210526315789
E4,all_available_folds,usual,29394,2192,0.07457304211743894
E5,all_available_folds,exception,3359,1641,0.48853825543316465
E5,all_available_folds,unseen,19,8,0.42105263157894735
E5,all_available_folds,usual,29394,1869,0.06358440498060829
E6,all_available_folds,exception,3359,1656,0.4930038701994641
E6,all_available_folds,unseen,19,7,0.3684210526315789
E6,all_available_folds,usual,29394,2002,0.06810913791930326
E7,all_available_folds,exception,3359,2001,0.5957130098243525
E7,all_available_folds,unseen,19,11,0.5789473684210527
E7,all_available_folds,usual,29394,2833,0.09638021364904402
E8,all_available_folds,exception,3359,1668,0.4965763620125037
E8,all_available_folds,unseen,19,6,0.3157894736842105
E8,all_available_folds,usual,29394,1979,0.06732666530584473
E9,all_available_folds,exception,3359,970,0.28877642155403394
E9,all_available_folds,unseen,19,9,0.47368421052631576
E9,all_available_folds,usual,29394,4364,0.14846567326665305
U1,all_available_folds,exception,1385,639,0.46137184115523466
U1,all_available_folds,unseen,5,2,0.4
U1,all_available_folds,usual,11720,802,0.06843003412969283
U2,all_available_folds,exception,1385,865,0.6245487364620939
U2,all_available_folds,unseen,5,2,0.4
U2,all_available_folds,usual,11720,894,0.07627986348122867
S1,all_available_folds,exception,1385,1314,0.9487364620938629
S1,all_available_folds,unseen,5,2,0.4
S1,all_available_folds,usual,11720,538,0.04590443686006826
