first_id,second_id,reason
flipkart_party:BRAED6G63H64TSXJ,flipkart_party:BRAED6G6TVPF94CV,source_group
flipkart_party:BRAED6G63H64TSXJ,flipkart_party:BRAEDASWQDSYNUV3,source_group
flipkart_party:BRAED6G63H64TSXJ,flipkart_party:BRAED6G6TVPF94CV,normalized_title
flipkart_party:BRAED6G63H64TSXJ,flipkart_party:BRAEDASWQDSYNUV3,normalized_title
flipkart_party:BRAEBG4DCHJMRYZZ,flipkart_party:BRAEBGGV3NPZHAGQ,source_group
flipkart_party:BRAEBG4DCHJMRYZZ,flipkart_party:BRAEBGGVYKJZAZYV,source_group
flipkart_party:BRAEBGGV3NPZHAGQ,flipkart_party:BRAEBGGVYKJZAZYV,normalized_title
flipkart_party:SHTE2FCTN7MYJCUW,flipkart_party:SHTE5YHGMHQZHD8E,source_group
flipkart_party:SHTE2FCTN7MYJCUW,flipkart_party:SHTE5YHGMHQZHD8E,normalized_title
flipkart_party:BRAE9Y5V963WTTNW,flipkart_party:BRAEA7GBCCF5TVAF,source_group
flipkart_party:BRAE9Y5V963WTTNW,flipkart_party:BRAEA7GBQR7ZZN4K,source_group
flipkart_party:BRAE9Y5V963WTTNW,flipkart_party:BRAEA7GBCCF5TVAF,normalized_title
flipkart_party:BRAE9Y5V963WTTNW,flipkart_party:BRAEA7GBQR7ZZN4K,normalized_title
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B07116WPHF,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B0713SKPF5,source_group
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B07255FKTS,source_group
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B07255V34N,source_group
amazon_berkeley_objects:B072K65772,amazon_berkeley_objects:B079TBX3C6,source_group
amazon_berkeley_objects:B07K8SGZZW,amazon_berkeley_objects:B07T3TV3V4,source_group
amazon_berkeley_objects:B07K8SGZZW,amazon_berkeley_objects:B07T3TV3V4,normalized_title
www.meshki.com.au public catalogue:7684393959499,www.meshki.com.au public catalogue:7709613326411,source_group
Amazon Berkeley Objects:abo_B075SY59SG,Amazon Berkeley Objects:abo_B075T52KRC,source_group
Amazon Berkeley Objects:abo_B075SYCQ1F,Amazon Berkeley Objects:abo_B075T4QH4D,source_group
Amazon Berkeley Objects:abo_B075SYCQ1F,Amazon Berkeley Objects:abo_B075T4QH4D,normalized_title
Amazon Berkeley Objects:abo_B075SYCQ6B,Amazon Berkeley Objects:abo_B075T41WMF,source_group
Amazon Berkeley Objects:abo_B075SYCQ6B,Amazon Berkeley Objects:abo_B075T4SPXJ,source_group
Amazon Berkeley Objects:abo_B075SYCQ6B,Amazon Berkeley Objects:abo_B075T41WMF,normalized_title
