model,corruption,macro_f1,macro_f1_change
v2,brightness_085,0.34413283161095354,-0.4067132933967311
v2,brightness_115,0.6906039825754076,-0.06024214243227715
v2,grayscale,0.7220712239853928,-0.0287749010222919
v2,jpeg_75,0.7506613681106571,-0.00018475689702769998
v2,translation_003,0.7016624585123903,-0.049183666495294404
v3,brightness_085,0.31384310475153415,-0.3627545803625126
v3,brightness_115,0.6110687613596788,-0.06552892375436789
v3,grayscale,0.6527785454619833,-0.023819139652063403
v3,jpeg_75,0.6690017748618169,-0.007595910252229901
v3,translation_003,0.6242448592047081,-0.0523528259093386
