selection_rule,family_rank,sample_rank,sorted_member_position,id,path,sha256,productDisplayName,product_name_key,product_family_group,group_size,family_group_basis
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,1,1,1,48590,data/raw/teacher/train/images_train/48590.jpg,476fa213552f862263cd9914816efea73892130de68ea3823f56280abc54900e,Lucera Women Silver Earrings,lucera women silver earrings,family_3a8dd25529104cb0,80,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,1,2,17,48613,data/raw/teacher/train/images_train/48613.jpg,99ae82ee10d3637a8bcf5aad069ebe16d6d8062089aea300c24963dc289aa256,Lucera Women Silver Earrings,lucera women silver earrings,family_3a8dd25529104cb0,80,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,1,3,33,48645,data/raw/teacher/train/images_train/48645.jpg,8138a5852080ae0fedde363fa4837e3414b9b402e5956d9d027d01f3a9581f22,Lucera Women Silver Earrings,lucera women silver earrings,family_3a8dd25529104cb0,80,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,1,4,48,48667,data/raw/teacher/train/images_train/48667.jpg,1212a5d7082e0512976b3911210167133c481ad679db3b73be1c93264b5410b9,Lucera Women Silver Earrings,lucera women silver earrings,family_3a8dd25529104cb0,80,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,1,5,64,48698,data/raw/teacher/train/images_train/48698.jpg,53b6ce731d0737c01e8e1fc1f6c240a278cc5bf20d66fab801092ee61cd53830,Lucera Women Silver Earrings,lucera women silver earrings,family_3a8dd25529104cb0,80,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,1,6,80,48728,data/raw/teacher/train/images_train/48728.jpg,373215dffff5a73618b2bbc88e84020a7d57918f1a5282ad666f9c7bc47b0f4f,Lucera Women Silver Earrings,lucera women silver earrings,family_3a8dd25529104cb0,80,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,2,1,1,48772,data/raw/teacher/train/images_train/48772.jpg,9a9327eb103cd63fc931aea4e3aba7096119271b6729e69d9a76c7ee34bd908f,Lucera Women Silver Pendant,lucera women silver pendant,family_e2fdc52eacb8aa26,56,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,2,2,12,48789,data/raw/teacher/train/images_train/48789.jpg,e08ae7070b8a8b054ee8a5c8fffe6805be4aeebe660d6019bcd326c21e4628e7,Lucera Women Silver Pendant,lucera women silver pendant,family_e2fdc52eacb8aa26,56,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,2,3,23,48812,data/raw/teacher/train/images_train/48812.jpg,f0d8a06c38310ff024f965ea9644a6504a7e067969150c51ab27ee894932492c,Lucera Women Silver Pendant,lucera women silver pendant,family_e2fdc52eacb8aa26,56,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,2,4,34,48844,data/raw/teacher/train/images_train/48844.jpg,539e19f86b06ab6ad9682aefe2ddd4ef7b65fda81a13a968b3a33679131dfbb3,Lucera Women Silver Pendant,lucera women silver pendant,family_e2fdc52eacb8aa26,56,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,2,5,45,48887,data/raw/teacher/train/images_train/48887.jpg,4c08ac8d476ee25b60118fd0ea9b50af0e4201965199cf37a8e979a7e646bf56,Lucera Women Silver Pendant,lucera women silver pendant,family_e2fdc52eacb8aa26,56,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,2,6,56,48917,data/raw/teacher/train/images_train/48917.jpg,693923c13c13fd09341257efb70a010197b359823b2a004d2b1b1e5d75184b2d,Lucera Women Silver Pendant,lucera women silver pendant,family_e2fdc52eacb8aa26,56,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,3,1,1,48921,data/raw/teacher/train/images_train/48921.jpg,cb7c90145410db550ab62e71df51110a244ae811dcf15bd3e3f45949d9333191,Lucera Women Silver Ring,lucera women silver ring,family_6d336e886aa8b6eb,49,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,3,2,11,48936,data/raw/teacher/train/images_train/48936.jpg,4b812e1272d8d4f06cd80dd387689d5e6dfe30e6a938dac36e32e8bd9623bddb,Lucera Women Silver Ring,lucera women silver ring,family_6d336e886aa8b6eb,49,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,3,3,20,48988,data/raw/teacher/train/images_train/48988.jpg,832648f22ce3957d9db9dedd86c23a09576fc61e8f4b430a2f43e8d56d86d995,Lucera Women Silver Ring,lucera women silver ring,family_6d336e886aa8b6eb,49,normalized_product_name
four largest non-empty normalized-name groups; ties by product_name_key; six evenly spaced positions after numeric ID sort,3,4,30,49008,data/raw/teacher/train/images_train/49008.jpg,8a622448659b44cbdff1bd7754dbf2dc89be579e081a0c7cea6040c85073d809,Lucera Women Silver Ring,lucera women silver ring,family_6d336e886aa8b6eb,49,normalized_product_name
