articleType,predicted_label,errors,true_class_support,share_of_true_class
Tshirts,Tops,59,1020,0.05784313725490196
Sports Shoes,Casual Shoes,42,300,0.14
Casual Shoes,Sports Shoes,41,404,0.10148514851485149
Tops,Tshirts,39,243,0.16049382716049382
Flats,Heels,23,62,0.3709677419354839
Heels,Flats,21,158,0.13291139240506328
Shirts,Tshirts,17,464,0.036637931034482756
Sandals,Flip Flops,17,130,0.13076923076923078
Formal Shoes,Casual Shoes,15,91,0.16483516483516483
Tops,Shirts,14,243,0.05761316872427984
Tunics,Tops,12,27,0.4444444444444444
Perfume and Body Mist,Deodorant,10,83,0.12048192771084337
Sandals,Casual Shoes,10,130,0.07692307692307693
Tshirts,Sweaters,10,1020,0.00980392156862745
Tshirts,Shirts,10,1020,0.00980392156862745
Flip Flops,Sandals,9,129,0.06976744186046512
Kurtis,Tops,9,31,0.2903225806451613
Kurtas,Tunics,9,234,0.038461538461538464
Capris,Shorts,8,24,0.3333333333333333
Kurtas,Dresses,8,234,0.03418803418803419
Shirts,Tops,8,464,0.017241379310344827
Tops,Tunics,8,243,0.03292181069958848
Kurtis,Kurtas,7,31,0.22580645161290322
Sports Sandals,Sandals,7,9,0.7777777777777778
Dresses,Kurtas,7,51,0.13725490196078433
Clutches,Wallets,7,34,0.20588235294117646
Sweaters,Tshirts,7,42,0.16666666666666666
Sweaters,Tops,7,42,0.16666666666666666
Jeans,Trousers,6,84,0.07142857142857142
Flats,Casual Shoes,6,62,0.0967741935483871
Tops,Dresses,6,243,0.024691358024691357
Dresses,Tops,6,51,0.11764705882352941
Casual Shoes,Flats,6,404,0.01485148514851485
Innerwear Vests,Tshirts,6,37,0.16216216216216217
Perfume and Body Mist,Fragrance Gift Set,5,83,0.060240963855421686
Free Gifts,Watches,5,10,0.5
Casual Shoes,Formal Shoes,5,404,0.012376237623762377
Messenger Bag,Handbags,5,6,0.8333333333333334
Tunics,Kurtis,5,27,0.18518518518518517
Briefs,Trunk,5,100,0.05
Laptop Bag,Handbags,5,12,0.4166666666666667
Kurtas,Kurtis,5,234,0.021367521367521368
Lipstick,Mobile Pouch,5,5,1.0
Handbags,Laptop Bag,5,217,0.02304147465437788
Skirts,Shorts,5,18,0.2777777777777778
Jackets,Shirts,5,35,0.14285714285714285
Bangle,Ring,4,8,0.5
Dresses,Nightdress,4,51,0.0784313725490196
Sweatshirts,Sweaters,4,43,0.09302325581395349
Jackets,Sweatshirts,4,35,0.11428571428571428
Tunics,Kurtas,4,27,0.14814814814814814
Handbags,Wallets,4,217,0.018433179723502304
Clutches,Handbags,4,34,0.11764705882352941
Tops,Kurtis,4,243,0.01646090534979424
Shirts,Jackets,4,464,0.008620689655172414
Handbags,Duffel Bag,3,217,0.013824884792626729
Bangle,Bracelet,3,8,0.375
Jackets,Tops,3,35,0.08571428571428572
Heels,Sandals,3,158,0.0189873417721519
Sweatshirts,Jackets,3,43,0.06976744186046512
Heels,Flip Flops,3,158,0.0189873417721519
Wallets,Clutches,3,124,0.024193548387096774
Trousers,Jeans,3,76,0.039473684210526314
Casual Shoes,Heels,3,404,0.007425742574257425
Casual Shoes,Sandals,3,404,0.007425742574257425
Stoles,Scarves,3,13,0.23076923076923078
Flip Flops,Flats,3,129,0.023255813953488372
Tops,Sweaters,3,243,0.012345679012345678
Track Pants,Jeans,3,46,0.06521739130434782
Duffel Bag,Handbags,3,13,0.23076923076923078
Track Pants,Lounge Pants,2,46,0.043478260869565216
Tshirts,Innerwear Vests,2,1020,0.00196078431372549
Watches,Trousers,2,338,0.005917159763313609
Trousers,Track Pants,2,76,0.02631578947368421
Tshirts,Bra,2,1020,0.00196078431372549
Tops,Scarves,2,243,0.00823045267489712
Tops,Nightdress,2,243,0.00823045267489712
Formal Shoes,Sandals,2,91,0.02197802197802198
Handbags,Clutches,2,217,0.009216589861751152
Sunglasses,Necklace and Chains,2,155,0.012903225806451613
Sweaters,Shirts,2,42,0.047619047619047616
Capris,Leggings,2,24,0.08333333333333333
Tops,Kurtas,2,243,0.00823045267489712
Sandals,Heels,2,130,0.015384615384615385
Perfume and Body Mist,Caps,2,83,0.024096385542168676
Shirts,Tunics,2,464,0.004310344827586207
Shorts,Backpacks,2,78,0.02564102564102564
Stoles,Dupatta,2,13,0.15384615384615385
Sandals,Flats,2,130,0.015384615384615385
Sandals,Sports Sandals,2,130,0.015384615384615385
Handbags,Messenger Bag,2,217,0.009216589861751152
Shorts,Skirts,2,78,0.02564102564102564
Shirts,Kurtis,2,464,0.004310344827586207
Pendant,Ring,2,17,0.11764705882352941
Kurtas,Tops,2,234,0.008547008547008548
Night suits,Dresses,2,10,0.2
Night suits,Kurta Sets,2,10,0.2
Mobile Pouch,Clutches,2,7,0.2857142857142857
Lounge Shorts,Shorts,2,5,0.4
Kurtis,Tunics,2,31,0.06451612903225806
Kurtis,Tshirts,2,31,0.06451612903225806
Nightdress,Dresses,2,5,0.4
Kurtis,Shirts,2,31,0.06451612903225806
Waist Pouch,Handbags,2,2,1.0
Leggings,Trousers,2,24,0.08333333333333333
Laptop Bag,Backpacks,2,12,0.16666666666666666
Briefs,Tshirts,2,100,0.02
Boxers,Shorts,2,5,0.4
Backpacks,Handbags,2,106,0.018867924528301886
Belts,Caps,1,119,0.008403361344537815
Belts,Casual Shoes,1,119,0.008403361344537815
Blazers,Sweatshirts,1,1,1.0
Boxers,Trunk,1,5,0.2
Bra,Flip Flops,1,46,0.021739130434782608
Bracelet,Bangle,1,7,0.14285714285714285
Bracelet,Belts,1,7,0.14285714285714285
Camisoles,Briefs,1,2,0.5
Camisoles,Tops,1,2,0.5
Capris,Jeans,1,24,0.041666666666666664
Tshirts,Socks,1,1020,0.000980392156862745
Tshirts,Sports Shoes,1,1020,0.000980392156862745
Tshirts,Sweatshirts,1,1020,0.000980392156862745
Tshirts,Tunics,1,1020,0.000980392156862745
Tunics,Dresses,1,27,0.037037037037037035
Tunics,Shirts,1,27,0.037037037037037035
Waistcoat,Backpacks,1,2,0.5
Waistcoat,Sweaters,1,2,0.5
Wallets,Briefs,1,124,0.008064516129032258
Laptop Bag,Clutches,1,12,0.08333333333333333
Laptop Bag,Duffel Bag,1,12,0.08333333333333333
Laptop Bag,Messenger Bag,1,12,0.08333333333333333
Leggings,Capris,1,24,0.041666666666666664
Leggings,Jeans,1,24,0.041666666666666664
Leggings,Shorts,1,24,0.041666666666666664
Leggings,Track Pants,1,24,0.041666666666666664
Leggings,Tshirts,1,24,0.041666666666666664
Lounge Pants,Capris,1,8,0.125
Lounge Pants,Jeans,1,8,0.125
Lounge Pants,Track Pants,1,8,0.125
Lounge Shorts,Capris,1,5,0.2
Kajal and Eyeliner,Handbags,1,2,0.5
Key chain,Wallets,1,1,1.0
Kurta Sets,Dupatta,1,11,0.09090909090909091
Kurta Sets,Nightdress,1,11,0.09090909090909091
Kurtas,Nightdress,1,234,0.004273504273504274
Kurtas,Shirts,1,234,0.004273504273504274
Kurtas,Stoles,1,234,0.004273504273504274
Mobile Pouch,Wallets,1,7,0.14285714285714285
Mufflers,Backpacks,1,5,0.2
Mufflers,Scarves,1,5,0.2
Mufflers,Stoles,1,5,0.2
Necklace and Chains,Bra,1,9,0.1111111111111111
Necklace and Chains,Pendant,1,9,0.1111111111111111
Nehru Jackets,Shirts,1,1,1.0
Night suits,Shorts,1,10,0.1
Nightdress,Tracksuits,1,5,0.2
Nightdress,Tshirts,1,5,0.2
Nightdress,Watches,1,5,0.2
Patiala,Leggings,1,4,0.25
Patiala,Lounge Pants,1,4,0.25
Patiala,Salwar,1,4,0.25
Pendant,Backpacks,1,17,0.058823529411764705
Perfume and Body Mist,Backpacks,1,83,0.012048192771084338
Perfume and Body Mist,Dresses,1,83,0.012048192771084338
Perfume and Body Mist,Gloves,1,83,0.012048192771084338
Perfume and Body Mist,Handbags,1,83,0.012048192771084338
Perfume and Body Mist,Tops,1,83,0.012048192771084338
Perfume and Body Mist,Tshirts,1,83,0.012048192771084338
Perfume and Body Mist,Wallets,1,83,0.012048192771084338
Jackets,Scarves,1,35,0.02857142857142857
Jackets,Tshirts,1,35,0.02857142857142857
Jeans,Capris,1,84,0.011904761904761904
Jeans,Jewellery Set,1,84,0.011904761904761904
Jeans,Leggings,1,84,0.011904761904761904
Jeans,Lounge Pants,1,84,0.011904761904761904
Jeans,Shorts,1,84,0.011904761904761904
Jeggings,Jeans,1,3,0.3333333333333333
Jeggings,Trousers,1,3,0.3333333333333333
Jewellery Set,Necklace and Chains,1,7,0.14285714285714285
Jewellery Set,Pendant,1,7,0.14285714285714285
Jumpsuit,Kurta Sets,1,1,1.0
Rain Jacket,Jackets,1,1,1.0
Rucksacks,Backpacks,1,1,1.0
Salwar,Leggings,1,4,0.25
Sandals,Sports Shoes,1,130,0.007692307692307693
Sarees,Dresses,1,23,0.043478260869565216
Scarves,Handbags,1,17,0.058823529411764705
Scarves,Mufflers,1,17,0.058823529411764705
Scarves,Shorts,1,17,0.058823529411764705
Scarves,Tops,1,17,0.058823529411764705
Shirts,Dresses,1,464,0.0021551724137931034
Shirts,Innerwear Vests,1,464,0.0021551724137931034
Handbags,Flats,1,217,0.004608294930875576
Handbags,Skirts,1,217,0.004608294930875576
Handbags,Tshirts,1,217,0.004608294930875576
Hat,Caps,1,1,1.0
Heels,Sports Sandals,1,158,0.006329113924050633
Jackets,Dupatta,1,35,0.02857142857142857
Jackets,Innerwear Vests,1,35,0.02857142857142857
Jackets,Kurtis,1,35,0.02857142857142857
Shirts,Sweaters,1,464,0.0021551724137931034
Shirts,Sweatshirts,1,464,0.0021551724137931034
Shoe Accessories,Shoe Laces,1,3,0.3333333333333333
Shorts,Capris,1,78,0.01282051282051282
Shorts,Leggings,1,78,0.01282051282051282
Shorts,Tops,1,78,0.01282051282051282
Shorts,Track Pants,1,78,0.01282051282051282
Shorts,Trousers,1,78,0.01282051282051282
Shrug,Tops,1,1,1.0
Skirts,Capris,1,18,0.05555555555555555
Skirts,Free Gifts,1,18,0.05555555555555555
Socks,Backpacks,1,91,0.01098901098901099
Socks,Deodorant,1,91,0.01098901098901099
Socks,Earrings,1,91,0.01098901098901099
Socks,Perfume and Body Mist,1,91,0.01098901098901099
Socks,Trunk,1,91,0.01098901098901099
Sports Sandals,Casual Shoes,1,9,0.1111111111111111
