class_index,class_name,precision,recall,f1,support
0,Accessory Gift Set,0.9479166666666666,1.0,0.9732620320855615,91
1,Baby Dolls,0.0,0.0,0.0,2
2,Backpacks,0.8426626323751891,0.9221854304635762,0.8806324110671937,604
3,Bangle,0.35443037974683544,0.56,0.43410852713178294,50
4,Basketballs,0.5263157894736842,0.8333333333333334,0.6451612903225806,12
5,Belts,0.965166908563135,0.9837278106508875,0.9743589743589743,676
6,Blazers,0.5555555555555556,0.7142857142857143,0.625,7
7,Body Wash and Scrub,0.0,0.0,0.0,1
8,Booties,0.9,1.0,0.9473684210526315,9
9,Boxers,0.6578947368421053,0.7352941176470589,0.6944444444444444,34
10,Bra,0.8661971830985915,0.9800796812749004,0.9196261682242991,251
11,Bracelet,0.24390243902439024,0.22727272727272727,0.23529411764705882,44
12,Briefs,0.9354275741710296,0.9436619718309859,0.9395267309377738,568
13,Camisoles,0.34782608695652173,0.6153846153846154,0.4444444444444444,13
14,Capris,0.4093567251461988,0.5147058823529411,0.4560260586319218,136
15,Caps,0.7944664031620553,0.8739130434782608,0.8322981366459627,230
16,Casual Shoes,0.8351769911504425,0.663444639718805,0.7394711067580804,2276
17,Churidar,0.4642857142857143,0.5,0.48148148148148145,26
18,Clothing Set,0.3333333333333333,0.42857142857142855,0.375,7
19,Clutches,0.6201923076923077,0.6825396825396826,0.6498740554156172,189
20,Compact,0.0,0.0,0.0,4
21,Concealer,0.0,0.0,0.0,2
22,Cufflinks,0.9743589743589743,1.0,0.987012987012987,38
23,Cushion Covers,0.0,0.0,0.0,1
24,Deodorant,0.7247386759581882,0.8387096774193549,0.7775700934579439,248
25,Dresses,0.37910447761194027,0.43944636678200694,0.40705128205128205,289
26,Duffel Bag,0.5268817204301075,0.6712328767123288,0.5903614457831325,73
27,Dupatta,0.6,0.7575757575757576,0.6696428571428571,99
28,Earrings,0.8812785388127854,0.9368932038834952,0.908235294117647,206
29,Eyeshadow,0.8,1.0,0.8888888888888888,4
30,Flats,0.40217391304347827,0.4157303370786517,0.4088397790055249,356
31,Flip Flops,0.7729411764705882,0.8950953678474114,0.8295454545454546,734
32,Footballs,0.3076923076923077,0.5714285714285714,0.4,7
33,Formal Shoes,0.7179104477611941,0.9303675048355899,0.81044650379107,517
34,Foundation and Primer,1.0,0.8181818181818182,0.9,11
35,Fragrance Gift Set,0.30392156862745096,0.6595744680851063,0.4161073825503356,47
36,Free Gifts,0.4,0.14035087719298245,0.2077922077922078,57
37,Gloves,0.85,0.9444444444444444,0.8947368421052632,18
38,Handbags,0.8879159369527145,0.8297872340425532,0.8578680203045685,1222
39,Hat,0.0,0.0,0.0,2
40,Headband,0.5,0.5,0.5,6
41,Heels,0.7336343115124153,0.7303370786516854,0.7319819819819819,890
42,Highlighter and Blush,0.0,0.0,0.0,4
43,Innerwear Vests,0.4755700325732899,0.7121951219512195,0.5703125,205
44,Ipad,0.0,0.0,0.0,1
45,Jackets,0.2793522267206478,0.35751295336787564,0.31363636363636366,193
46,Jeans,0.7176220806794055,0.7161016949152542,0.7168610816542949,472
47,Jeggings,0.14814814814814814,0.18181818181818182,0.16326530612244897,22
48,Jewellery Set,0.7333333333333333,0.5789473684210527,0.6470588235294118,38
49,Jumpsuit,0.07692307692307693,0.1,0.08695652173913043,10
50,Kajal and Eyeliner,0.5,0.5454545454545454,0.5217391304347826,11
51,Key chain,0.0,0.0,0.0,1
52,Kurta Sets,0.7160493827160493,0.90625,0.8,64
53,Kurtas,0.8184417441029307,0.8661119515885023,0.8416023520764425,1322
54,Kurtis,0.17647058823529413,0.29651162790697677,0.22125813449023862,172
55,Laptop Bag,0.3563218390804598,0.4626865671641791,0.4025974025974026,67
56,Leggings,0.574468085106383,0.6,0.5869565217391305,135
57,Lehenga Choli,0.0,0.0,0.0,2
58,Lip Gloss,0.5714285714285714,0.8,0.6666666666666666,5
59,Lip Liner,0.5555555555555556,0.45454545454545453,0.5,11
60,Lip Plumper,0.75,1.0,0.8571428571428571,3
61,Lipstick,0.0,0.0,0.0,10
62,Lounge Pants,0.23728813559322035,0.3111111111111111,0.2692307692307692,45
63,Lounge Shorts,0.07142857142857142,0.06896551724137931,0.07017543859649122,29
64,Lounge Tshirts,0.0,0.0,0.0,1
65,Messenger Bag,0.13725490196078433,0.1891891891891892,0.1590909090909091,37
66,Mobile Pouch,0.27906976744186046,0.3,0.2891566265060241,40
