class_index,class_name,precision,recall,f1,support
0,Accessory Gift Set,0.9891304347826086,1.0,0.994535519125683,91
1,Baby Dolls,0.0,0.0,0.0,2
2,Backpacks,0.9184339314845025,0.9321192052980133,0.9252259654889071,604
3,Bangle,0.5660377358490566,0.6,0.5825242718446602,50
4,Basketballs,0.6666666666666666,0.8333333333333334,0.7407407407407407,12
5,Belts,0.9611510791366906,0.9881656804733728,0.9744711889132021,676
6,Blazers,1.0,0.2857142857142857,0.4444444444444444,7
7,Body Wash and Scrub,0.0,0.0,0.0,1
8,Booties,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
9,Boxers,0.7333333333333333,0.6470588235294118,0.6875,34
10,Bra,0.9717741935483871,0.9601593625498008,0.9659318637274549,251
11,Bracelet,0.4,0.36363636363636365,0.38095238095238093,44
12,Briefs,0.945518453427065,0.9471830985915493,0.9463500439753738,568
13,Camisoles,0.6666666666666666,0.46153846153846156,0.5454545454545454,13
14,Capris,0.5950413223140496,0.5294117647058824,0.5603112840466926,136
15,Caps,0.8928571428571429,0.8695652173913043,0.8810572687224669,230
16,Casual Shoes,0.8066783831282952,0.8066783831282952,0.8066783831282952,2276
17,Churidar,0.5217391304347826,0.46153846153846156,0.4897959183673469,26
18,Clothing Set,0.2,0.14285714285714285,0.16666666666666666,7
19,Clutches,0.6631016042780749,0.656084656084656,0.6595744680851063,189
20,Compact,0.0,0.0,0.0,4
21,Concealer,0.0,0.0,0.0,2
22,Cufflinks,0.9024390243902439,0.9736842105263158,0.9367088607594937,38
23,Cushion Covers,0.0,0.0,0.0,1
24,Deodorant,0.8479087452471483,0.8991935483870968,0.87279843444227,248
25,Dresses,0.5760869565217391,0.5501730103806228,0.5628318584070796,289
26,Duffel Bag,0.6451612903225806,0.547945205479452,0.5925925925925926,73
27,Dupatta,0.8395061728395061,0.6868686868686869,0.7555555555555555,99
28,Earrings,0.9507389162561576,0.9368932038834952,0.9437652811735942,206
29,Eyeshadow,1.0,1.0,1.0,4
30,Flats,0.490625,0.4410112359550562,0.46449704142011833,356
31,Flip Flops,0.8721399730820996,0.8828337874659401,0.8774542992552471,734
32,Footballs,0.75,0.42857142857142855,0.5454545454545454,7
33,Formal Shoes,0.8571428571428571,0.8820116054158608,0.8693994280266921,517
34,Foundation and Primer,1.0,0.45454545454545453,0.625,11
35,Fragrance Gift Set,0.6326530612244898,0.6595744680851063,0.6458333333333334,47
36,Free Gifts,0.2857142857142857,0.14035087719298245,0.18823529411764706,57
37,Gloves,0.8888888888888888,0.8888888888888888,0.8888888888888888,18
38,Handbags,0.8769716088328076,0.9099836333878887,0.8931726907630522,1222
39,Hat,0.0,0.0,0.0,2
40,Headband,0.5,0.3333333333333333,0.4,6
41,Heels,0.785329018338727,0.8179775280898877,0.8013208585580628,890
42,Highlighter and Blush,0.0,0.0,0.0,4
43,Innerwear Vests,0.7540106951871658,0.6878048780487804,0.7193877551020408,205
44,Ipad,0.0,0.0,0.0,1
45,Jackets,0.5164835164835165,0.48704663212435234,0.5013333333333333,193
46,Jeans,0.8027613412228797,0.8622881355932204,0.8314606741573034,472
47,Jeggings,0.125,0.09090909090909091,0.10526315789473684,22
48,Jewellery Set,0.8823529411764706,0.7894736842105263,0.8333333333333334,38
49,Jumpsuit,0.0,0.0,0.0,10
50,Kajal and Eyeliner,0.6666666666666666,0.7272727272727273,0.6956521739130435,11
51,Key chain,0.0,0.0,0.0,1
52,Kurta Sets,0.8260869565217391,0.890625,0.8571428571428571,64
53,Kurtas,0.8732600732600733,0.9016641452344932,0.887234834387793,1322
54,Kurtis,0.410958904109589,0.3488372093023256,0.37735849056603776,172
55,Laptop Bag,0.43333333333333335,0.3880597014925373,0.4094488188976378,67
56,Leggings,0.6532258064516129,0.6,0.6254826254826255,135
57,Lehenga Choli,1.0,0.5,0.6666666666666666,2
58,Lip Gloss,1.0,0.8,0.8888888888888888,5
59,Lip Liner,0.6363636363636364,0.6363636363636364,0.6363636363636364,11
60,Lip Plumper,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
61,Lipstick,0.0,0.0,0.0,10
62,Lounge Pants,0.45714285714285713,0.35555555555555557,0.4,45
63,Lounge Shorts,0.2631578947368421,0.1724137931034483,0.20833333333333334,29
64,Lounge Tshirts,0.0,0.0,0.0,1
65,Messenger Bag,0.2,0.13513513513513514,0.16129032258064516,37
66,Mobile Pouch,0.6111111111111112,0.55,0.5789473684210527,40
67,Mufflers,0.6451612903225806,0.6060606060606061,0.625,33
68,Nail Polish,0.9411764705882353,1.0,0.9696969696969697,16
69,Necklace and Chains,0.7755102040816326,0.7169811320754716,0.7450980392156863,53
70,Nehru Jackets,0.3333333333333333,0.25,0.2857142857142857,4
71,Night suits,0.8064516129032258,0.847457627118644,0.8264462809917356,59
72,Nightdress,0.3333333333333333,0.38235294117647056,0.3561643835616438,34
73,Patiala,0.6,0.391304347826087,0.47368421052631576,23
74,Pendant,0.8613861386138614,0.8285714285714286,0.8446601941747572,105
75,Perfume and Body Mist,0.8728813559322034,0.869198312236287,0.8710359408033826,474
76,Rain Jacket,0.0,0.0,0.0,1
77,Rain Trousers,0.0,0.0,0.0,1
78,Ring,0.8627450980392157,0.5569620253164557,0.676923076923077,79
79,Robe,0.0,0.0,0.0,2
80,Rompers,1.0,0.8181818181818182,0.9,11
81,Rucksacks,0.5,0.4,0.4444444444444444,10
82,Salwar,0.4857142857142857,0.6071428571428571,0.5396825396825397,28
83,Salwar and Dupatta,0.8,0.6666666666666666,0.7272727272727273,6
84,Sandals,0.7864864864864864,0.7918367346938775,0.7891525423728813,735
85,Sarees,0.9064748201438849,0.9767441860465116,0.9402985074626866,129
86,Scarves,0.7142857142857143,0.6989247311827957,0.7065217391304348,93
87,Shapewear,0.0,0.0,0.0,2
88,Shirts,0.921923076923077,0.9152348224513173,0.9185667752442996,2619
89,Shoe Accessories,0.5555555555555556,0.5,0.5263157894736842,20
90,Shoe Laces,0.0,0.0,0.0,1
91,Shorts,0.7560483870967742,0.8389261744966443,0.7953340402969247,447
92,Shrug,0.0,0.0,0.0,2
93,Skirts,0.6455696202531646,0.5151515151515151,0.5730337078651685,99
94,Socks,0.9330783938814532,0.9366602687140115,0.9348659003831418,521
95,Sports Sandals,0.37777777777777777,0.3148148148148148,0.3434343434343434,54
96,Sports Shoes,0.8171597633136095,0.8166765227675932,0.8169180715764567,1691
97,Stockings,0.7777777777777778,0.6363636363636364,0.7,22
98,Stoles,0.8412698412698413,0.6883116883116883,0.7571428571428571,77
99,Sunglasses,0.9898762654668166,0.9932279909706546,0.9915492957746479,886
100,Suspenders,0.9696969696969697,0.9411764705882353,0.9552238805970149,34
101,Sweaters,0.5893719806763285,0.5213675213675214,0.5532879818594104,234
102,Sweatshirts,0.6232558139534884,0.5654008438818565,0.5929203539823009,237
103,Swimwear,0.5,0.13333333333333333,0.21052631578947367,15
104,Tablet Sleeve,0.0,0.0,0.0,2
105,Ties,0.9887640449438202,0.9832402234636871,0.9859943977591037,179
106,Ties and Cufflinks,0.0,0.0,0.0,1
107,Tights,0.5,0.125,0.2,8
108,Tops,0.6366120218579235,0.6807888970051132,0.6579597599717614,1369
109,Track Pants,0.7983539094650206,0.7791164658634538,0.7886178861788617,249
110,Tracksuits,0.95,0.7916666666666666,0.8636363636363636,24
111,Travel Accessory,0.75,0.25,0.375,12
112,Trolley Bag,0.0,0.0,0.0,3
113,Trousers,0.8200455580865603,0.8275862068965517,0.8237986270022883,435
114,Trunk,0.831858407079646,0.7899159663865546,0.8103448275862069,119
115,Tshirts,0.9032092864458859,0.9204940848990953,0.9117697742546959,5748
116,Tunics,0.28776978417266186,0.2702702702702703,0.2787456445993031,148
117,Umbrellas,1.0,1.0,1.0,5
118,Waist Pouch,0.2857142857142857,0.26666666666666666,0.27586206896551724,15
119,Waistcoat,0.5,0.16666666666666666,0.25,12
120,Wallets,0.912981455064194,0.9090909090909091,0.9110320284697508,704
121,Watches,0.9712378017462763,0.989534275248561,0.9803006739243131,1911
122,Water Bottle,1.0,0.5,0.6666666666666666,10
123,Wristbands,0.5,0.4,0.4444444444444444,5
