metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7175834954151592,0.00851848353506941,0.7073282442748091,0.7267175572519083,0.717583122156749
balanced_accuracy,0.6652517298295175,0.005519152569136812,0.6580211577928343,0.6706807738684195,0.6652570571625336
macro_precision,0.7824503936927432,0.021591439643771956,0.7604305906277486,0.8076418167299569,0.777217610005771
macro_recall,0.6652517298295175,0.005519152569136812,0.6580211577928343,0.6706807738684195,0.6652570571625336
macro_f1,0.706495623893654,0.003871683778033688,0.7033964761241132,0.7128098681685373,0.707099241697181
weighted_f1,0.7116600175134296,0.004846214713716482,0.7056365359841713,0.7169722728777269,0.7124346694155013
nll,0.685637254705176,0.015055579245368187,0.6626788310488069,0.704601010169141,0.6856384822122547
brier,0.38344628947569126,0.00911893826431289,0.37205492224890907,0.3951149334732652,0.38344696933990835
ece,0.023972077044332633,0.004931539781383696,0.017197587179508037,0.028330963139059546,0.0173996827258312
