family,tuning_id,experiment_id,label,precision,recall,f1,support,delta_vs_t0_f1
C1,T0,g1-c1-smallcnn,Fall,0.686861810755616,0.5650761648745519,0.6200454740981994,8928,0.0
C1,T0,g1-c1-smallcnn,Spring,0.9580764488286067,0.5846501128668171,0.7261682242990655,1329,0.0
C1,T0,g1-c1-smallcnn,Summer,0.6933594757752438,0.8277178934400986,0.7546046720575023,16235,0.0
C1,T0,g1-c1-smallcnn,Winter,0.7687883435582822,0.640472767928446,0.6987888821120501,6261,0.0
C1,T1,g2-t1-c1-smallcnn,Fall,0.721086405014177,0.5412186379928315,0.6183377055473799,8928,-0.001707768550819555
C1,T1,g2-t1-c1-smallcnn,Spring,0.9398843930635838,0.6117381489841986,0.7411121239744758,1329,0.014943899675410321
C1,T1,g2-t1-c1-smallcnn,Summer,0.6952991021890447,0.8490914690483523,0.7645378663930562,16235,0.009933194335553952
C1,T1,g2-t1-c1-smallcnn,Winter,0.7677672076105204,0.6574029707714423,0.7083118224057822,6261,0.009522940293732018
C1,T2,g2-t2-c1-smallcnn,Fall,0.701537147736977,0.5520833333333334,0.6179014667168108,8928,-0.002144007381388646
C1,T2,g2-t2-c1-smallcnn,Spring,0.9582309582309583,0.5869074492099323,0.7279514699020065,1329,0.0017832456029410748
C1,T2,g2-t2-c1-smallcnn,Summer,0.6888990406578346,0.8359716661533724,0.7553428317008014,16235,0.0007381596432991522
C1,T2,g2-t2-c1-smallcnn,Winter,0.7703376822716808,0.6412713624021722,0.6999041227229147,6261,0.001115240610864543
C2,T0,g1-c2-resnet18,Fall,0.7203389830508474,0.5521953405017921,0.6251585087496829,8928,0.0
C2,T0,g1-c2-resnet18,Spring,0.9437939110070258,0.6064710308502633,0.7384333486028402,1329,0.0
C2,T0,g1-c2-resnet18,Summer,0.6985063901863163,0.838250692947336,0.7620247494260597,16235,0.0
C2,T0,g1-c2-resnet18,Winter,0.7462311557788944,0.6641111643507427,0.7027803600101411,6261,0.0
C2,T1,g2-t1-c2-resnet18,Fall,0.7643520110003438,0.4980958781362007,0.6031466160314661,8928,-0.022011892718216797
C2,T1,g2-t1-c2-resnet18,Spring,0.9413833528722158,0.6042136945071482,0.7360219981668195,1329,-0.0024113504360206983
C2,T1,g2-t1-c2-resnet18,Summer,0.6817719680464779,0.8673852787188173,0.7634589319598807,16235,0.0014341825338209935
C2,T1,g2-t1-c2-resnet18,Winter,0.7532706836189423,0.6529308417185753,0.6995208761122519,6261,-0.003259483897889215
C2,T2,g2-t2-c2-resnet18,Fall,0.7740198552919401,0.5152329749103942,0.6186537556317665,8928,-0.006504753117916429
C2,T2,g2-t2-c2-resnet18,Spring,0.9366359447004609,0.6117381489841986,0.7401001365498406,1329,0.001666787947000481
C2,T2,g2-t2-c2-resnet18,Summer,0.6879621127917653,0.8768709578072067,0.7710138648180243,16235,0.008989115391964564
C2,T2,g2-t2-c2-resnet18,Winter,0.7710040007620499,0.6463823670340201,0.7032145960034752,6261,0.0004342359933341422
