array_index,candidate,id,fold,gradcam_target_label
0,C2,17534,4,Fall
1,C2,8017,4,Fall
2,C2,15019,4,Fall
3,C2,12850,3,Summer
4,C2,40583,4,Summer
5,C2,19264,1,Winter
6,C2,23578,1,Spring
7,C2,23593,1,Spring
8,C2,23617,3,Spring
9,C2,19298,4,Winter
10,C2,47111,4,Summer
11,C2,5792,0,Summer
12,C2,3762,4,Summer
13,C2,23638,4,Summer
14,C2,33196,4,Summer
15,C2,25675,1,Winter
16,C2,25651,0,Winter
17,C2,23487,4,Fall
18,C2,10327,4,Winter
19,C2,29895,0,Winter
20,C2,38011,4,Winter
21,C2,4538,4,Summer
22,C2,28071,3,Summer
23,C2,48478,3,Summer
24,I2,10466,4,Fall
25,I2,15558,3,Fall
26,I2,15041,3,Fall
27,I2,38856,0,Summer
28,I2,40009,1,Winter
29,I2,45960,3,Summer
30,I2,23547,1,Spring
31,I2,23583,1,Spring
32,I2,22549,1,Spring
33,I2,19298,4,Winter
34,I2,39798,4,Summer
35,I2,26519,3,Summer
36,I2,3762,4,Summer
37,I2,35039,1,Summer
38,I2,33761,3,Summer
39,I2,40528,1,Winter
40,I2,43149,1,Winter
41,I2,43200,4,Winter
42,I2,8095,3,Winter
43,I2,10099,1,Winter
44,I2,46311,4,Winter
45,I2,4538,4,Summer
46,I2,48478,3,Summer
47,I2,21454,1,Summer
