experiment_id,fold,run_id,label,class_count,class_weight,beta,training_product_count,training_id_sha256,history_sha256
g4-i1-effective-number-c1,0,g4-i1-effective-number-c1-f0-s2753-9288633e212b,Fall,7142,0.496359814910384,0.9999,26203,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e,997f6019f61911a6b3a8e8785eb8e4a2b668916cf22085b2ccd03fe9385b9ece
g4-i1-effective-number-c1,0,g4-i1-effective-number-c1-f0-s2753-9288633e212b,Spring,1063,2.5122366164608483,0.9999,26203,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e,997f6019f61911a6b3a8e8785eb8e4a2b668916cf22085b2ccd03fe9385b9ece
g4-i1-effective-number-c1,0,g4-i1-effective-number-c1-f0-s2753-9288633e212b,Summer,12989,0.34840998766137654,0.9999,26203,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e,997f6019f61911a6b3a8e8785eb8e4a2b668916cf22085b2ccd03fe9385b9ece
g4-i1-effective-number-c1,0,g4-i1-effective-number-c1-f0-s2753-9288633e212b,Winter,5009,0.642993580967391,0.9999,26203,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e,997f6019f61911a6b3a8e8785eb8e4a2b668916cf22085b2ccd03fe9385b9ece
g4-i1-effective-number-c1,1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,Fall,7142,0.49662375345806287,0.9999,26202,11f76c8e36120826dcaf679992873396efd113f38265cf1a16493ee3e55c25b7,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e
g4-i1-effective-number-c1,1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,Spring,1064,2.5113334586004545,0.9999,26202,11f76c8e36120826dcaf679992873396efd113f38265cf1a16493ee3e55c25b7,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e
g4-i1-effective-number-c1,1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,Summer,12988,0.34860833396088403,0.9999,26202,11f76c8e36120826dcaf679992873396efd113f38265cf1a16493ee3e55c25b7,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e
g4-i1-effective-number-c1,1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,Winter,5008,0.6434344539805991,0.9999,26202,11f76c8e36120826dcaf679992873396efd113f38265cf1a16493ee3e55c25b7,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e
g4-i1-effective-number-c1,2,g4-i1-effective-number-c1-f2-s2753-fcf43c3cba42,Fall,7142,0.49662537740303436,0.9999,26203,ae10831c9264ae8f915ea980870ad801d5d492a3d092007883572760eb45b3bf,cb439c747bad3243cb20f7f9d0ce4bf5591331369c6e47ec02887665060f96d1
g4-i1-effective-number-c1,2,g4-i1-effective-number-c1-f2-s2753-fcf43c3cba42,Spring,1064,2.5113416705865172,0.9999,26203,ae10831c9264ae8f915ea980870ad801d5d492a3d092007883572760eb45b3bf,cb439c747bad3243cb20f7f9d0ce4bf5591331369c6e47ec02887665060f96d1
g4-i1-effective-number-c1,2,g4-i1-effective-number-c1-f2-s2753-fcf43c3cba42,Summer,12989,0.34859639401823356,0.9999,26203,ae10831c9264ae8f915ea980870ad801d5d492a3d092007883572760eb45b3bf,cb439c747bad3243cb20f7f9d0ce4bf5591331369c6e47ec02887665060f96d1
g4-i1-effective-number-c1,2,g4-i1-effective-number-c1-f2-s2753-fcf43c3cba42,Winter,5008,0.643436557992215,0.9999,26203,ae10831c9264ae8f915ea980870ad801d5d492a3d092007883572760eb45b3bf,cb439c747bad3243cb20f7f9d0ce4bf5591331369c6e47ec02887665060f96d1
g4-i1-effective-number-c1,3,g4-i1-effective-number-c1-f3-s2753-288f70adf96f,Fall,7143,0.4960613406566881,0.9999,26203,5bd4bdacd0b56699a65d510af6912c392636a461a7fbc961a2a5421a16680a39,f219069c8ff5663226e94a6c2eb5bbcae02d41a66e7e3c486d90eb5fa1da751d
g4-i1-effective-number-c1,3,g4-i1-effective-number-c1-f3-s2753-288f70adf96f,Spring,1062,2.513207681269828,0.9999,26203,5bd4bdacd0b56699a65d510af6912c392636a461a7fbc961a2a5421a16680a39,f219069c8ff5663226e94a6c2eb5bbcae02d41a66e7e3c486d90eb5fa1da751d
g4-i1-effective-number-c1,3,g4-i1-effective-number-c1-f3-s2753-288f70adf96f,Summer,12987,0.34826001091217873,0.9999,26203,5bd4bdacd0b56699a65d510af6912c392636a461a7fbc961a2a5421a16680a39,f219069c8ff5663226e94a6c2eb5bbcae02d41a66e7e3c486d90eb5fa1da751d
