variant,run_id,stage,experiment_id,model_family,benchmark_only,final_eligible,scratch,fold,seed,git_commit,git_dirty,config_sha256,split_sha256,label_map_sha256,implementation_sha256,transform_id,loss_id,epochs_requested,epochs_completed,best_epoch,primary_metric_name,primary_metric_value,runtime_seconds,peak_vram_mb,parameter_count,checkpoint_path,checkpoint_sha256,prediction_path,prediction_sha256,history_path,history_sha256,status
G3-C1 reference,g3-c1-t1-smallcnn-f0-s2753-1ce4f9978b12,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,0,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,29,24,macro_f1,0.7382535644235236,864.9851365000359,190.89794921875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f0-s2753-1ce4f9978b12.pt,1300489cc125c43984198e7434d3746befc00e86ea11d17dfb01b12c8b35d6af,tmp/task2/runs/g3-c1-t1-smallcnn-f0-s2753-1ce4f9978b12/oof.csv,14bd33d53510476d61229d30daf77c538e5c97ae9e98e28a604da7144fa68a30,tmp/task2/runs/g3-c1-t1-smallcnn-f0-s2753-1ce4f9978b12/history.json,0a7cdde5916748d2e33538fe2bc56c0afc11ac9d759467bfa6afb52e04a8bddf,completed
G3-C1 reference,g3-c1-t1-smallcnn-f1-s2753-ea0b61364ef4,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,1,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,26,21,macro_f1,0.740002342703693,764.0989776999922,191.35888671875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f1-s2753-ea0b61364ef4.pt,362b60964a81f5d483dc3adacd7e99303fa041e8018bafc22915f0d33defa04a,tmp/task2/runs/g3-c1-t1-smallcnn-f1-s2753-ea0b61364ef4/oof.csv,76dbe7abc42f4077b01956b068f2f8247038fbf0ad54bd52152788581456c114,tmp/task2/runs/g3-c1-t1-smallcnn-f1-s2753-ea0b61364ef4/history.json,f316f6a42660612a7fb096d0d213564e963d6ffbec21fe60593625b977fd9df2,completed
G3-C1 reference,g3-c1-t1-smallcnn-f2-s2753-8439c63a5bac,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,2,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,19,14,macro_f1,0.735769747903171,568.2538828999968,191.35888671875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f2-s2753-8439c63a5bac.pt,ed7d2189143005b422b981a73183ede014a26c13e412373abf5fb92d813d69c2,tmp/task2/runs/g3-c1-t1-smallcnn-f2-s2753-8439c63a5bac/oof.csv,149280e7a02fb02ee1bdd7ae1050fc5e6a5bdce1530378f99a5f7ec81fe600fd,tmp/task2/runs/g3-c1-t1-smallcnn-f2-s2753-8439c63a5bac/history.json,e165a7bf11bc344579f6e4e281bb525aca0726158ad8c0f5a18d1e5d6b8974c3,completed
G3-C1 reference,g3-c1-t1-smallcnn-f3-s2753-16f0d6eb1cbc,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,3,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,30,28,macro_f1,0.7509616550947982,874.9446290999767,191.35888671875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f3-s2753-16f0d6eb1cbc.pt,bee2da36bfe617b5501591445a896553e494b99014f1ec397d60158c18cdd73f,tmp/task2/runs/g3-c1-t1-smallcnn-f3-s2753-16f0d6eb1cbc/oof.csv,779be00d98e0bca2b163b023acab8473a19a3e5fcdd570f7855878b8f5ef4025,tmp/task2/runs/g3-c1-t1-smallcnn-f3-s2753-16f0d6eb1cbc/history.json,5b7f2c89c162451f62a87fb027cad3236a027113c1d1f740d32b310c7b07bfd4,completed
G3-C1 reference,g3-c1-t1-smallcnn-f4-s2753-2b4a6d779fa3,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,4,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,18,13,macro_f1,0.723007465506373,540.3081850999733,191.35888671875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f4-s2753-2b4a6d779fa3.pt,442bbd7226ef67992026d37ae36dcb30dc7e76658e42c0984571a0b2a593731a,tmp/task2/runs/g3-c1-t1-smallcnn-f4-s2753-2b4a6d779fa3/oof.csv,a27c7e7ba3a5f5948acb9934b6cd6a47814c3a58e9311435793c7003ca767350,tmp/task2/runs/g3-c1-t1-smallcnn-f4-s2753-2b4a6d779fa3/history.json,37f62de64618ea41d03d2f2c792f01074b711b4c658d6c5376d2c69b96312e21,completed
I1 effective-number,g4-i1-effective-number-c1-f0-s2753-9288633e212b,g4_i1_class_balanced,g4-i1-effective-number-c1,smallcnn,false,true,true,0,2753,2f0c1f0bbc85368b03fc4d84357df35ba7a0aa54,false,fb5c8424d369c3a4dfb021a2d9fb6673782d1df27ed2afacbfcb2af3eb00e666,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,7922b7668004749b66613e18da5950f0d4970040831b052b7153e8151253f4a7,a0-7dba8a62f166046d,effective_number_beta_0.9999,30,17,12,macro_f1,0.694792442575531,388.1113777999999,190.8984375,1174244,tmp/task2/checkpoints/g4-i1-effective-number-c1-f0-s2753-9288633e212b.pt,5e7dd308d6d5a282598d982c6291eddb463273caa5ea786b40ffc250d6f8e347,tmp/task2/runs/g4-i1-effective-number-c1-f0-s2753-9288633e212b/oof.csv,ae9cf3665912eb982a405b88a36a120879ec3158cc23d15c24c0336db9bb4a34,tmp/task2/runs/g4-i1-effective-number-c1-f0-s2753-9288633e212b/history.json,997f6019f61911a6b3a8e8785eb8e4a2b668916cf22085b2ccd03fe9385b9ece,completed
I1 effective-number,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,g4_i1_class_balanced,g4-i1-effective-number-c1,smallcnn,false,true,true,1,2753,2f0c1f0bbc85368b03fc4d84357df35ba7a0aa54,false,fb5c8424d369c3a4dfb021a2d9fb6673782d1df27ed2afacbfcb2af3eb00e666,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,7922b7668004749b66613e18da5950f0d4970040831b052b7153e8151253f4a7,a0-7dba8a62f166046d,effective_number_beta_0.9999,30,29,24,macro_f1,0.71738902018089,503.185656799993,190.8984375,1174244,tmp/task2/checkpoints/g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5.pt,31a9a93daf88a2e2ed0938457e7f733f2e2ef8996681dcd4ff8664d0858d1817,tmp/task2/runs/g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5/oof.csv,90f00fed48765784e863b781ff1510649f9e901d359cffa9dbf14f040ff311ac,tmp/task2/runs/g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5/history.json,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,completed
I1 effective-number,g4-i1-effective-number-c1-f2-s2753-fcf43c3cba42,g4_i1_class_balanced,g4-i1-effective-number-c1,smallcnn,false,true,true,2,2753,2f0c1f0bbc85368b03fc4d84357df35ba7a0aa54,false,fb5c8424d369c3a4dfb021a2d9fb6673782d1df27ed2afacbfcb2af3eb00e666,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,7922b7668004749b66613e18da5950f0d4970040831b052b7153e8151253f4a7,a0-7dba8a62f166046d,effective_number_beta_0.9999,30,18,13,macro_f1,0.711970481418817,307.7955422999803,191.359375,1174244,tmp/task2/checkpoints/g4-i1-effective-number-c1-f2-s2753-fcf43c3cba42.pt,e32c9a2c3515ec082b97d1948164d469fe01ef19c78b12cfab83d9ebd11f0670,tmp/task2/runs/g4-i1-effective-number-c1-f2-s2753-fcf43c3cba42/oof.csv,a799fc93f33c1759e71d7e3238b42c303504da6e6096ed273de3d63bc5db1c5d,tmp/task2/runs/g4-i1-effective-number-c1-f2-s2753-fcf43c3cba42/history.json,cb439c747bad3243cb20f7f9d0ce4bf5591331369c6e47ec02887665060f96d1,completed
I1 effective-number,g4-i1-effective-number-c1-f3-s2753-288f70adf96f,g4_i1_class_balanced,g4-i1-effective-number-c1,smallcnn,false,true,true,3,2753,2f0c1f0bbc85368b03fc4d84357df35ba7a0aa54,false,fb5c8424d369c3a4dfb021a2d9fb6673782d1df27ed2afacbfcb2af3eb00e666,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,7922b7668004749b66613e18da5950f0d4970040831b052b7153e8151253f4a7,a0-7dba8a62f166046d,effective_number_beta_0.9999,30,26,21,macro_f1,0.7361513300003564,496.0641043999931,191.359375,1174244,tmp/task2/checkpoints/g4-i1-effective-number-c1-f3-s2753-288f70adf96f.pt,f7d5cb8c06d91df082b167cf0dae5de37ab3f85818b7d4cba4f8fe1b82482c1a,tmp/task2/runs/g4-i1-effective-number-c1-f3-s2753-288f70adf96f/oof.csv,def63fe42bb9485fb3cbebb81e0923d516b062b98f6eddcd834f2e05de50d671,tmp/task2/runs/g4-i1-effective-number-c1-f3-s2753-288f70adf96f/history.json,f219069c8ff5663226e94a6c2eb5bbcae02d41a66e7e3c486d90eb5fa1da751d,completed
I1 effective-number,g4-i1-effective-number-c1-f4-s2753-a70502c769db,g4_i1_class_balanced,g4-i1-effective-number-c1,smallcnn,false,true,true,4,2753,2f0c1f0bbc85368b03fc4d84357df35ba7a0aa54,false,fb5c8424d369c3a4dfb021a2d9fb6673782d1df27ed2afacbfcb2af3eb00e666,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,7922b7668004749b66613e18da5950f0d4970040831b052b7153e8151253f4a7,a0-7dba8a62f166046d,effective_number_beta_0.9999,30,11,6,macro_f1,0.6443061784444162,585.1844757000217,191.359375,1174244,tmp/task2/checkpoints/g4-i1-effective-number-c1-f4-s2753-a70502c769db.pt,16c498e162c689b9be5ecd68880c8f487c6576980387456cb61c024d220ac501,tmp/task2/runs/g4-i1-effective-number-c1-f4-s2753-a70502c769db/oof.csv,acab97425c5dd894d5c360b13a00d1df07c6368a6019bb98bbba307722d060c6,tmp/task2/runs/g4-i1-effective-number-c1-f4-s2753-a70502c769db/history.json,e84dcbcfe1a15c70e0726f5628760ce8c20426ed8493dae79c18ff59ae3aa5e6,completed
