experiment_id,auxiliary_weight,epoch,fold_count,train_total_loss_mean,train_total_loss_sd,validation_total_loss_mean,validation_total_loss_sd,validation_accuracy_mean,validation_accuracy_sd,validation_macro_f1_mean,validation_macro_f1_sd,common_five_fold_horizon
g4-i2-article-type-lambda-0-1-c1,0.1,1,5,1.3084437519003638,0.0022773041549441373,1.2006499753390396,0.11379575055255607,0.5724694817781801,0.028991577126584154,0.48570507399750645,0.04189499718990016,27
g4-i2-article-type-lambda-0-1-c1,0.1,2,5,1.0027545997998526,0.003278181074999907,0.9955144943083422,0.07019940125042305,0.6417146789886772,0.026411021401722794,0.608321575609698,0.044533246978969744,27
g4-i2-article-type-lambda-0-1-c1,0.1,3,5,0.9042355632185837,0.004892403155802602,1.097971326921773,0.45742943350828646,0.6066278525175262,0.1434625557523829,0.595656570939075,0.17384843936257174,27
g4-i2-article-type-lambda-0-1-c1,0.1,4,5,0.8583492720839276,0.0033106676555851333,0.9027868088324489,0.09111316217747872,0.6632070264402372,0.03309795675838895,0.6342530472704574,0.06159689055723873,27
g4-i2-article-type-lambda-0-1-c1,0.1,5,5,0.8255033399534757,0.0047991899167723106,0.8710056660080792,0.02067472871517637,0.673434687279092,0.00609312285925339,0.6529780225051421,0.009530621533577827,27
g4-i2-article-type-lambda-0-1-c1,0.1,6,5,0.7962925574626106,0.004068027982058557,0.8258672004571505,0.030256652068644252,0.6909919671536172,0.01869968603212568,0.6718231352735453,0.025098338126703985,27
g4-i2-article-type-lambda-0-1-c1,0.1,7,5,0.7732562781055593,0.003990107611091893,0.8586514265231319,0.1593468416603404,0.6959098197219223,0.040232655426964976,0.667717526478161,0.06197299500193836,27
g4-i2-article-type-lambda-0-1-c1,0.1,8,5,0.7531248371666313,0.0035023696833278513,0.8092595096028509,0.062094371884795066,0.6983485881293128,0.03286557172732117,0.6869291107117166,0.03581037136549766,27
g4-i2-article-type-lambda-0-1-c1,0.1,9,5,0.7343252249315748,0.0016251509461748268,0.775498802567679,0.025029112507200007,0.7109580958355484,0.01987318680230241,0.6952002951673446,0.02739159883889415,27
g4-i2-article-type-lambda-0-1-c1,0.1,10,5,0.7159536068475757,0.0032808506274795363,0.7805754681649251,0.06106381200514394,0.7137964575950012,0.026185345607889553,0.7046630987851112,0.012514090839926278,27
g4-i2-article-type-lambda-0-1-c1,0.1,11,5,0.7032731728243372,0.0025627564271956025,0.7475422780456306,0.027386534496177884,0.7278429069225941,0.01202227612260792,0.7116462289407769,0.012644177831655692,27
