variant,experiment_id,auxiliary_weight,label,precision,recall,f1,support,delta_f1_vs_reference
G3-C1 reference,g3-c1-t1-smallcnn,0.0,Fall,0.7205293189267937,0.6647625448028673,0.6915234488785319,8928,0.0
G3-C1 reference,g3-c1-t1-smallcnn,0.0,Spring,0.9164835164835164,0.6275395033860045,0.74497543546226,1329,0.0
G3-C1 reference,g3-c1-t1-smallcnn,0.0,Summer,0.748027972027972,0.8235910070834617,0.7839929639401935,16235,0.0
G3-C1 reference,g3-c1-t1-smallcnn,0.0,Winter,0.763915547024952,0.6992493211946973,0.7301534356237491,6261,0.0
I2 lambda=0.1,g4-i2-article-type-lambda-0-1-c1,0.1,Fall,0.7440491104986219,0.6652105734767025,0.7024246008279125,8928,0.010901151949380572
I2 lambda=0.1,g4-i2-article-type-lambda-0-1-c1,0.1,Spring,0.9220085470085471,0.6493604213694507,0.7620309050772627,1329,0.017055469615002705
I2 lambda=0.1,g4-i2-article-type-lambda-0-1-c1,0.1,Summer,0.7555211158465711,0.8407761010163227,0.7958719608186111,16235,0.011878996878417647
I2 lambda=0.1,g4-i2-article-type-lambda-0-1-c1,0.1,Winter,0.7744452149791956,0.7134643028270244,0.7427051292709286,6261,0.012551693647179452
I2 lambda=0.3,g4-i2-article-type-lambda-0-3-c1,0.3,Fall,0.7444889779559118,0.6657706093189965,0.7029328287606433,8928,0.011409379882111437
I2 lambda=0.3,g4-i2-article-type-lambda-0-3-c1,0.3,Spring,0.9347826086956522,0.6471030850263356,0.7647843485993775,1329,0.019808913137117523
I2 lambda=0.3,g4-i2-article-type-lambda-0-3-c1,0.3,Summer,0.7550077041602465,0.845087773329227,0.7975121341587468,16235,0.013519170218553311
I2 lambda=0.3,g4-i2-article-type-lambda-0-3-c1,0.3,Winter,0.7838647172802536,0.7107490816163552,0.7455185123136203,6261,0.015365076689871193
