candidate,experiment_id,seed,predicted_label,count,proportion_of_true_spring,mean_confidence
C2,g5-c2-t0-resnet18-s2026,2026,Fall,102,0.07674943566591422,0.5739972135599922
C2,g5-c2-t0-resnet18-s2026,2026,Spring,832,0.6260346124905944,0.9473876915513896
C2,g5-c2-t0-resnet18-s2026,2026,Summer,316,0.23777276147479307,0.6584410243962384
C2,g5-c2-t0-resnet18-s2026,2026,Winter,79,0.059443190368698266,0.6491859162910075
C2,g3-c2-t0-resnet18,2753,Fall,84,0.06320541760722348,0.621945125006494
C2,g3-c2-t0-resnet18,2753,Spring,838,0.6305492851768246,0.9598378907168964
C2,g3-c2-t0-resnet18,2753,Summer,336,0.2528216704288939,0.689984670086276
C2,g3-c2-t0-resnet18,2753,Winter,71,0.05342362678705794,0.6858280280106505
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,Fall,82,0.06170052671181339,0.6423397198682879
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,Spring,835,0.6282919488337095,0.9521794657864256
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,Summer,332,0.24981188863807374,0.6941554188189736
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,Winter,80,0.06019563581640331,0.6963712964206934
I2,g4-i2-article-type-lambda-0-3-c1,2753,Fall,94,0.07072987208427389,0.6447602164872149
I2,g4-i2-article-type-lambda-0-3-c1,2753,Spring,860,0.6471030850263356,0.9629010466642158
I2,g4-i2-article-type-lambda-0-3-c1,2753,Summer,314,0.236267870579383,0.6789242536968486
I2,g4-i2-article-type-lambda-0-3-c1,2753,Winter,61,0.04589917231000752,0.6771989860495583
