scope,fold,method,descriptor_fingerprint,size,query_source,gallery_source,protocol,slice,metric,k,aggregation,value,total_queries,scored_queries,excluded_queries,coverage
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,teacher,primary,grayscale,ndcg,10,query_mean,0.52413499,44,44,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,teacher,primary,rare_article_type,ndcg,10,query_mean,0.28749348,40,40,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,teacher,primary,rare_type_colour,ndcg,10,query_mean,0.40438879,833,829,4,0.99519808
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,teacher,primary,unusual_geometry,ndcg,10,query_mean,0.34457583,2,2,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,teacher,family,family_unavailable,recall,10,query_mean,,3937,0,3937,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,teacher,family,weak_family,recall,10,query_mean,0.36914808,1659,1659,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,v1,primary,grayscale,ndcg,10,query_mean,0.52006485,44,44,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,v1,primary,rare_article_type,ndcg,10,query_mean,0.23501423,40,40,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,v1,primary,rare_type_colour,ndcg,10,query_mean,0.36956265,833,829,4,0.99519808
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,v1,primary,unusual_geometry,ndcg,10,query_mean,0.28960229,2,2,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,v1,family,family_unavailable,recall,10,query_mean,,3937,0,3937,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,teacher,v1,family,weak_family,recall,10,query_mean,0.34142053,1659,1659,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,teacher,primary,grayscale,ndcg,10,query_mean,0.54395587,44,44,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,teacher,primary,rare_article_type,ndcg,10,query_mean,0.31916168,40,40,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,teacher,primary,rare_type_colour,ndcg,10,query_mean,0.40169018,833,829,4,0.99519808
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,teacher,primary,unusual_geometry,ndcg,10,query_mean,0.33921971,2,2,0,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,teacher,family,family_unavailable,recall,10,query_mean,,3937,0,3937,0.00000000
