scope,fold,method,descriptor_fingerprint,size,query_source,gallery_source,slice,query_variant,query_id,metric,value,rank,candidate_id,distance
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,normal_success,clean,11281,ndcg_at_10,1.00000000,1,12758,0.03950846
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,normal_success,clean,11281,ndcg_at_10,1.00000000,2,16517,0.04807377
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,normal_success,clean,11281,ndcg_at_10,1.00000000,3,16504,0.04821402
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,normal_success,clean,11281,ndcg_at_10,1.00000000,4,12828,0.04912794
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,normal_success,clean,11281,ndcg_at_10,1.00000000,5,12044,0.05183542
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,1,42059,0.14367938
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,2,46791,0.15925962
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,3,44036,0.16237658
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,4,46764,0.16718376
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,5,44024,0.16882539
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_article_type,clean,12440,ndcg_at_10,0.00000000,1,19885,0.11383188
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_article_type,clean,12440,ndcg_at_10,0.00000000,2,49798,0.11468905
