scope,fold,method,descriptor_fingerprint,size,query_source,gallery_source,protocol,slice,metric,k,aggregation,value,total_queries,scored_queries,excluded_queries,coverage
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,teacher,primary,grayscale,ndcg,10,query_mean,0.58965540,44,44,0,1.00000000
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,teacher,primary,rare_article_type,ndcg,10,query_mean,0.31475851,40,40,0,1.00000000
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,teacher,primary,rare_type_colour,ndcg,10,query_mean,0.41118708,833,829,4,0.99519808
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,teacher,primary,unusual_geometry,ndcg,10,query_mean,0.43777292,2,2,0,1.00000000
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,teacher,family,family_unavailable,recall,10,query_mean,,3937,0,3937,0.00000000
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,teacher,family,weak_family,recall,10,query_mean,0.42867189,1659,1659,0,1.00000000
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,v1,primary,grayscale,ndcg,10,query_mean,0.57007523,44,44,0,1.00000000
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,v1,primary,rare_article_type,ndcg,10,query_mean,0.27622207,40,40,0,1.00000000
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,v1,primary,rare_type_colour,ndcg,10,query_mean,0.38999371,833,829,4,0.99519808
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,v1,primary,unusual_geometry,ndcg,10,query_mean,0.37756342,2,2,0,1.00000000
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,teacher,v1,family,family_unavailable,recall,10,query_mean,,3937,0,3937,0.00000000
