method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.51892515,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.42100253,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.76175214,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.53278939,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.23782051,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.12143936,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.03508237,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.02898539,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,10,query_mean,0.50509156,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,10,article_type_macro,0.40894731,6552,104,
