scope,fold,method,descriptor_fingerprint,query_source,gallery_source,metric,percentile,value_seconds,timed_queries
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,teacher,encoding,p50,0.02220544,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,teacher,encoding,p95,0.02286737,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,teacher,search,p50,0.13194216,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,teacher,search,p95,0.13642440,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,teacher,end_to_end,p50,0.15416504,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,teacher,end_to_end,p95,0.15863599,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,v1,encoding,p50,0.09274757,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,v1,encoding,p95,0.10326058,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,v1,search,p50,0.13430440,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,v1,search,p95,0.13917766,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,v1,end_to_end,p50,0.22871015,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,v1,end_to_end,p95,0.24028772,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,v1,encoding,p50,0.02214863,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,v1,encoding,p95,0.02286883,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,v1,search,p50,0.13270935,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,v1,search,p95,0.13704838,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,v1,end_to_end,p50,0.15488796,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,teacher,v1,end_to_end,p95,0.15927053,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,teacher,encoding,p50,0.09179820,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,teacher,encoding,p95,0.10277765,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,teacher,search,p50,0.13575224,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,teacher,search,p95,0.13989002,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,teacher,end_to_end,p50,0.22845316,6556
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,v1,teacher,end_to_end,p95,0.24046574,6556
