contact_number,source,source_id,sheet
1,amazon_reviews_2023,B009DAHKNI,combined_accepted_01.png
2,amazon_reviews_2023,B019OYU4NK,combined_accepted_01.png
3,amazon_reviews_2023,B08KW2KC8W,combined_accepted_01.png
4,amazon_reviews_2023,B07SB54HFL,combined_accepted_01.png
5,amazon_reviews_2023,B075JBQ916,combined_accepted_01.png
6,amazon_reviews_2023,B0893C3QRM,combined_accepted_01.png
7,amazon_reviews_2023,B08JL7CV7Y,combined_accepted_01.png
8,amazon_reviews_2023,B096FBT3R8,combined_accepted_01.png
9,amazon_reviews_2023,B07R511SJJ,combined_accepted_01.png
10,amazon_reviews_2023,B087X3X7LS,combined_accepted_01.png
11,amazon_reviews_2023,B015FNKUBK,combined_accepted_01.png
12,amazon_reviews_2023,B00GTHJLG2,combined_accepted_01.png
13,amazon_reviews_2023,B07CR9JFGJ,combined_accepted_01.png
14,amazon_reviews_2023,B084Q135JG,combined_accepted_01.png
15,amazon_reviews_2023,B09TKVLCTV,combined_accepted_01.png
16,amazon_reviews_2023,B08FG1G9FT,combined_accepted_01.png
17,flipkart_party,SHOEARZJRN6RGQR6,combined_accepted_01.png
18,flipkart_party,SNDE33WXXFHJUZPD,combined_accepted_01.png
19,flipkart_party,BRAEBKJSNVGDG4DP,combined_accepted_01.png
20,flipkart_party,SHTE644DZWTFY6KD,combined_accepted_01.png
21,flipkart_party,SHOE4K54VP44KTZK,combined_accepted_02.png
22,flipkart_party,TSHE44QJ9ZN7V7AT,combined_accepted_02.png
23,flipkart_party,TOPEFGG8TJGJ7QDT,combined_accepted_02.png
24,flipkart_party,SNDEDFYPJFHXG98W,combined_accepted_02.png
25,flipkart_party,SHTE4ZP5ZXGGJ5FN,combined_accepted_02.png
26,flipkart_party,SNDE6BQFXAGRVGF5,combined_accepted_02.png
27,flipkart_party,SNDEJRB4D4RDAN6E,combined_accepted_02.png
28,flipkart_party,TOPEGBSUC8JDVQVY,combined_accepted_02.png
29,flipkart_party,DREE6TUDFCEGGVWM,combined_accepted_02.png
30,flipkart_party,SHTE93RYMXUU7P6Q,combined_accepted_02.png
31,flipkart_party,SNDEF3R3VB55PJBX,combined_accepted_02.png
32,flipkart_party,SHTDZWNYZFV33BAX,combined_accepted_02.png
33,flipkart_party,BRAED6G63H64TSXJ,combined_accepted_02.png
