role,id,field,issue_code,severity,action,details
train,-1,file,non_image_file,warning,ignored,non_image_extension
train,5354,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5355,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5360,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5361,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5365,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5368,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5370,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5376,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5377,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5380,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5385,season,missing_target_label,warning,masked,val has_season_label is false; target is not imputed
train,5389,season,missing_target_label,warning,masked,val has_season_label is false; target is not imputed
train,5390,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5391,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5392,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5398,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5401,season,missing_target_label,warning,masked,val has_season_label is false; target is not imputed
train,5402,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5406,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,5407,season,missing_target_label,warning,masked,train has_season_label is false; target is not imputed
train,12347,image,missing_image,error,excluded_from_manifest,metadata row has no valid training image
train,28319,usage,missing_target_label,warning,masked,train has_usage_label is false; target is not imputed
train,39401,image,missing_image,error,excluded_from_manifest,metadata row has no valid training image
train,39403,image,missing_image,error,excluded_from_manifest,metadata row has no valid training image
train,39410,image,missing_image,error,excluded_from_manifest,metadata row has no valid training image
train,39425,image,missing_image,error,excluded_from_manifest,metadata row has no valid training image
