target,class,partition,count,percentage,scope
articleType,Accessory Gift Set,train,76,0.2815649081209247,development_targets_only
articleType,Baby Dolls,train,2,0.007409602845287492,development_targets_only
articleType,Backpacks,train,498,1.8449911084765858,development_targets_only
articleType,Bangle,train,42,0.15560165975103735,development_targets_only
articleType,Basketballs,train,10,0.03704801422643746,development_targets_only
articleType,Belts,train,557,2.0635743924125665,development_targets_only
articleType,Blazers,train,6,0.02222880853586248,development_targets_only
articleType,Body Wash and Scrub,train,1,0.003704801422643746,development_targets_only
articleType,Booties,train,8,0.02963841138114997,development_targets_only
articleType,Boxers,train,28,0.1037344398340249,development_targets_only
articleType,Bra,train,205,0.759484291641968,development_targets_only
articleType,Bracelet,train,37,0.1370776526378186,development_targets_only
articleType,Briefs,train,468,1.7338470657972733,development_targets_only
articleType,Camisoles,train,11,0.04075281564908121,development_targets_only
articleType,Capris,train,111,0.4112329579134559,development_targets_only
articleType,Caps,train,188,0.6965026674570244,development_targets_only
articleType,Casual Shoes,train,1874,6.942797866034381,development_targets_only
articleType,Churidar,train,22,0.08150563129816242,development_targets_only
articleType,Clothing Set,train,6,0.02222880853586248,development_targets_only
articleType,Clutches,train,155,0.5742442205097807,development_targets_only
articleType,Compact,train,4,0.014819205690574985,development_targets_only
articleType,Concealer,train,2,0.007409602845287492,development_targets_only
articleType,Cufflinks,train,32,0.11855364552459988,development_targets_only
articleType,Cushion Covers,train,1,0.003704801422643746,development_targets_only
articleType,Deodorant,train,203,0.7520746887966805,development_targets_only
articleType,Dresses,train,237,0.8780379371665679,development_targets_only
articleType,Duffel Bag,train,60,0.22228808535862477,development_targets_only
articleType,Dupatta,train,82,0.3037937166567872,development_targets_only
articleType,Earrings,train,171,0.6335210432720806,development_targets_only
articleType,Eyeshadow,train,3,0.01111440426793124,development_targets_only
articleType,Flats,train,293,1.0855068168346176,development_targets_only
articleType,Flip Flops,train,604,2.237700059276823,development_targets_only
articleType,Footballs,train,6,0.02222880853586248,development_targets_only
articleType,Formal Shoes,train,423,1.5671310017783047,development_targets_only
articleType,Foundation and Primer,train,10,0.03704801422643746,development_targets_only
articleType,Fragrance Gift Set,train,39,0.14448725548310612,development_targets_only
articleType,Free Gifts,train,47,0.1741256668642561,development_targets_only
articleType,Gloves,train,15,0.05557202133965619,development_targets_only
articleType,Handbags,train,1005,3.723325429756965,development_targets_only
articleType,Hat,train,1,0.003704801422643746,development_targets_only
articleType,Headband,train,5,0.01852400711321873,development_targets_only
articleType,Heels,train,732,2.7119146413752224,development_targets_only
articleType,Highlighter and Blush,train,4,0.014819205690574985,development_targets_only
articleType,Innerwear Vests,train,168,0.6224066390041494,development_targets_only
articleType,Ipad,train,1,0.003704801422643746,development_targets_only
articleType,Jackets,train,158,0.5853586247777119,development_targets_only
articleType,Jeans,train,387,1.4337581505631298,development_targets_only
articleType,Jeggings,train,19,0.07039122703023118,development_targets_only
articleType,Jewellery Set,train,32,0.11855364552459988,development_targets_only
articleType,Jumpsuit,train,9,0.033343212803793716,development_targets_only
articleType,Kajal and Eyeliner,train,10,0.03704801422643746,development_targets_only
articleType,Key chain,train,1,0.003704801422643746,development_targets_only
articleType,Kurta Sets,train,53,0.19635447540011855,development_targets_only
articleType,Kurtas,train,1085,4.019709543568465,development_targets_only
articleType,Kurtis,train,141,0.5223770005927681,development_targets_only
articleType,Laptop Bag,train,55,0.20376407824540607,development_targets_only
articleType,Leggings,train,111,0.4112329579134559,development_targets_only
articleType,Lehenga Choli,train,1,0.003704801422643746,development_targets_only
articleType,Lip Gloss,train,4,0.014819205690574985,development_targets_only
articleType,Lip Liner,train,10,0.03704801422643746,development_targets_only
articleType,Lip Plumper,train,2,0.007409602845287492,development_targets_only
articleType,Lipstick,train,6,0.02222880853586248,development_targets_only
articleType,Lounge Pants,train,37,0.1370776526378186,development_targets_only
articleType,Lounge Shorts,train,24,0.08891523414344991,development_targets_only
articleType,Lounge Tshirts,train,1,0.003704801422643746,development_targets_only
articleType,Messenger Bag,train,31,0.11484884410195614,development_targets_only
articleType,Mobile Pouch,train,33,0.12225844694724362,development_targets_only
articleType,Mufflers,train,28,0.1037344398340249,development_targets_only
articleType,Nail Polish,train,14,0.05186721991701245,development_targets_only
articleType,Necklace and Chains,train,44,0.16301126259632484,development_targets_only
articleType,Nehru Jackets,train,3,0.01111440426793124,development_targets_only
articleType,Night suits,train,49,0.18153526970954356,development_targets_only
articleType,Nightdress,train,28,0.1037344398340249,development_targets_only
articleType,Patiala,train,20,0.07409602845287493,development_targets_only
articleType,Pendant,train,88,0.3260225251926497,development_targets_only
articleType,Perfume and Body Mist,train,389,1.4411677534084173,development_targets_only
articleType,Rain Jacket,train,1,0.003704801422643746,development_targets_only
articleType,Rain Trousers,train,1,0.003704801422643746,development_targets_only
articleType,Ring,train,77,0.28526970954356845,development_targets_only
articleType,Robe,train,1,0.003704801422643746,development_targets_only
articleType,Rompers,train,10,0.03704801422643746,development_targets_only
articleType,Rucksacks,train,9,0.033343212803793716,development_targets_only
articleType,Salwar,train,24,0.08891523414344991,development_targets_only
articleType,Salwar and Dupatta,train,5,0.01852400711321873,development_targets_only
articleType,Sandals,train,605,2.2414048606994665,development_targets_only
articleType,Sarees,train,106,0.3927089508002371,development_targets_only
articleType,Scarves,train,76,0.2815649081209247,development_targets_only
articleType,Shapewear,train,1,0.003704801422643746,development_targets_only
articleType,Shirts,train,2156,7.987551867219916,development_targets_only
articleType,Shoe Accessories,train,18,0.06668642560758743,development_targets_only
articleType,Shoe Laces,train,1,0.003704801422643746,development_targets_only
articleType,Shorts,train,368,1.3633669235328987,development_targets_only
articleType,Shrug,train,1,0.003704801422643746,development_targets_only
articleType,Skirts,train,81,0.3000889152341435,development_targets_only
articleType,Socks,train,429,1.589359810314167,development_targets_only
articleType,Sports Sandals,train,44,0.16301126259632484,development_targets_only
articleType,Sports Shoes,train,1393,5.160788381742738,development_targets_only
articleType,Stockings,train,19,0.07039122703023118,development_targets_only
articleType,Stoles,train,63,0.23340248962655602,development_targets_only
articleType,Sunglasses,train,730,2.704505038529935,development_targets_only
articleType,Suspenders,train,28,0.1037344398340249,development_targets_only
articleType,Sweaters,train,191,0.7076170717249556,development_targets_only
articleType,Sweatshirts,train,194,0.7187314759928868,development_targets_only
articleType,Swimwear,train,13,0.048162418494368704,development_targets_only
articleType,Tablet Sleeve,train,1,0.003704801422643746,development_targets_only
articleType,Ties,train,146,0.5409010077059869,development_targets_only
articleType,Ties and Cufflinks,train,1,0.003704801422643746,development_targets_only
articleType,Tights,train,7,0.025933609958506226,development_targets_only
articleType,Tops,train,1127,4.1753112033195015,development_targets_only
articleType,Track Pants,train,204,0.7557794902193242,development_targets_only
articleType,Tracksuits,train,20,0.07409602845287493,development_targets_only
articleType,Travel Accessory,train,10,0.03704801422643746,development_targets_only
articleType,Trolley Bag,train,3,0.01111440426793124,development_targets_only
articleType,Trousers,train,358,1.3263189093064611,development_targets_only
articleType,Trunk,train,98,0.3630705394190871,development_targets_only
articleType,Tshirts,train,4732,17.531120331950206,development_targets_only
articleType,Tunics,train,121,0.44828097213989326,development_targets_only
articleType,Umbrellas,train,4,0.014819205690574985,development_targets_only
articleType,Waist Pouch,train,13,0.048162418494368704,development_targets_only
articleType,Waistcoat,train,10,0.03704801422643746,development_targets_only
articleType,Wallets,train,580,2.1487848251333728,development_targets_only
articleType,Watches,train,1573,5.827652637818613,development_targets_only
articleType,Water Bottle,train,9,0.033343212803793716,development_targets_only
articleType,Wristbands,train,4,0.014819205690574985,development_targets_only
articleType,Accessory Gift Set,val,15,0.2594706798131811,development_targets_only
articleType,Backpacks,val,106,1.8335928040131466,development_targets_only
articleType,Bangle,val,8,0.13838436256702993,development_targets_only
articleType,Basketballs,val,2,0.03459609064175748,development_targets_only
articleType,Belts,val,119,2.05846739318457,development_targets_only
articleType,Blazers,val,1,0.01729804532087874,development_targets_only
articleType,Booties,val,1,0.01729804532087874,development_targets_only
