review_id,family_key,group_rows,id_1,id_2,decision,notes,reviewer_initials,review_date,review_method_or_tool,blind_to_metrics,independent_review,second_reviewer_initials,second_review_decision,second_review_status,disagreement_resolution,signoff_status
name-001,rocia women brown handbag,2,49555,49553,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-002,cat unisex classic black sunglasses,2,17606,17596,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-003,park avenue men white tie,2,49743,50307,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-004,united colors of benetton women funky eyewear brown sunglasses,2,17231,17204,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-005,united colors of benetton women solid black belt,2,20069,20065,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-006,inaya women brown lounge shorts,2,51995,51994,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-007,femella women pink leggings,2,25909,33960,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-008,nike women court majestic white shoes,2,24455,35706,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-009,skechers women tone black sandals,2,11932,11925,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-010,nike men black jacket,2,32618,30615,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-011,scullers men navy blue striped t-shirt,2,40266,40264,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-012,mark taylor men black & white striped shirt,2,17564,17540,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-013,adrika pink necklace,2,46134,46130,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-014,superman men printed blue t-shirt,2,27649,7269,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-015,hush puppies men jungle brown formal shoes,2,12893,9696,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-016,scullers for her grey trousers,2,27904,27916,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-017,fabindia women printed beige kurtis,2,35052,32260,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-018,cobblerz women black peep toes,2,33513,33517,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-019,madagascar 3 infants girls pink booties,2,37549,37574,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-020,timberland women femmes blue casual shoes,2,13376,13362,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-021,aurelia women printed brown kurta,2,31318,28766,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-022,black coffee men micheal blue slim fit shirt,2,15693,15698,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-023,reebok men premier zigfly sports shoes,2,13689,13691,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-024,wrangler men black polo tshirts,2,10835,10856,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-025,peter england men casual navy blue belt,2,18813,18808,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-026,nike women free 4.0 v2 grey sports shoes,2,36143,36837,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-027,fabindia women red kurta,2,30866,32242,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-028,carlton london women classy silver heels,2,20780,20775,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-029,wrangler men american flag red shirt,2,29769,25534,uncertain,small or occluded image prevents a firm call,,,,,,,,,,pending_team_signoff
name-030,nike men dunk high grey shoes,2,42133,36130,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-031,fabindia women white printed kurta,4,30848,46019,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-032,levis men pack of 2 briefs,3,25353,25354,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-033,flying machine women washed blue jeans,5,14122,14117,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-034,bulchee women brown handbag,4,46974,46981,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-035,maxima ssteele men watch,4,23261,23280,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-036,dunhill men perfume,3,44084,44083,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-037,image men classic eyewear black sunglasses,5,16953,16951,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-038,jack & jones men blue jeans,5,44930,44923,uncertain,small or occluded image prevents a firm call,,,,,,,,,,pending_team_signoff
name-039,woodland men brown casual sandals,4,22891,22888,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-040,pal zileri men casual metalic frame sunglasses,4,21350,21342,uncertain,small or occluded image prevents a firm call,,,,,,,,,,pending_team_signoff
name-041,scullers men scul cream trousers,4,8841,8884,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-042,titan women silver dial watch,5,40552,40543,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-043,doodle kids boy beige shorts,3,27217,27208,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-044,little miss intimates women navy blue brief,3,42819,42813,uncertain,small or occluded image prevents a firm call,,,,,,,,,,pending_team_signoff
name-045,puma men red t-shirt,5,44877,44858,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-046,playboy men casual grey casual shoes,4,11832,11839,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-047,basics men grey trousers,4,12221,29846,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-048,peter england men elite black tie,4,18785,18769,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-049,french connection men blue printed t-shirt,3,48416,48437,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-050,helix women black watch,3,48024,47992,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-051,vans men black shoes,3,44660,49510,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-052,fastrack unisex black casual watch,5,22946,22941,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-053,rocia women brown casual sandals,3,26184,26185,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-054,w women printed green kurta,4,28732,28725,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-055,fastrack women pink dial watch,5,43161,25632,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-056,adidas women stripes pink sweaters,3,15030,14324,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-057,woodland men brown sandals,4,43547,38787,different,same catalogue text but visibly different design,,,,,,,,,,pending_team_signoff
name-058,playboy men casual blue slippers,3,11864,11860,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
name-059,prafful multi coloured printed sari,3,50870,50884,same_or_variant,same design or clear colour/angle variant,,,,,,,,,,pending_team_signoff
