id,path,sha256,articleType,baseColour,productDisplayName,duplicate_group,product_family_group,partition,cv_fold
1163,data/raw/teacher/train/images_train/1163.jpg,00f9e2852e2727492ea7f7bb1cd751ba7c1b012dbd5d4de141d2b08b0bd73f89,Tshirts,Blue,Nike Sahara Team India Fanwear Round Neck Jersey,single_00f9e2852e27,family_998bae6a40b82ac1,development,0
1164,data/raw/teacher/train/images_train/1164.jpg,b2943e771e61145743485c9f2a5227479f01fcdd669aecc1d0ad6fe393efdca8,Tshirts,Blue,Nike Men Blue T20 Indian Cricket Jersey,single_b2943e771e61,family_9e468662812f45d0,development,3
1526,data/raw/teacher/train/images_train/1526.jpg,82b23691f7b91d818d618d7ec1b2d533faaca5d8fd89216090c94b3d7cc0ff70,Backpacks,Black,Puma Big Cat Backpack Black,single_82b23691f7b9,family_70c023a77b3abc66,development,0
1528,data/raw/teacher/train/images_train/1528.jpg,67a3f5a06cb022fff81027b5a84e8efbbc206c435f5468bdd3ac21ae58048d42,Jackets,Black,Puma Men Ferrari Black Fleece Jacket,single_67a3f5a06cb0,family_7e46d737fdcad874,development,3
1530,data/raw/teacher/train/images_train/1530.jpg,0a319ed72c6bb81954eebf2543927a9a553adadfd2dbdf306947d507d723e284,Jackets,Red,Puma Men Ferrari Track Jacket,single_0a319ed72c6b,family_8ff9538e65e6781d,development,4
1531,data/raw/teacher/train/images_train/1531.jpg,d1675a8723b9cfbed2a0afe7e0a0e1ee94a09e2ac6ba5d0128d1ac0bbeb7d18c,Tshirts,Grey,Puma Men Grey Solid Round Neck T-Shirt,single_d1675a8723b9,family_f1294f35f19846cd,development,2
1533,data/raw/teacher/train/images_train/1533.jpg,419a0884d75d6dc4f099d6a279b82bfa621ccacb76a1ad83733b1c9433c36c17,Tshirts,Red,Puma Men Cat Red T-shirt,single_419a0884d75d,family_15310fd04ea64483,development,2
1535,data/raw/teacher/train/images_train/1535.jpg,d73279132d27771a2b60bb1c602bf7a441716b8566e2758e58a0b52ad5f979ab,Caps,Black,Puma Unisex Logo Cap,single_d73279132d27,family_7ab74ac64fd9a732,development,3
1536,data/raw/teacher/train/images_train/1536.jpg,d91c7e17c5fc501b2885a0aa4a936782c1d8875cfb79d6e7ec173da4fc1d9518,Tshirts,Black,Puma Men Black Net Jersey,single_d91c7e17c5fc,family_b51e45a12fbae3d0,development,0
1538,data/raw/teacher/train/images_train/1538.jpg,4f329d66409bb5233e48b34bd402a4e802b60659ad9bd931b6a2a6dfaa05cce5,Tshirts,Blue,Puma Men Ferrari Track Black T-shirt,single_4f329d66409b,family_0f8e631d28e2a339,development,0
1539,data/raw/teacher/train/images_train/1539.jpg,29a6ff471a4e4d02fc44e5db26618cca96da36b2046134a9c814a92e9619a155,Tshirts,Grey,Puma Men Ferrari Grey T-shirt,single_29a6ff471a4e,family_731d65cdd441fde2,development,0
1540,data/raw/teacher/train/images_train/1540.jpg,53e770fec832e711944ac6b8df78d6e366373bd8299cd07dcdf13223c42bf9de,Tshirts,Blue,Puma Men Ferrari Vintage Black Polo T-shirt,single_53e770fec832,family_c73c63198a1338f0,development,3
