original_notebook,retained_notebook,original_sha256,training_calls_sha256
04a_task3_smallcnn_baseline_training.ipynb,smallcnn_baseline_training.ipynb,d2e66fafc5a3814c2b8b7429c4a50c8a95c2b8a9f8d051e002c4afe32023850d,1b27bbc4c8934650078be85a538cafb1837a0b44ff39da23d0694f95611afb83
04aa_task3_gender_dropout_darkening_screen.ipynb,gender_dropout_darkening_screen.ipynb,464e9fb5b29c970ca1413591f1c8d256381a03e26e29b035fc378035b7c17db7,59f3a6bad710f618f67b10e1bf2d01ee427cf9320e4aacd9866a43ab9cf2e8e9
04ab_task3_gender_stronger_dropout_screen.ipynb,gender_stronger_dropout_screen.ipynb,859c16f91445147aa585a0e517126731dd12f03920fcc532e0d4ad2d1053e0f1,1e52258ec81d227276b888ba68d5c77738e0afaabd1f2076a57a35bb6839f126
04ac_task3_gender_grayscale_screen.ipynb,gender_grayscale_screen.ipynb,d9f73b3f42749f5cdda313583d03703c28e2f7f7144dbd801c2c2fdbedeb17f7,2003b72819cf87a7b1477cbec6126e02e0acaf4342628f522208a5a49d7b6822
04ad_task3_gender_name_truth_screen.ipynb,gender_name_truth_screen.ipynb,f2c011082404ea1e7158992e56d8482438cb6b10bfef33bb48a828f94a7e2b77,3e2e45d3331db5466f9dcb7626de4b9ba7971df1848a28b0ab187956e01b1c0a
04ae_task3_gender_group_weight_screen.ipynb,gender_group_weight_screen.ipynb,90b5b7f69df8e1f531e1cf84eef1fd632ad84bbfa246776a134ac9b27e6a9d92,c3e5e01c27d5fde30a4590c9409c76d0ff4bf898a4c70e765d69db3d84da1901
04af_task3_gender_mixup_screen.ipynb,gender_mixup_screen.ipynb,68b8721a77ec5cb51fd3818dd47ae16db23b7b295f0547e0fb0fe3251df006ad,492ab1e88fd9a7a5665bea8e816e8d0d8067b3c586fd9810a4b3b69c2e30a880
04ag_task3_usage_expanded_e8.ipynb,usage_expanded_e8.ipynb,fa5d6e9f439b84041f0005af76ce769594de066c979e2f7b95ffb6bacf30ef49,565bdf6afc24818cec00f2646869d1513c34d75c5360c9354b34dc9a4166dd40
04ah_task3_gender_stronger_mixup_screen.ipynb,gender_stronger_mixup_screen.ipynb,49455b87d9127d35ede8fd670c5371d02e1369381383dc5eb3741ec92f21731a,f57bffba6badc31ae154a7ef61219917a05dcc2c0500459654eb0d68f9d58b06
04ai_task3_gender_sam_screen.ipynb,gender_sam_screen.ipynb,cc0980a25e7f9b9ea9f31c8f2117d242c77a57cbde8e37fcba0c41380bb56055,268d4e1633446c1cb58f296c443d055d7374394093f3690090abadf7bf2384bf
04aj_task3_gender_sam25_screen.ipynb,gender_sam25_screen.ipynb,87c67c519b39f2940b04d956ff18ec7bbb5123216136368ad4063c0a3531a61b,bbd0479a8f221532d3931f05cb359b5870ae03645f73b4d757eb24ff09acde40
04ak_task3_gender_sam25_five_fold.ipynb,gender_sam25_five_fold.ipynb,2f7d230e79b2d340fe3be31e12bb8147461bd14fb3b06e8f88b73aadc25520df,a1a4a7e65f307b9b64210f1e6330185427b529fc1179423516be76d744d53997
04al_task3_usage_expanded_v2_e8.ipynb,usage_expanded_v2_e8.ipynb,fd395d633c839c23d5814b86609678ce11caaf4bebedc98d71fd50fa6a76317d,dba1c547750d4eccd0039cea222af36d36fdcd742b51c6a68d828726a2b246e0
04am_task3_usage_mixup_sam_screen.ipynb,usage_mixup_sam_screen.ipynb,35539e21667bc9519c927ad65c53f6fb37808b985c76cddd8b4ec940f09dd840,f48d9923cc651bc8fea59d87331f49785058b431d375abc62e2e0ab1b583ee66
