fold,feature,q25,q50,q75
0,brightness,0.7813031226396561,0.8440612852573395,0.9013067483901979
0,foreground_fraction,0.22515624999999997,0.3595833333333333,0.465
0,near_white_fraction,0.545625,0.6541666666666667,0.7802083333333333
1,brightness,0.7814820408821106,0.8442867398262024,0.9013243317604064
1,foreground_fraction,0.2252083333333333,0.359375,0.4654166666666666
1,near_white_fraction,0.545,0.654375,0.7802083333333333
2,brightness,0.7808931320905685,0.8440454006195068,0.9022466987371445
2,foreground_fraction,0.224375,0.3591666666666667,0.4645833333333333
2,near_white_fraction,0.5458333333333333,0.6547916666666667,0.7804166666666666
3,brightness,0.780849277973175,0.8440914750099182,0.901573896408081
3,foreground_fraction,0.2252083333333333,0.359375,0.465
3,near_white_fraction,0.5452083333333333,0.654375,0.7802083333333333
4,brightness,0.7808405160903931,0.8436421751976013,0.9014969766139983
4,foreground_fraction,0.225625,0.3594791666666667,0.465625
4,near_white_fraction,0.54453125,0.6539583333333333,0.7797916666666667
