id,cv_fold,product_family_group,usage,articleType,path
1164,3,family_9e468662812f45d0,Sports,Tshirts,data/raw/teacher/train/images_train/1164.jpg
1537,1,family_6a27eece1c1658b2,Sports,Tshirts,data/raw/teacher/train/images_train/1537.jpg
1559,3,family_1e797595727addd0,Travel,Backpacks,data/raw/teacher/train/images_train/1559.jpg
1563,2,family_e830a0d7d5f30372,Sports,Tshirts,data/raw/teacher/train/images_train/1563.jpg
1565,3,family_956b130106fbc089,Travel,Backpacks,data/raw/teacher/train/images_train/1565.jpg
1598,2,family_191024c47d6c2b3c,Travel,Handbags,data/raw/teacher/train/images_train/1598.jpg
1605,1,family_5909daa6fb5cf239,Sports,Track Pants,data/raw/teacher/train/images_train/1605.jpg
1609,3,family_8cd6cb7e1601eb5d,Sports,Sweatshirts,data/raw/teacher/train/images_train/1609.jpg
1620,1,family_3ce59e84971bc7e6,Sports,Shorts,data/raw/teacher/train/images_train/1620.jpg
1648,2,family_a16c0ab260e30b22,Travel,Backpacks,data/raw/teacher/train/images_train/1648.jpg
1656,1,family_681d12400213531e,Sports,Caps,data/raw/teacher/train/images_train/1656.jpg
1758,2,family_3404e567432e7e13,Sports,Jackets,data/raw/teacher/train/images_train/1758.jpg
1782,1,family_72b31cf00f8ab396,Sports,Sports Shoes,data/raw/teacher/train/images_train/1782.jpg
1800,2,family_e49ec846db7527df,Sports,Backpacks,data/raw/teacher/train/images_train/1800.jpg
1804,1,family_da28719dfd9c4da8,Sports,Shorts,data/raw/teacher/train/images_train/1804.jpg
1807,1,family_9589262630f775d9,Casual,Tshirts,data/raw/teacher/train/images_train/1807.jpg
1879,2,family_5f93230da0c7dd66,Casual,Tshirts,data/raw/teacher/train/images_train/1879.jpg
1916,2,family_c30c6b3aa67e27e0,Sports,Sports Shoes,data/raw/teacher/train/images_train/1916.jpg
1922,1,family_2c1f3f5f6523af84,Sports,Tshirts,data/raw/teacher/train/images_train/1922.jpg
1927,1,family_3d5d2c29712a9887,Sports,Backpacks,data/raw/teacher/train/images_train/1927.jpg
1936,1,family_3f46bdea034f311a,Sports,Backpacks,data/raw/teacher/train/images_train/1936.jpg
1989,3,family_9113b98df80f877c,Sports,Tshirts,data/raw/teacher/train/images_train/1989.jpg
2049,2,family_c7bf117459b94624,Sports,Tshirts,data/raw/teacher/train/images_train/2049.jpg
2108,3,family_0f70422e0f7cb2e5,Sports,Shorts,data/raw/teacher/train/images_train/2108.jpg
2118,1,family_1788c74b1c926286,Sports,Track Pants,data/raw/teacher/train/images_train/2118.jpg
2127,1,family_06ceef9715535b73,Casual,Shirts,data/raw/teacher/train/images_train/2127.jpg
2202,3,family_debe0627c254558a,Sports,Tshirts,data/raw/teacher/train/images_train/2202.jpg
2205,1,family_408311ba9b03d5d2,Sports,Tshirts,data/raw/teacher/train/images_train/2205.jpg
2207,3,family_c838df5335c1eba2,Sports,Tshirts,data/raw/teacher/train/images_train/2207.jpg
2215,1,family_7de25656de2fdb7d,Sports,Sandals,data/raw/teacher/train/images_train/2215.jpg
2235,3,family_b60300641c365f1d,Sports,Sandals,data/raw/teacher/train/images_train/2235.jpg
2246,2,family_36a1efbb5f1607a7,Sports,Backpacks,data/raw/teacher/train/images_train/2246.jpg
2264,2,family_314c8125db7e2d4c,Sports,Backpacks,data/raw/teacher/train/images_train/2264.jpg
2265,3,family_10fc5d072454fbc1,Sports,Tshirts,data/raw/teacher/train/images_train/2265.jpg
2272,3,family_7ab0d174946f7a44,Sports,Tshirts,data/raw/teacher/train/images_train/2272.jpg
2276,2,family_131127203c89e821,Sports,Tshirts,data/raw/teacher/train/images_train/2276.jpg
2282,2,family_71218e3cc6590d0a,Sports,Tshirts,data/raw/teacher/train/images_train/2282.jpg
2285,3,family_d8f548dedc438e25,Sports,Tshirts,data/raw/teacher/train/images_train/2285.jpg
2303,3,family_dc7b81fd2fff7f76,Sports,Tshirts,data/raw/teacher/train/images_train/2303.jpg
2319,2,family_4f272e2b15404e97,Sports,Tshirts,data/raw/teacher/train/images_train/2319.jpg
2322,2,family_63c5cd559eaf5679,Sports,Tshirts,data/raw/teacher/train/images_train/2322.jpg
2349,2,family_c29ee91a4bd5ffbe,Casual,Tshirts,data/raw/teacher/train/images_train/2349.jpg
2355,2,family_017ae987199a49a1,Sports,Footballs,data/raw/teacher/train/images_train/2355.jpg
2370,3,family_d0a8a882c042eea0,Formal,Formal Shoes,data/raw/teacher/train/images_train/2370.jpg
2373,3,family_aabe8732aabad9a7,Formal,Formal Shoes,data/raw/teacher/train/images_train/2373.jpg
2377,3,family_1a5de96b83081a02,Formal,Formal Shoes,data/raw/teacher/train/images_train/2377.jpg
2379,3,family_2bb0a71cf77521d5,Formal,Formal Shoes,data/raw/teacher/train/images_train/2379.jpg
2474,3,family_263522fa27768a70,Sports,Sports Shoes,data/raw/teacher/train/images_train/2474.jpg
2489,3,family_9a1cfcffdce419d6,Sports,Sports Shoes,data/raw/teacher/train/images_train/2489.jpg
2584,3,family_a1dc2a3800abc801,Sports,Track Pants,data/raw/teacher/train/images_train/2584.jpg
2616,1,family_3d216e1fd0323902,Sports,Flats,data/raw/teacher/train/images_train/2616.jpg
2637,2,family_4dc4e583a1ec69c4,Formal,Formal Shoes,data/raw/teacher/train/images_train/2637.jpg
2672,3,family_b11b916a54e9e274,Ethnic,Handbags,data/raw/teacher/train/images_train/2672.jpg
2724,1,family_b3152ebe9e7ee740,Casual,Tshirts,data/raw/teacher/train/images_train/2724.jpg
2823,3,family_bfaa492bc1eb6c25,Formal,Formal Shoes,data/raw/teacher/train/images_train/2823.jpg
2826,3,family_7d608decaea5ec08,Formal,Formal Shoes,data/raw/teacher/train/images_train/2826.jpg
2832,2,family_db5989a78dd31d0c,Casual,Casual Shoes,data/raw/teacher/train/images_train/2832.jpg
3067,3,family_77ac7d024218f4f3,Casual,Tshirts,data/raw/teacher/train/images_train/3067.jpg
3078,1,family_7ddc73742388547e,Casual,Tshirts,data/raw/teacher/train/images_train/3078.jpg
3152,1,family_b83d4086daad65f8,Sports,Sports Shoes,data/raw/teacher/train/images_train/3152.jpg
3167,2,family_dcd0ea5b0fea71aa,Sports,Sports Shoes,data/raw/teacher/train/images_train/3167.jpg
3175,2,family_cba8e6252ab5d5b8,Sports,Sports Shoes,data/raw/teacher/train/images_train/3175.jpg
3214,3,family_1ef3f6149e996293,Sports,Flip Flops,data/raw/teacher/train/images_train/3214.jpg
3237,1,family_078468f27b81b84b,Sports,Sports Shoes,data/raw/teacher/train/images_train/3237.jpg
3240,2,family_8e690b5f73876692,Sports,Sports Shoes,data/raw/teacher/train/images_train/3240.jpg
3245,2,family_7da08b799010a8dd,Casual,Casual Shoes,data/raw/teacher/train/images_train/3245.jpg
3252,3,family_9578b0e4a27925b1,Sports,Sports Shoes,data/raw/teacher/train/images_train/3252.jpg
3295,3,family_a1e1e86414fd481e,Sports,Sports Shoes,data/raw/teacher/train/images_train/3295.jpg
3309,2,family_cb2444adbea04590,Sports,Sports Shoes,data/raw/teacher/train/images_train/3309.jpg
3322,1,family_5b359f5fc2b1cbba,Sports,Tshirts,data/raw/teacher/train/images_train/3322.jpg
3330,2,family_896a19677bafa271,Sports,Tshirts,data/raw/teacher/train/images_train/3330.jpg
3363,2,family_0d59691515de478f,Casual,Tshirts,data/raw/teacher/train/images_train/3363.jpg
3366,1,family_0db1804a6beaabd4,Sports,Sports Shoes,data/raw/teacher/train/images_train/3366.jpg
3441,3,family_6b724a6630ccac9a,Sports,Tshirts,data/raw/teacher/train/images_train/3441.jpg
3446,3,family_62a728b0b2cb8efb,Sports,Tshirts,data/raw/teacher/train/images_train/3446.jpg
3468,1,family_11f4138f4d6ee3c5,Sports,Socks,data/raw/teacher/train/images_train/3468.jpg
3469,2,family_895ea7bfb9e6d993,Sports,Headband,data/raw/teacher/train/images_train/3469.jpg
3479,2,family_ce16559af2caf7bb,Sports,Tshirts,data/raw/teacher/train/images_train/3479.jpg
3490,3,family_22fefb3e2c6808a3,Sports,Sports Sandals,data/raw/teacher/train/images_train/3490.jpg
3507,3,family_736eb54066e30caa,Sports,Shorts,data/raw/teacher/train/images_train/3507.jpg
3556,3,family_df9b3513da966487,Casual,Casual Shoes,data/raw/teacher/train/images_train/3556.jpg
3567,2,family_7ab2883acc2a6841,Sports,Sports Shoes,data/raw/teacher/train/images_train/3567.jpg
3579,3,family_cc49091e6a3fa59a,Sports,Sports Shoes,data/raw/teacher/train/images_train/3579.jpg
3584,3,family_9955f4a562efd60e,Sports,Tshirts,data/raw/teacher/train/images_train/3584.jpg
3599,2,family_66849e29a8eb896b,Sports,Tshirts,data/raw/teacher/train/images_train/3599.jpg
3600,3,family_8b34042b7a96b3ba,Sports,Tshirts,data/raw/teacher/train/images_train/3600.jpg
3613,2,family_40d2273d85cf40f0,Sports,Tshirts,data/raw/teacher/train/images_train/3613.jpg
3614,1,family_cd2d7b379cbdcdfd,Sports,Tshirts,data/raw/teacher/train/images_train/3614.jpg
3615,3,family_120e52d7b556d767,Sports,Caps,data/raw/teacher/train/images_train/3615.jpg
3667,3,family_fc0acc74b0ae025e,Sports,Sports Shoes,data/raw/teacher/train/images_train/3667.jpg
3713,3,family_6581e4cbb8c4fb16,Casual,Tshirts,data/raw/teacher/train/images_train/3713.jpg
3732,3,family_1db2269b74d1467a,Sports,Tshirts,data/raw/teacher/train/images_train/3732.jpg
3733,3,family_d6c29d5bb1162b7b,Sports,Tshirts,data/raw/teacher/train/images_train/3733.jpg
3788,1,family_2c73b3b9ed664a18,Casual,Tshirts,data/raw/teacher/train/images_train/3788.jpg
3812,2,family_460143e6473f0614,Casual,Casual Shoes,data/raw/teacher/train/images_train/3812.jpg
3852,2,family_6c80d62adb987e5e,Casual,Tshirts,data/raw/teacher/train/images_train/3852.jpg
3869,2,family_83ba9bed955097ef,Casual,Tshirts,data/raw/teacher/train/images_train/3869.jpg
