target,view,rows,rows_match,truth_matches,f1_recomputed,f1_saved,difference
gender,foreground_masked_hog,4483,True,True,0.6814360724494042,0.6814360724494042,0.0
gender,grayscale_hog,4483,True,True,0.6752346928221282,0.6752346928221282,0.0
gender,full_rgb_hog,4483,True,True,0.6735552861596414,0.6735552861596414,0.0
gender,silhouette_hog,4483,True,True,0.661612281521446,0.661612281521446,0.0
gender,foreground_letterbox_hog,4483,True,True,0.6325568754837164,0.6325568754837164,0.0
gender,colour_summary,4483,True,True,0.5350755818199429,0.5350755818199429,0.0
gender,border_hog,4483,True,True,0.5081777958754986,0.5081777958754986,0.0
gender,global_geometry_colour,4483,True,True,0.4784268270034494,0.4784268270034494,0.0
usage,full_rgb_hog,4878,True,True,0.45405262475713987,0.4540526247571398,5.551115123125783e-17
usage,foreground_masked_hog,4878,True,True,0.44404936515322774,0.4440493651532277,5.551115123125783e-17
usage,grayscale_hog,4878,True,True,0.4314225800371849,0.4314225800371849,0.0
usage,foreground_letterbox_hog,4878,True,True,0.4275761725235576,0.4275761725235576,0.0
usage,silhouette_hog,4878,True,True,0.36460057943662844,0.3646005794366284,5.551115123125783e-17
usage,border_hog,4878,True,True,0.32390193073878837,0.3239019307387883,5.551115123125783e-17
usage,colour_summary,4878,True,True,0.30694852426250674,0.3069485242625067,5.551115123125783e-17
usage,global_geometry_colour,4878,True,True,0.2801643368872667,0.2801643368872667,0.0
