id,cv_fold,product_family_group,gender,usage,path
1559,3,family_1e797595727addd0,Unisex,Travel,data/raw/teacher/train/images_train/1559.jpg
1565,3,family_956b130106fbc089,Unisex,Travel,data/raw/teacher/train/images_train/1565.jpg
1598,2,family_191024c47d6c2b3c,Women,Travel,data/raw/teacher/train/images_train/1598.jpg
1648,2,family_a16c0ab260e30b22,Women,Travel,data/raw/teacher/train/images_train/1648.jpg
1902,2,family_489ca219174f91b4,Men,Sports,data/raw/teacher/train/images_train/1902.jpg
2108,3,family_0f70422e0f7cb2e5,Men,Sports,data/raw/teacher/train/images_train/2108.jpg
2245,2,family_e0b372a86dbfe71b,Women,Sports,data/raw/teacher/train/images_train/2245.jpg
2246,2,family_36a1efbb5f1607a7,Unisex,Sports,data/raw/teacher/train/images_train/2246.jpg
2276,2,family_131127203c89e821,Men,Sports,data/raw/teacher/train/images_train/2276.jpg
2300,3,family_98bb353115990cbd,Women,Sports,data/raw/teacher/train/images_train/2300.jpg
2704,1,family_6abb9da0b9c1fe2f,Girls,Casual,data/raw/teacher/train/images_train/2704.jpg
2730,3,family_8fe57443675ecebf,Girls,Casual,data/raw/teacher/train/images_train/2730.jpg
2982,3,family_466386c747aaa69c,Women,Casual,data/raw/teacher/train/images_train/2982.jpg
3103,2,family_05550bc685f04599,Men,Casual,data/raw/teacher/train/images_train/3103.jpg
3131,1,family_656d5be9b8439710,Men,Casual,data/raw/teacher/train/images_train/3131.jpg
3254,2,family_d67e8edaa3a287c3,Women,Casual,data/raw/teacher/train/images_train/3254.jpg
3295,3,family_a1e1e86414fd481e,Men,Sports,data/raw/teacher/train/images_train/3295.jpg
3469,2,family_895ea7bfb9e6d993,Unisex,Sports,data/raw/teacher/train/images_train/3469.jpg
3574,1,family_a6266efa66a73664,Women,Casual,data/raw/teacher/train/images_train/3574.jpg
3588,1,family_52d77984d95c7488,Unisex,Casual,data/raw/teacher/train/images_train/3588.jpg
3620,3,family_c9666ca719574009,Women,Casual,data/raw/teacher/train/images_train/3620.jpg
3798,2,family_d8de98b4e1b98ee1,Men,Casual,data/raw/teacher/train/images_train/3798.jpg
3819,2,family_f7cb9b960a2452c5,Girls,Casual,data/raw/teacher/train/images_train/3819.jpg
3825,3,family_32948fbafc29b36f,Unisex,Casual,data/raw/teacher/train/images_train/3825.jpg
3834,3,family_b0f40e2bace115cb,Girls,Casual,data/raw/teacher/train/images_train/3834.jpg
3862,2,family_327d4637793ef4b0,Men,Casual,data/raw/teacher/train/images_train/3862.jpg
3897,3,family_75d93dbee6612095,Girls,Casual,data/raw/teacher/train/images_train/3897.jpg
3904,2,family_b281e0d9a45943ce,Girls,Casual,data/raw/teacher/train/images_train/3904.jpg
4007,2,family_5b2b722628c243e0,Unisex,Sports,data/raw/teacher/train/images_train/4007.jpg
4009,3,family_019209346a558b1c,Unisex,Casual,data/raw/teacher/train/images_train/4009.jpg
4119,3,family_a31497a11dc922de,Unisex,Casual,data/raw/teacher/train/images_train/4119.jpg
4123,3,family_c25b5a63510f96f2,Unisex,Casual,data/raw/teacher/train/images_train/4123.jpg
4180,2,family_3b96b9d2dc7cd7d3,Men,Smart Casual,data/raw/teacher/train/images_train/4180.jpg
4181,3,family_9faccbe3b88a40c4,Men,Smart Casual,data/raw/teacher/train/images_train/4181.jpg
4191,2,family_892cdff2d3d3f619,Boys,Casual,data/raw/teacher/train/images_train/4191.jpg
4202,1,family_b68f7a167ad7b17c,Boys,Casual,data/raw/teacher/train/images_train/4202.jpg
4279,3,family_b45048bf83d0e17f,Men,Formal,data/raw/teacher/train/images_train/4279.jpg
4283,3,family_13138993ff1ce9cb,Men,Formal,data/raw/teacher/train/images_train/4283.jpg
4342,3,family_e04f657e2abda0d5,Men,Sports,data/raw/teacher/train/images_train/4342.jpg
4358,1,family_e4dcce8e6a465149,Men,Casual,data/raw/teacher/train/images_train/4358.jpg
4454,1,family_4fef435542047269,Men,Casual,data/raw/teacher/train/images_train/4454.jpg
4465,2,family_5bebfc2ba621db4c,Boys,Casual,data/raw/teacher/train/images_train/4465.jpg
4599,3,family_5779cc39462de115,Unisex,Casual,data/raw/teacher/train/images_train/4599.jpg
4601,3,family_1c0a41630b5cac33,Unisex,Travel,data/raw/teacher/train/images_train/4601.jpg
4602,1,family_f18c99b3daa260d7,Unisex,Travel,data/raw/teacher/train/images_train/4602.jpg
4714,1,family_5aec55001b8d9dd8,Unisex,Sports,data/raw/teacher/train/images_train/4714.jpg
4729,3,family_919c68ff757c3fe5,Boys,Casual,data/raw/teacher/train/images_train/4729.jpg
4783,1,family_67deb854909b0e04,Women,Sports,data/raw/teacher/train/images_train/4783.jpg
4796,1,family_ae46bd6ed6ba612b,Men,Sports,data/raw/teacher/train/images_train/4796.jpg
4851,1,family_5588ef6ef806acb1,Women,Sports,data/raw/teacher/train/images_train/4851.jpg
5198,1,family_9b33321408c0602e,Men,Casual,data/raw/teacher/train/images_train/5198.jpg
5374,2,family_1b8f39475cb531e8,Men,Sports,data/raw/teacher/train/images_train/5374.jpg
5377,3,family_aa4109a073057cef,Unisex,Sports,data/raw/teacher/train/images_train/5377.jpg
5414,1,family_2c7faf8d14fde249,Girls,Casual,data/raw/teacher/train/images_train/5414.jpg
5445,1,family_3eac69e760d9ec57,Men,Casual,data/raw/teacher/train/images_train/5445.jpg
5457,2,family_56a5ec9c037f2945,Men,Sports,data/raw/teacher/train/images_train/5457.jpg
5486,3,family_e316e58e56a661b2,Boys,Casual,data/raw/teacher/train/images_train/5486.jpg
5571,2,family_6ac49669e238276d,Men,Sports,data/raw/teacher/train/images_train/5571.jpg
5622,3,family_a61b2b1a2ff6e5dd,Women,Casual,data/raw/teacher/train/images_train/5622.jpg
5628,1,family_24ddfbbb780c9417,Men,Casual,data/raw/teacher/train/images_train/5628.jpg
5659,1,family_93f5dbaef3e79022,Men,Casual,data/raw/teacher/train/images_train/5659.jpg
5744,2,family_dae81895ba463473,Men,Sports,data/raw/teacher/train/images_train/5744.jpg
6007,1,family_26479677d11644f9,Men,Casual,data/raw/teacher/train/images_train/6007.jpg
6429,2,family_2790e3f70d0addbe,Unisex,Casual,data/raw/teacher/train/images_train/6429.jpg
6835,1,family_1caca1f2422580ca,Unisex,NA,data/raw/teacher/train/images_train/6835.jpg
6836,3,family_6da57e02084e6145,Unisex,NA,data/raw/teacher/train/images_train/6836.jpg
6837,3,family_463ffc4d4be10831,Unisex,NA,data/raw/teacher/train/images_train/6837.jpg
6838,1,family_37bb3ec91d1e7458,Unisex,NA,data/raw/teacher/train/images_train/6838.jpg
6855,3,family_fd0d5cf8daff925c,Men,Sports,data/raw/teacher/train/images_train/6855.jpg
6895,3,family_27ab80d8b293b536,Women,Casual,data/raw/teacher/train/images_train/6895.jpg
6948,1,family_137ff590f6f44fab,Women,Casual,data/raw/teacher/train/images_train/6948.jpg
7088,1,family_db6797530d09c488,Unisex,Casual,data/raw/teacher/train/images_train/7088.jpg
7113,1,family_e02be5962e51741e,Unisex,Travel,data/raw/teacher/train/images_train/7113.jpg
7124,3,family_4d378aa7873acb30,Unisex,Casual,data/raw/teacher/train/images_train/7124.jpg
7227,2,family_7a866153fcd1a9ed,Men,Formal,data/raw/teacher/train/images_train/7227.jpg
7499,2,family_4427dc2e32a1d099,Women,Sports,data/raw/teacher/train/images_train/7499.jpg
7722,1,family_d21753641f9e0831,Men,Casual,data/raw/teacher/train/images_train/7722.jpg
7772,1,family_d6abff9cdd9a14c5,Unisex,Casual,data/raw/teacher/train/images_train/7772.jpg
7853,1,family_a69a7896a1cbdcea,Unisex,Sports,data/raw/teacher/train/images_train/7853.jpg
7932,3,family_d2150586010e3b31,Women,Sports,data/raw/teacher/train/images_train/7932.jpg
8163,2,family_d91eb7d94d3fbb1e,Men,Casual,data/raw/teacher/train/images_train/8163.jpg
8182,3,family_30e9c9f71470191b,Men,Casual,data/raw/teacher/train/images_train/8182.jpg
8356,2,family_5d10801e95a05cfb,Boys,Casual,data/raw/teacher/train/images_train/8356.jpg
8636,1,family_d2fea184642c1e7e,Unisex,Casual,data/raw/teacher/train/images_train/8636.jpg
