query_id,query_label,articleType,kind,reference_id,reference_label,cosine_similarity,query_path,reference_path
1559,Travel,Backpacks,same_label,1565,Travel,0.837631344795227,data/raw/teacher/train/images_train/1559.jpg,data/raw/teacher/train/images_train/1565.jpg
1559,Travel,Backpacks,different_label,7091,Casual,0.6977983713150024,data/raw/teacher/train/images_train/1559.jpg,data/raw/teacher/train/images_train/7091.jpg
1565,Travel,Backpacks,same_label,1559,Travel,0.837631344795227,data/raw/teacher/train/images_train/1565.jpg,data/raw/teacher/train/images_train/1559.jpg
1565,Travel,Backpacks,different_label,7091,Casual,0.7027270197868347,data/raw/teacher/train/images_train/1565.jpg,data/raw/teacher/train/images_train/7091.jpg
1598,Travel,Handbags,same_label,35828,Travel,0.30031126737594604,data/raw/teacher/train/images_train/1598.jpg,data/raw/teacher/train/images_train/35828.jpg
1598,Travel,Handbags,different_label,36509,Casual,0.6979432702064514,data/raw/teacher/train/images_train/1598.jpg,data/raw/teacher/train/images_train/36509.jpg
1648,Travel,Backpacks,same_label,1565,Travel,0.6932295560836792,data/raw/teacher/train/images_train/1648.jpg,data/raw/teacher/train/images_train/1565.jpg
1648,Travel,Backpacks,different_label,5257,Casual,0.7859022617340088,data/raw/teacher/train/images_train/1648.jpg,data/raw/teacher/train/images_train/5257.jpg
4180,Smart Casual,Formal Shoes,same_label,4181,Smart Casual,0.8749110698699951,data/raw/teacher/train/images_train/4180.jpg,data/raw/teacher/train/images_train/4181.jpg
4180,Smart Casual,Formal Shoes,different_label,47199,Formal,0.847434937953949,data/raw/teacher/train/images_train/4180.jpg,data/raw/teacher/train/images_train/47199.jpg
4181,Smart Casual,Formal Shoes,same_label,4180,Smart Casual,0.8749110698699951,data/raw/teacher/train/images_train/4181.jpg,data/raw/teacher/train/images_train/4180.jpg
4181,Smart Casual,Formal Shoes,different_label,47199,Formal,0.8766201734542847,data/raw/teacher/train/images_train/4181.jpg,data/raw/teacher/train/images_train/47199.jpg
4601,Travel,Rucksacks,same_label,38962,Travel,0.7733530402183533,data/raw/teacher/train/images_train/4601.jpg,data/raw/teacher/train/images_train/38962.jpg
4602,Travel,Backpacks,same_label,1648,Travel,0.6623050570487976,data/raw/teacher/train/images_train/4602.jpg,data/raw/teacher/train/images_train/1648.jpg
4602,Travel,Backpacks,different_label,43569,Casual,0.7459619641304016,data/raw/teacher/train/images_train/4602.jpg,data/raw/teacher/train/images_train/43569.jpg
6835,NA,Shoe Accessories,same_label,6837,NA,0.5455548763275146,data/raw/teacher/train/images_train/6835.jpg,data/raw/teacher/train/images_train/6837.jpg
6836,NA,Shoe Accessories,same_label,12451,NA,0.7256089448928833,data/raw/teacher/train/images_train/6836.jpg,data/raw/teacher/train/images_train/12451.jpg
6837,NA,Shoe Accessories,same_label,6838,NA,0.8690657019615173,data/raw/teacher/train/images_train/6837.jpg,data/raw/teacher/train/images_train/6838.jpg
6838,NA,Shoe Accessories,same_label,6837,NA,0.8690657019615173,data/raw/teacher/train/images_train/6838.jpg,data/raw/teacher/train/images_train/6837.jpg
7113,Travel,Rucksacks,same_label,38962,Travel,0.7377098798751831,data/raw/teacher/train/images_train/7113.jpg,data/raw/teacher/train/images_train/38962.jpg
9024,NA,Sandals,different_label,23296,Casual,0.7707786560058594,data/raw/teacher/train/images_train/9024.jpg,data/raw/teacher/train/images_train/23296.jpg
9752,Smart Casual,Shirts,same_label,19429,Smart Casual,0.7645827531814575,data/raw/teacher/train/images_train/9752.jpg,data/raw/teacher/train/images_train/19429.jpg
9752,Smart Casual,Shirts,different_label,14738,Formal,0.8105211853981018,data/raw/teacher/train/images_train/9752.jpg,data/raw/teacher/train/images_train/14738.jpg
10277,Smart Casual,Formal Shoes,same_label,4181,Smart Casual,0.7931406497955322,data/raw/teacher/train/images_train/10277.jpg,data/raw/teacher/train/images_train/4181.jpg
10277,Smart Casual,Formal Shoes,different_label,10302,Formal,0.8485268950462341,data/raw/teacher/train/images_train/10277.jpg,data/raw/teacher/train/images_train/10302.jpg
11324,Smart Casual,Trousers,different_label,39807,Formal,0.892045259475708,data/raw/teacher/train/images_train/11324.jpg,data/raw/teacher/train/images_train/39807.jpg
12447,NA,Shoe Accessories,same_label,12448,NA,0.585132360458374,data/raw/teacher/train/images_train/12447.jpg,data/raw/teacher/train/images_train/12448.jpg
12448,NA,Shoe Accessories,same_label,12447,NA,0.585132360458374,data/raw/teacher/train/images_train/12448.jpg,data/raw/teacher/train/images_train/12447.jpg
