model,fold,class,support,predicted,tp,recall,f1
usage_E2,all,Casual,25151,26066,23861,0.9487097928511788,0.9317609387508053
usage_E2,all,Ethnic,2183,2063,1813,0.8305084745762712,0.8539802166745172
usage_E2,all,Formal,1949,1773,1444,0.7408927655207799,0.7759269210102095
usage_E2,all,Home,1,0,0,0.0,0.0
usage_E2,all,NA,61,26,10,0.16393442622950818,0.22988505747126436
usage_E2,all,Party,12,1,0,0.0,0.0
usage_E2,all,Smart Casual,47,5,0,0.0,0.0
usage_E2,all,Sports,3346,2831,2085,0.6231320980274955,0.6750849927149102
usage_E2,all,Travel,22,7,3,0.13636363636363635,0.20689655172413793
usage_E2,0,Casual,5037,5121,4733,0.9396466150486401,0.9318763536129159
usage_E2,0,Ethnic,438,440,376,0.8584474885844748,0.856492027334852
usage_E2,0,Formal,383,367,291,0.7597911227154047,0.776
usage_E2,0,Home,0,0,0,,0.0
usage_E2,0,NA,11,3,1,0.09090909090909091,0.14285714285714285
usage_E2,0,Party,3,0,0,0.0,0.0
usage_E2,0,Smart Casual,9,1,0,0.0,0.0
usage_E2,0,Sports,668,618,440,0.6586826347305389,0.6842923794712286
usage_E2,0,Travel,4,3,1,0.25,0.2857142857142857
usage_E2,1,Casual,5031,5248,4793,0.9526933015305108,0.9325809903687129
usage_E2,1,Ethnic,436,411,368,0.8440366972477065,0.8689492325855962
usage_E2,1,Formal,387,344,282,0.7286821705426356,0.771545827633379
usage_E2,1,Home,0,0,0,,0.0
usage_E2,1,NA,14,7,2,0.14285714285714285,0.19047619047619047
usage_E2,1,Party,2,0,0,0.0,0.0
usage_E2,1,Smart Casual,10,1,0,0.0,0.0
usage_E2,1,Sports,671,545,409,0.6095380029806259,0.6726973684210527
usage_E2,1,Travel,5,0,0,0.0,0.0
usage_E2,2,Casual,5031,5223,4770,0.9481216457960644,0.930368636629608
usage_E2,2,Ethnic,436,403,347,0.7958715596330275,0.8271752085816448
usage_E2,2,Formal,390,347,291,0.7461538461538462,0.7896879240162822
usage_E2,2,Home,0,0,0,,0.0
usage_E2,2,NA,13,6,4,0.3076923076923077,0.42105263157894735
usage_E2,2,Party,2,1,0,0.0,0.0
usage_E2,2,Smart Casual,9,0,0,0.0,0.0
usage_E2,2,Sports,668,570,416,0.6227544910179641,0.6720516962843296
usage_E2,2,Travel,4,3,1,0.25,0.2857142857142857
usage_E2,3,Casual,5024,5181,4762,0.9478503184713376,0.9332680058794709
usage_E2,3,Ethnic,438,416,372,0.8493150684931506,0.8711943793911007
usage_E2,3,Formal,393,372,300,0.7633587786259542,0.7843137254901961
usage_E2,3,Home,0,0,0,,0.0
usage_E2,3,NA,12,4,0,0.0,0.0
usage_E2,3,Party,2,0,0,0.0,0.0
usage_E2,3,Smart Casual,10,2,0,0.0,0.0
usage_E2,3,Sports,669,577,422,0.6307922272047832,0.6773675762439807
usage_E2,3,Travel,5,1,1,0.2,0.3333333333333333
usage_E2,4,Casual,5028,5293,4803,0.9552505966587113,0.9307237670768337
usage_E2,4,Ethnic,435,393,350,0.8045977011494253,0.8454106280193237
usage_E2,4,Formal,396,343,280,0.7070707070707071,0.7577807848443843
usage_E2,4,Home,1,0,0,0.0,0.0
usage_E2,4,NA,11,6,3,0.2727272727272727,0.35294117647058826
usage_E2,4,Party,3,0,0,0.0,0.0
usage_E2,4,Smart Casual,9,1,0,0.0,0.0
usage_E2,4,Sports,670,521,398,0.5940298507462687,0.6683459277917716
usage_E2,4,Travel,4,0,0,0.0,0.0
usage_E3,all,Casual,25151,26199,23930,0.9514532225358833,0.9320350535540409
usage_E3,all,Ethnic,2183,2058,1809,0.8286761337608796,0.8531006838009904
usage_E3,all,Formal,1949,1813,1463,0.7506413545407902,0.7777777777777778
usage_E3,all,Home,1,0,0,0.0,0.0
usage_E3,all,NA,61,22,11,0.18032786885245902,0.26506024096385544
usage_E3,all,Party,12,1,0,0.0,0.0
usage_E3,all,Smart Casual,47,9,1,0.02127659574468085,0.03571428571428571
usage_E3,all,Sports,3346,2664,2005,0.5992229527794382,0.6672212978369384
usage_E3,all,Travel,22,6,3,0.13636363636363635,0.21428571428571427
usage_E3,0,Casual,5037,5184,4763,0.9456025411951559,0.9320027394579786
usage_E3,0,Ethnic,438,428,369,0.8424657534246576,0.8521939953810623
usage_E3,0,Formal,383,372,292,0.762402088772846,0.7735099337748345
usage_E3,0,Home,0,0,0,,0.0
usage_E3,0,NA,11,6,3,0.2727272727272727,0.35294117647058826
usage_E3,0,Party,3,0,0,0.0,0.0
usage_E3,0,Smart Casual,9,3,1,0.1111111111111111,0.16666666666666666
usage_E3,0,Sports,668,559,411,0.6152694610778443,0.6699266503667481
usage_E3,0,Travel,4,1,1,0.25,0.4
usage_E3,1,Casual,5031,5264,4806,0.9552772808586762,0.9336571151044196
usage_E3,1,Ethnic,436,411,371,0.8509174311926605,0.8760330578512396
usage_E3,1,Formal,387,347,282,0.7286821705426356,0.7683923705722071
usage_E3,1,Home,0,0,0,,0.0
usage_E3,1,NA,14,3,2,0.14285714285714285,0.23529411764705882
usage_E3,1,Party,2,0,0,0.0,0.0
usage_E3,1,Smart Casual,10,1,0,0.0,0.0
usage_E3,1,Sports,671,529,400,0.5961251862891207,0.6666666666666666
usage_E3,1,Travel,5,1,0,0.0,0.0
usage_E3,2,Casual,5031,5300,4807,0.9554760484993043,0.9305972316329494
usage_E3,2,Ethnic,436,393,354,0.8119266055045872,0.8540410132689988
usage_E3,2,Formal,390,361,295,0.7564102564102564,0.7856191744340879
usage_E3,2,Home,0,0,0,,0.0
usage_E3,2,NA,13,5,3,0.23076923076923078,0.3333333333333333
usage_E3,2,Party,2,0,0,0.0,0.0
usage_E3,2,Smart Casual,9,3,0,0.0,0.0
usage_E3,2,Sports,668,488,369,0.5523952095808383,0.6384083044982699
usage_E3,2,Travel,4,3,1,0.25,0.2857142857142857
usage_E3,3,Casual,5024,5202,4776,0.9506369426751592,0.9340895755916292
usage_E3,3,Ethnic,438,413,363,0.8287671232876712,0.8531139835487661
usage_E3,3,Formal,393,379,308,0.7837150127226463,0.7979274611398963
usage_E3,3,Home,0,0,0,,0.0
usage_E3,3,NA,12,3,0,0.0,0.0
usage_E3,3,Party,2,1,0,0.0,0.0
usage_E3,3,Smart Casual,10,2,0,0.0,0.0
usage_E3,3,Sports,669,552,418,0.624813153961136,0.6846846846846847
usage_E3,3,Travel,5,1,1,0.2,0.3333333333333333
usage_E3,4,Casual,5028,5249,4778,0.9502784407319014,0.9298433394959619
