model,fold,slice,value,rows,errors,error_rate,wrong_confidence
usage_E2,0,usage_type_status,exception,726,336,0.4628099173553719,0.8093549034226191
usage_E2,0,usage_type_status,unsupported,1,0,0.0,
usage_E2,0,usage_type_status,usual,5826,375,0.06436663233779605,0.7566701017066666
usage_E2,1,usage_type_status,exception,645,334,0.5178294573643412,0.8355514546706588
usage_E2,1,usage_type_status,unsupported,4,0,0.0,
usage_E2,1,usage_type_status,usual,5907,368,0.06229896732690032,0.7680447413315218
usage_E2,2,usage_type_status,exception,648,316,0.48765432098765427,0.8374943419303797
usage_E2,2,usage_type_status,unsupported,5,0,0.0,
usage_E2,2,usage_type_status,usual,5900,408,0.06915254237288138,0.7553556916666667
usage_E2,3,usage_type_status,exception,681,307,0.4508076358296622,0.8261993517589576
usage_E2,3,usage_type_status,unsupported,5,4,0.8,0.974494255
usage_E2,3,usage_type_status,usual,5867,385,0.0656212715186637,0.7451439205454546
usage_E2,4,usage_type_status,exception,659,321,0.48710166919575115,0.8289929010903425
usage_E2,4,usage_type_status,unsupported,4,2,0.5,0.7790441850000001
usage_E2,4,usage_type_status,usual,5894,400,0.06786562606040036,0.7776460305750001
usage_E2,0,mixed_family,False,6323,642,0.10153408192313773,0.7794134592679127
usage_E2,0,mixed_family,True,230,69,0.30000000000000004,0.8016100701449277
usage_E2,1,mixed_family,False,6321,606,0.0958709065021357,0.7959631116171617
usage_E2,1,mixed_family,True,235,96,0.4085106382978724,0.8266771357291667
usage_E2,2,mixed_family,False,6299,649,0.1030322273376727,0.786696013898305
usage_E2,2,mixed_family,True,254,75,0.29527559055118113,0.8302349497333333
usage_E2,3,mixed_family,False,6314,619,0.09803611023123215,0.7797596120840065
usage_E2,3,mixed_family,True,239,77,0.32217573221757323,0.801953084935065
usage_E2,4,mixed_family,False,6283,651,0.10361292376253384,0.8028043252534564
usage_E2,4,mixed_family,True,274,72,0.26277372262773724,0.7791334181944445
usage_E2,0,brightness_band,1,1664,210,0.12620192307692313,0.8005890313809524
usage_E2,0,brightness_band,2,1619,156,0.09635577516985794,0.7827516073717948
usage_E2,0,brightness_band,3,1596,159,0.09962406015037595,0.7661180601886793
usage_E2,0,brightness_band,4,1674,186,0.11111111111111116,0.7723054665591398
usage_E2,1,brightness_band,1,1675,190,0.11343283582089547,0.8051386580526317
usage_E2,1,brightness_band,2,1644,174,0.1058394160583942,0.7880888349999999
usage_E2,1,brightness_band,3,1567,172,0.1097638800255265,0.8122858551744185
usage_E2,1,brightness_band,4,1670,166,0.09940119760479038,0.7945643449397589
usage_E2,2,brightness_band,1,1624,200,0.12315270935960587,0.7935863706499999
usage_E2,2,brightness_band,2,1658,188,0.11338962605548852,0.785286687819149
usage_E2,2,brightness_band,3,1720,176,0.10232558139534886,0.7902960015909092
usage_E2,2,brightness_band,4,1551,160,0.10315925209542232,0.7961879158125
usage_E2,3,brightness_band,1,1615,178,0.1102167182662539,0.7780821543820224
usage_E2,3,brightness_band,2,1671,186,0.11131059245960506,0.7903560565053765
usage_E2,3,brightness_band,3,1627,168,0.1032575291948371,0.7911036292261904
usage_E2,3,brightness_band,4,1640,164,0.09999999999999998,0.768361754390244
usage_E2,4,brightness_band,1,1615,184,0.11393188854489167,0.7774728115217391
usage_E2,4,brightness_band,2,1604,170,0.1059850374064838,0.8230202381764706
