model,fold,rows,coverage_of_fold,raw_error_matched_scope,standardized_error,strata
usage_E2,0,6525,0.995727147871204,0.10513409961685827,0.10192926727333329,8
usage_E2,1,6521,0.9946613788895668,0.10320502990338909,0.10478146938967581,8
usage_E2,2,6520,0.9949641385624904,0.10751533742331287,0.1089395980407245,8
usage_E2,3,6523,0.9954219441477186,0.1024068680055189,0.1019433812722671,8
usage_E2,4,6527,0.995424736922373,0.10694040140952965,0.10719239943700754,8
usage_E3,0,6525,0.995727147871204,0.10590038314176242,0.10309516626026072,8
usage_E3,1,6521,0.9946613788895668,0.10213157491182334,0.1035046652867404,8
usage_E3,2,6520,0.9949641385624904,0.1073619631901841,0.10863264298926156,8
usage_E3,3,6523,0.9954219441477186,0.10102713475394753,0.10053553831014828,8
usage_E3,4,6527,0.995424736922373,0.10816607936264744,0.10830547116473077,8
usage_E8,0,6525,0.995727147871204,0.10559386973180074,0.10339242642737811,8
usage_E8,1,6521,0.9946613788895668,0.11056586413126823,0.1121881083531856,8
usage_E8,2,6520,0.9949641385624904,0.10966257668711654,0.11125980296710525,8
usage_E8,3,6523,0.9954219441477186,0.10623946037099496,0.10567371643682932,8
usage_E8,4,6527,0.995424736922373,0.1096981768040447,0.1100478528649469,8
usage_E9,0,6525,0.995727147871204,0.16367816091954024,0.16373829102705983,8
usage_E9,1,6521,0.9946613788895668,0.1593313908909676,0.15980315425377778,8
usage_E9,2,6520,0.9949641385624904,0.1595092024539877,0.1603866985091651,8
usage_E9,3,6523,0.9954219441477186,0.15223056875670704,0.1521031452552838,8
usage_E9,4,6527,0.995424736922373,0.16607936264746437,0.16626897056282242,8
