model,target,folds,pooled_f1,train_mean,val_mean,train_source,gap,best_to_final_f1_drop,loss_min_epoch,last_minus_min_val_loss,late_train_gain,late_val_gain
g-e1,gender,5,0.7117526877,0.9988119082837222,0.711667937073355,online training,0.2871439712103673,0.011096088581904206,"5,3,4,6,4",0.11284856662587547,0.0817481155310954,0.21703474621976193
g-e2,gender,5,0.6988984,0.9919675005455973,0.6988325090750038,online training,0.2931349914705935,0.00619457499207805,"17,9,13,3,6",0.08801353041774707,0.10128775837905976,0.2039117222040137
g-e3,gender,5,0.7081139,0.9994368765902534,0.7078584138685806,finished model,0.29157846272167276,0.0092498169346529,"4,6,4,3,5",0.16212961250398078,0.0664448453851892,0.23368832948825888
g-e4,gender,5,0.7120786,0.9999688548513832,0.7120224570382546,finished model,0.2879463978131286,0.0072766322669553405,"5,3,2,7,6",0.2638008134963242,0.0009840157303929065,0.016575249502266343
g-e5,gender,5,0.7068535,0.8723339655623601,0.7069151481490494,finished model,0.16541881741331066,0.009345625560711123,"29,22,22,26,20",0.0025368815701487745,0.09407622438396619,0.07999875990180165
g-e6,gender,5,0.7335206,0.9999533274537711,0.7333458287698088,finished model,0.2666074986839623,0.007980833279836586,"6,12,12,10,5",0.0840813509352915,0.003597103647995614,0.023430509890273753
g-e7,gender,5,0.702517,1.0,0.7017934109501633,finished model,0.29820658904983666,0.006377489665572123,"3,3,3,2,2",0.2748175298097505,0.0030058041701494843,0.016966637920210782
g-e8,gender,5,0.7411986,0.9992865156546802,0.7410555320164617,finished model,0.2582309836382185,0.008131891004936453,"5,10,12,12,6",0.08302639385030994,0.005713305955266734,0.024836916145371313
g-e9,gender,5,0.7450845,0.9999532885261369,0.7451044984947113,finished model,0.2548487900314256,0.00896193857136438,"6,6,6,12,7",0.09506905669723352,0.004737950134520519,0.010614210290348725
g-e10,gender,5,0.7268771,0.9999688950477464,0.7268209930673238,finished model,0.2731479019804226,0.015825981883981034,"5,9,7,9,6",0.11459953525029798,0.01442497534481082,0.025881522841680372
g-hog,gender,2,0.6607654816652765,0.8534868365604658,0.6605685563794663,finished model,0.19291828018099944,,,,,
g-swin,gender,2,0.6846634219949939,0.999857017240074,0.684818145388348,finished model,0.3150388718517261,0.018439626558768962,"12,12",0.5163361309667444,0.05987465849405099,-0.0020188251123791634
u-e1,usage,5,0.3738,0.6546399991110587,0.37412410118874184,online training,0.2805158979223169,0.008490378072312255,"7,13,10,8,6",0.08924243688478327,0.21068291802327646,0.08611517662104358
u-e2,usage,5,0.4081705,0.9384890443737846,0.4043158107960319,online training,0.5341732335777527,0.005529218547580606,"7,8,9,12,10",0.18860186151686703,0.15903062185045996,0.054015226711957944
u-e3,usage,5,0.4161328,0.929076885713304,0.41401786882617325,finished model,0.5150590168871307,0.007648086712006419,"9,15,7,12,11",0.2890425989771858,0.1700879032423771,0.05872522500517409
u-e4,usage,5,0.3878204,0.9761929682223063,0.38577869732378683,finished model,0.5904142708985194,0.018120506047835293,"8,6,7,3,4",0.803676015601123,0.026266802374958376,-0.00026380518733036816
u-e5,usage,5,0.4048638,0.9419769301751824,0.40328054298141386,finished model,0.5386963871937684,0.020232302913630883,"7,8,25,29,26",0.04192880533056016,0.13280188478937072,0.0338264443699333
u-e6,usage,5,0.4093852,0.9373019355016382,0.4056476188976741,finished model,0.5316543166039641,0.011268855764494434,"7,8,7,12,11",0.2530139719740047,0.16605484267128595,0.042896134665765064
u-e7,usage,5,0.3450941,0.6838461662437518,0.3474059182108515,finished model,0.33644024803290035,0.006371755529596757,"7,12,14,12,17",0.22867304415210982,0.2644803692210457,0.03049323003747432
u-e8,usage,5,0.4193932,0.7905295270807444,0.4155488975993727,finished model,0.37498062948137173,0.015298107723240962,"16,18,24,16,15",0.07479464650151105,0.19894117700688682,0.057173686762120104
u-e9,usage,5,0.3955233,0.7775043901657999,0.39465729882575357,finished model,0.3828470913400463,0.0035864078594575522,"18,14,15,14,24",0.09391122314694922,0.2406868688713118,0.116650205163592
u-type,usage,2,0.3193236363096896,0.3814794942450082,0.3194148766073789,finished model,0.06206461763762933,,,,,
u-swin,usage,2,0.3972980414558151,0.9435085405539629,0.39616704892546273,finished model,0.5473414916285002,0.0203815707300892,"8,8",1.1386004821317541,0.0850267271787431,-0.0016812834707131408
t3_gender_v2_g1_foreground_mask,gender,2,0.7295373647213312,0.9999610810150616,0.7296632286534621,finished model,0.27029785236159953,0.0074935969129216184,"5,4",0.09520063182961755,0.0034277294099140376,0.0157323384006553
t3_gender_v2_g2_translation,gender,2,0.7457260919007412,0.9938652707431026,0.7454798140413059,finished model,0.24838545670179668,0.008853064457242266,"30,19",0.0009273816628886933,0.06929253918293965,0.02244580061599144
t3_gender_v2_g3_component_weight,gender,2,0.7244733280435899,0.9999610313183638,0.7243860375769573,finished model,0.2755749937414065,0.011253618415806244,"12,9",0.10049390448344436,0.003835269213899206,0.030241106060148515
t3_usage_v2_u1_component_weight,usage,2,0.4137951063370886,0.9085690616716761,0.40985650456902234,finished model,0.4987125571026537,0.027863818923021144,"10,11",0.2986428850645864,0.14410400332556045,0.05396563971384055
G2-five-fold,gender,5,0.7502173957741934,0.9944350487489564,0.7502437447487192,finished model,0.24419130400023714,0.013290403361092662,"29,20,24,30,19",0.0013929136001971543,0.07359276589230986,0.027765798652675054
