source_id,row_index,product_id,metadata_group,teacher_article_type_candidate,source_occasion,root_category,name,source_image_url,image_urls,source_product_url,training_status
9df847b248bfd13282a9e90e5061f042,18052,BKPE4GF4HMYZRQAM,flipkart_meta_0c880f034fc8128b,Backpacks,Casual,"Bags, Wallets & Belts",Leaf Tork 2.5 L Medium Backpack,http://img6a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4k9wbhfeynxj.jpeg,"[""http://img6a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4k9wbhfeynxj.jpeg"", ""http://img5a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4k9wbhfeynxj.jpeg"", ""http://img5a.flixcart.com/image/backpack/s/h/3/2000044886-leaf-backpack-speak-original-imae4gyqdm3cdpjd.jpeg"", ""http://img5a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4k9wc2vjzuvt.jpeg"", ""http://img6a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4cg7gb7pfrgj.jpeg"", ""http://img5a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4k9wywzqaevu.jpeg""]",http://www.flipkart.com/leaf-tork-2-5-l-medium-backpack/p/itme4gf4cqephasf?pid=BKPE4GF4HMYZRQAM,not_admitted_metadata_candidate_only
7a7e587d3344885bdb8c77f8b7679483,68,BELEG6KUK6ZBFTZJ,flipkart_meta_735ba2241243bb26,Belts,Casual,"Bags, Wallets & Belts",Vermello Men Casual Brown Genuine Leather Belt,http://img6a.flixcart.com/image/belt/t/e/8/40-g7001brn-vermello-belt-g7001brn40-original-imaeg66zgu9vpjr5.jpeg,"[""http://img6a.flixcart.com/image/belt/t/e/8/40-g7001brn-vermello-belt-g7001brn40-original-imaeg66zgu9vpjr5.jpeg"", ""http://img6a.flixcart.com/image/belt/z/6/d/36-g7001brn-vermello-belt-g7001brn36-original-imaeg66zfptr4hbm.jpeg"", ""http://img5a.flixcart.com/image/belt/a/y/h/38-g7001brn-vermello-belt-g7001brn38-original-imaeg66zxdcjhypz.jpeg"", ""http://img5a.flixcart.com/image/belt/z/6/d/36-g7001brn-vermello-belt-g7001brn36-original-imaeg66zcgbzhvmz.jpeg""]",http://www.flipkart.com/vermello-men-casual-brown-genuine-leather-belt/p/itmeg6kudk9mhguj?pid=BELEG6KUK6ZBFTZJ,not_admitted_metadata_candidate_only
2d79e42c09ec9b4c2a7c0c434e048d15,5387,BZREEA4MHGKY7UHX,flipkart_meta_f19c8e31e2b09a62,Blazers,Casual,Clothing,Allen Solly Solid Single Breasted Casual Boy's Blazer,http://img6a.flixcart.com/image/blazer/u/h/x/akbjk515039-allen-solly-10-11-years-1000x1000-imaedctcj2bj6pfm.jpeg,"[""http://img6a.flixcart.com/image/blazer/u/h/x/akbjk515039-allen-solly-10-11-years-1000x1000-imaedctcj2bj6pfm.jpeg"", ""http://img6a.flixcart.com/image/blazer/u/h/x/akbjk515039-allen-solly-10-11-years-original-imaedctcj2bj6pfm.jpeg"", ""http://img6a.flixcart.com/image/blazer/u/h/x/akbjk515039-allen-solly-3-4-years-original-imaedctcd5vb75va.jpeg""]",http://www.flipkart.com/allen-solly-solid-single-breasted-casual-boy-s-blazer/p/itmedffgy9vxkxat?pid=BZREEA4MHGKY7UHX,not_admitted_metadata_candidate_only
4381becc988cca74c6d8de64454c672f,17704,BXREDW5MZKQCAHX5,flipkart_meta_e411910ad5991442,Boxers,Casual,Clothing,Bodycare Checkered Boy's Boxer,http://img5a.flixcart.com/image/boxer/n/d/z/2056hj-bodycare-9-10-years-original-imaedtpbqrzuzqgt.jpeg,"[""http://img5a.flixcart.com/image/boxer/n/d/z/2056hj-bodycare-9-10-years-original-imaedtpbqrzuzqgt.jpeg"", ""http://img6a.flixcart.com/image/boxer/n/d/z/2056hj-bodycare-9-10-years-original-imaedtpbqrzuzqgt.jpeg"", ""http://img5a.flixcart.com/image/boxer/n/d/z/2056hj-bodycare-3-4-years-original-imaedtpbbrdmdhyz.jpeg""]",http://www.flipkart.com/bodycare-checkered-boy-s-boxer/p/itmedw5muppkwyzf?pid=BXREDW5MZKQCAHX5,not_admitted_metadata_candidate_only
ef1adf16193e8d768c431fd2d7a29c08,2500,BRAEAQMASWQEFZHF,flipkart_meta_88f8671f082e5f2d,Bra,Casual,Clothing,Itsmuahlife by ItsMuahLife - Dazzle Women's Full Coverage Bra,http://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg,"[""http://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg"", ""http://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbdu7ps25cf.jpeg"", ""http://img6a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbcjpwzcsyh.jpeg"", ""http://img6a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbdg2xr963t.jpeg"", ""http://img6a.flixcart.com/image/bra/z/h/f/deepali-itsmuahlife-38-original-imaeaqbc7pkgjujb.jpeg"", ""http://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqmadzuszy8t.jpeg""]",http://www.flipkart.com/itsmuahlife-dazzle-women-s-full-coverage-bra/p/itmeaqmathqdjvjd?pid=BRAEAQMASWQEFZHF,not_admitted_metadata_candidate_only
943edc302a39d9890f339ce4710504fd,10282,BRFE9QY4U9PZGVRH,flipkart_meta_edc4f6d8288b6e96,Briefs,Casual,Clothing,Njoy Boy's KBP1 Brief,http://img6a.flixcart.com/image/panty/j/3/j/fnj-kgp1-njoy-kids-original-imae9zj5xpaecbpb.jpeg,"[""http://img6a.flixcart.com/image/panty/j/3/j/fnj-kgp1-njoy-kids-original-imae9zj5xpaecbpb.jpeg"", ""http://img5a.flixcart.com/image/panty/j/3/j/fnj-kgp1-njoy-kids-original-imae9zj5n7ht5zt9.jpeg""]",http://www.flipkart.com/njoy-boy-s-kbp1-brief/p/itme9qy4bmndk7cz?pid=BRFE9QY4U9PZGVRH,not_admitted_metadata_candidate_only
2627a94cf30f400b24fcd234f121c56b,15208,CSPEBDSAKJNFRWHH,flipkart_meta_b76c112afa7c71f3,Camisoles,Casual,Clothing,Yati Women's Camisole,http://img6a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-1000x1000-imaebdgmcz82cdub.jpeg,"[""http://img6a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-1000x1000-imaebdgmcz82cdub.jpeg"", ""http://img5a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-original-imaebdgmcz82cdub.jpeg"", ""http://img5a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-original-imaebdgnfstpezu3.jpeg"", ""http://img6a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-original-imaebdgpyjh2pxgt.jpeg"", ""http://img6a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-original-imaebdgpqsxrbh6z.jpeg"", ""http://img5a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-original-imaebdgqkpdxc8vh.jpeg""]",http://www.flipkart.com/yati-women-s-camisole/p/itmebdsa5hk4ztsg?pid=CSPEBDSAKJNFRWHH,not_admitted_metadata_candidate_only
90a502c4ae5ac90fe3f9ef54f4a4a5a7,10418,TFHEHXJUQFKNGGC2,flipkart_meta_4a916556beb1295b,Capris,Casual,Clothing,V3iShop Animal Print Women's Three Fourths,http://img6a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-l-original-imaehsttyjqhtdu5.jpeg,"[""http://img6a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-l-original-imaehsttyjqhtdu5.jpeg"", ""http://img5a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-l-original-imaehsttyjqhtdu5.jpeg"", ""http://img6a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-xl-original-imaehsttxus6khx9.jpeg"", ""http://img6a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-xl-original-imaehsttp8n9auyh.jpeg"", ""http://img6a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-xl-original-imaehsttpecysv2t.jpeg""]",http://www.flipkart.com/v3ishop-animal-print-women-s-three-fourths/p/itmehxjunbkp7m4b?pid=TFHEHXJUQFKNGGC2,not_admitted_metadata_candidate_only
f83f188e2c8f51f766de0932b353c4dc,7792,SHOEFECFFYBYP9QR,flipkart_meta_41a89c1c5c1e7132,Casual Shoes,Ethnic,Footwear,Imlee Mojaris,http://img5a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-39-original-imaefd68pzahj9z6.jpeg,"[""http://img5a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-39-original-imaefd68pzahj9z6.jpeg"", ""http://img5a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-39-original-imaefd68geg99ub3.jpeg"", ""http://img6a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-37-original-imaefd689fayufax.jpeg"", ""http://img6a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-39-original-imaefd688hdghax4.jpeg"", ""http://img6a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-41-original-imaefd68ztxqwhca.jpeg""]",http://www.flipkart.com/imlee-mojaris/p/itmefecfxeefsmp5?pid=SHOEFECFFYBYP9QR,not_admitted_metadata_candidate_only
5b38bf069bd6a3294ce880c00c4c8c4c,1871,SNDEEH86ZXCVMR8D,flipkart_meta_e1416735765dc95d,Flats,Ethnic,Footwear,Stop by Shoppers Stop Women Flats,http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-38-1000x1000-imaeegvftrpdafbd.jpeg,"[""http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-38-1000x1000-imaeegvftrpdafbd.jpeg"", ""http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-38-original-imaeegvftrpdafbd.jpeg"", ""http://img5a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-36-original-imaeegvfxjnzhtyw.jpeg"", ""http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-39-original-imaeegvfzgzgggne.jpeg"", ""http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-39-original-imaeegvfnnkpyvmg.jpeg"", ""http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-37-original-imaeegvfzaswyypd.jpeg""]",http://www.flipkart.com/stop-shoppers-women-flats/p/itmeeh867a9zegwz?pid=SNDEEH86ZXCVMR8D,not_admitted_metadata_candidate_only
