product_id,source_occasion,teacher_article_type_candidate,source_url,usable,reused,local_path,sha256,width,height,dhash_hex,ahash_hex,http_status,final_url,content_type,error,attempts_json
BKPE4GF4HMYZRQAM,Casual,Backpacks,http://img6a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4k9wbhfeynxj.jpeg,True,False,data/raw/external/flipkart_products_v1/access_sample/168687e905d745ca9657.image,2a744fda8a5db1f21ef6ae21566da75f27f198cdb80f2701931a04ef09e47dc0,743,968,1e070f131b070d07,fff3c1c1c1c080c1,200,http://img6a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4k9wbhfeynxj.jpeg,image/jpeg,,"[{""request_url"": ""http://img6a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4k9wbhfeynxj.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/backpack/q/a/m/2000044884-leaf-backpack-tork-original-imae4k9wbhfeynxj.jpeg"", ""content_type"": ""image/jpeg"", ""bytes_read"": 156352, ""error"": """"}]"
BELEG6KUK6ZBFTZJ,Casual,Belts,http://img6a.flixcart.com/image/belt/t/e/8/40-g7001brn-vermello-belt-g7001brn40-original-imaeg66zgu9vpjr5.jpeg,True,False,data/raw/external/flipkart_products_v1/access_sample/99a42d027a16a0f59254.image,e1c3bb3bc5b5193623580591698c2e33e5e55d47a5f88547f2e8894be4ab49ad,898,796,01070fc7dbdb5f0f,fde001014343c3c7,200,http://img6a.flixcart.com/image/belt/t/e/8/40-g7001brn-vermello-belt-g7001brn40-original-imaeg66zgu9vpjr5.jpeg,image/jpeg,,"[{""request_url"": ""http://img6a.flixcart.com/image/belt/t/e/8/40-g7001brn-vermello-belt-g7001brn40-original-imaeg66zgu9vpjr5.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/belt/t/e/8/40-g7001brn-vermello-belt-g7001brn40-original-imaeg66zgu9vpjr5.jpeg"", ""content_type"": ""image/jpeg"", ""bytes_read"": 138464, ""error"": """"}]"
BZREEA4MHGKY7UHX,Casual,Blazers,http://img6a.flixcart.com/image/blazer/u/h/x/akbjk515039-allen-solly-10-11-years-1000x1000-imaedctcj2bj6pfm.jpeg,True,False,data/raw/external/flipkart_products_v1/access_sample/78e16945c72625c798b4.image,d83136148f927d31687b7fda8591cd10f2935ab46e99b40efb801dc155dced23,1000,829,298c173345949616,ffffc3810040c3c3,200,http://img6a.flixcart.com/image/blazer/u/h/x/akbjk515039-allen-solly-10-11-years-1000x1000-imaedctcj2bj6pfm.jpeg,image/jpeg,,"[{""request_url"": ""http://img6a.flixcart.com/image/blazer/u/h/x/akbjk515039-allen-solly-10-11-years-1000x1000-imaedctcj2bj6pfm.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/blazer/u/h/x/akbjk515039-allen-solly-10-11-years-1000x1000-imaedctcj2bj6pfm.jpeg"", ""content_type"": ""image/jpeg"", ""bytes_read"": 131408, ""error"": """"}]"
BXREDW5MZKQCAHX5,Casual,Boxers,http://img5a.flixcart.com/image/boxer/n/d/z/2056hj-bodycare-9-10-years-original-imaedtpbqrzuzqgt.jpeg,True,False,data/raw/external/flipkart_products_v1/access_sample/09dd042d58aa6ce22a05.image,a08d8d4d4b46856ed90b00685cebd5a8e00a2ca2eef414ff95eb83ba10bc2fa9,1050,2320,754d4d7161494d51,bd8100ffff800019,200,http://img5a.flixcart.com/image/boxer/n/d/z/2056hj-bodycare-9-10-years-original-imaedtpbqrzuzqgt.jpeg,image/jpeg,,"[{""request_url"": ""http://img5a.flixcart.com/image/boxer/n/d/z/2056hj-bodycare-9-10-years-original-imaedtpbqrzuzqgt.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img5a.flixcart.com/image/boxer/n/d/z/2056hj-bodycare-9-10-years-original-imaedtpbqrzuzqgt.jpeg"", ""content_type"": ""image/jpeg"", ""bytes_read"": 555778, ""error"": """"}]"
BRAEAQMASWQEFZHF,Casual,Bra,http://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg,False,False,,,,,,,403,https://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg,text/html,403 Client Error: Forbidden for url: https://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg,"[{""request_url"": ""http://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 404, ""final_url"": ""http://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg"", ""content_type"": ""text/html; charset=ISO-8859-1"", ""bytes_read"": 0, ""error"": ""404 Client Error: Not Found for url: http://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg""}, {""request_url"": ""https://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg"", ""scheme_only_upgrade"": true, ""http_status"": 403, ""final_url"": ""https://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg"", ""content_type"": ""text/html"", ""bytes_read"": 0, ""error"": ""403 Client Error: Forbidden for url: https://img5a.flixcart.com/image/bra/f/5/k/deepali-itsmuahlife-34-original-imaeaqbch6yxuam9.jpeg""}]"
BRFE9QY4U9PZGVRH,Casual,Briefs,http://img6a.flixcart.com/image/panty/j/3/j/fnj-kgp1-njoy-kids-original-imae9zj5xpaecbpb.jpeg,True,False,data/raw/external/flipkart_products_v1/access_sample/d0d49b19eba445c4a6ee.image,6b7f60065ba992fbf39fee84b43df2f79bf3cdfa2836f61a72353f73081d3fed,513,972,3e673b2b2b331107,87838383c1c1c1e1,200,http://img6a.flixcart.com/image/panty/j/3/j/fnj-kgp1-njoy-kids-original-imae9zj5xpaecbpb.jpeg,image/jpeg,,"[{""request_url"": ""http://img6a.flixcart.com/image/panty/j/3/j/fnj-kgp1-njoy-kids-original-imae9zj5xpaecbpb.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/panty/j/3/j/fnj-kgp1-njoy-kids-original-imae9zj5xpaecbpb.jpeg"", ""content_type"": ""image/jpeg"", ""bytes_read"": 71030, ""error"": """"}]"
CSPEBDSAKJNFRWHH,Casual,Camisoles,http://img6a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-1000x1000-imaebdgmcz82cdub.jpeg,True,False,data/raw/external/flipkart_products_v1/access_sample/1b2c4af0e344add449f7.image,e8fb1d48f0d5434202b32dc514d8e52dfc7f8a18691c68424c34e988a63413e3,1000,876,6d6d6d6e6e6f6c69,b5b5bf1f173f2034,200,http://img6a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-1000x1000-imaebdgmcz82cdub.jpeg,image/jpeg,,"[{""request_url"": ""http://img6a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-1000x1000-imaebdgmcz82cdub.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/camisole-slip/w/h/h/red-yellow-grey-yati-l-1000x1000-imaebdgmcz82cdub.jpeg"", ""content_type"": ""image/jpeg"", ""bytes_read"": 179687, ""error"": """"}]"
TFHEHXJUQFKNGGC2,Casual,Capris,http://img6a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-l-original-imaehsttyjqhtdu5.jpeg,True,False,data/raw/external/flipkart_products_v1/access_sample/a1a649a22e66d80975b8.image,a0bc1af4077a5b95d8e806aa2e59da62b29f22031b435226eb9e6bfe6ace4b33,1144,3166,061707168e0f0f0c,e7c1c1c3c3c3e7e7,200,http://img6a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-l-original-imaehsttyjqhtdu5.jpeg,image/jpeg,,"[{""request_url"": ""http://img6a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-l-original-imaehsttyjqhtdu5.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/three-fourth/8/g/g/vicl019-v3ishop-l-original-imaehsttyjqhtdu5.jpeg"", ""content_type"": ""image/jpeg"", ""bytes_read"": 322200, ""error"": """"}]"
SHOEFECFFYBYP9QR,Ethnic,Casual Shoes,http://img5a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-39-original-imaefd68pzahj9z6.jpeg,True,False,data/raw/external/flipkart_products_v1/access_sample/7b2d26afdd6083d5ac3f.image,3750be5b1531470abb1dfc860d8222648f0bbdde9f34359f1eab309c07cb6e09,1102,592,786e713e7f198923,3f3f1f0f03c0e0f1,200,http://img5a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-39-original-imaefd68pzahj9z6.jpeg,image/jpeg,,"[{""request_url"": ""http://img5a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-39-original-imaefd68pzahj9z6.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img5a.flixcart.com/image/shoe/a/t/6/blue-yellow-cr-17-ae-imlee-39-original-imaefd68pzahj9z6.jpeg"", ""content_type"": ""image/jpeg"", ""bytes_read"": 95745, ""error"": """"}]"
SNDEEH86ZXCVMR8D,Ethnic,Flats,http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-38-1000x1000-imaeegvftrpdafbd.jpeg,True,False,data/raw/external/flipkart_products_v1/access_sample/bc3b54dc7988675f0298.image,f9283a7a96fdc25e40fbe43dd0bd57923e9fd82f3d06ec158ae2a4dcbfa05ba8,693,1000,6d77262e2c970101,bf070387c7c1e0f8,200,http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-38-1000x1000-imaeegvftrpdafbd.jpeg,image/jpeg,,"[{""request_url"": ""http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-38-1000x1000-imaeegvftrpdafbd.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/sandal/g/q/m/brown-a15flstdorabr-stop-by-shoppers-stop-38-1000x1000-imaeegvftrpdafbd.jpeg"", ""content_type"": ""image/jpeg"", ""bytes_read"": 134853, ""error"": """"}]"
