product_id,source_url,sampling_stratum,usable,local_path,sha256,width,height,dhash_hex,ahash_hex,attempts_json,http_status,final_url,content_type,error
TSHEF3Z3U8BATN3Z,http://img5a.flixcart.com/image/t-shirt/n/e/c/hst-1010-light-grey-f-ninja-turtles-s-original-imaeffby53vvtazn.jpeg,root:Clothing,True,data/raw/external/flipkart_products_v1/access_sample/f9b3c99b9d17eb271323.image,fb3c81cefa055fe99c3ca4134a7b74b0117b4ee02e3a5a1ca7f19351c1e6792d,784,1568,4e0f0f4d70650799,e3e7e7a4beb5c1c0,"[{""request_url"": ""http://img5a.flixcart.com/image/t-shirt/n/e/c/hst-1010-light-grey-f-ninja-turtles-s-original-imaeffby53vvtazn.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img5a.flixcart.com/image/t-shirt/n/e/c/hst-1010-light-grey-f-ninja-turtles-s-original-imaeffby53vvtazn.jpeg"", ""content_type"": ""image/jpeg"", ""error"": """", ""bytes_read"": 153074}]",200,http://img5a.flixcart.com/image/t-shirt/n/e/c/hst-1010-light-grey-f-ninja-turtles-s-original-imaeffby53vvtazn.jpeg,image/jpeg,
BRAEBQGSZFRHGT8Y,http://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg,root:Clothing,False,,,,,,,"[{""request_url"": ""http://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 404, ""final_url"": ""http://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg"", ""content_type"": ""text/html; charset=ISO-8859-1"", ""error"": ""404 Client Error: Not Found for url: http://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg"", ""bytes_read"": 0}, {""request_url"": ""https://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg"", ""scheme_only_upgrade"": true, ""http_status"": 403, ""final_url"": ""https://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg"", ""content_type"": ""text/html"", ""error"": ""403 Client Error: Forbidden for url: https://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg"", ""bytes_read"": 0}]",403,https://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg,text/html,403 Client Error: Forbidden for url: https://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg
TIEEDZZJNZVNZ8UG,http://img6a.flixcart.com/image/tie/8/u/g/b54-classique-l-original-imaean3ksjzyeuyu.jpeg,root:Clothing,True,data/raw/external/flipkart_products_v1/access_sample/2271917920c25c1cbcf2.image,7d17158a4583d555babe0f175a03469facd085e80f30bfc1386d0ad6e0230eff,2920,2027,617135353171c813,fc180000103cffff,"[{""request_url"": ""http://img6a.flixcart.com/image/tie/8/u/g/b54-classique-l-original-imaean3ksjzyeuyu.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/tie/8/u/g/b54-classique-l-original-imaean3ksjzyeuyu.jpeg"", ""content_type"": ""image/jpeg"", ""error"": """", ""bytes_read"": 349486}]",200,http://img6a.flixcart.com/image/tie/8/u/g/b54-classique-l-original-imaean3ksjzyeuyu.jpeg,image/jpeg,
SNDE8HPWZAQXVGGK,http://img5a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3wwa8xwg4.jpeg,root:Footwear,True,data/raw/external/flipkart_products_v1/access_sample/10c7b40f2d975f29b606.image,b56ec086542b499e3378cfd5f3fdfbf038e97b2882d2778640b49b2becec27ed,1297,536,4e0e0e2e23839103,f7838787c3c1e0e1,"[{""request_url"": ""http://img5a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3wwa8xwg4.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img5a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3wwa8xwg4.jpeg"", ""content_type"": ""image/jpeg"", ""error"": """", ""bytes_read"": 194265}]",200,http://img5a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3wwa8xwg4.jpeg,image/jpeg,
SHODXYYHVHYDQ5YN,http://img5a.flixcart.com/image/shoe/k/c/h/black-ap-df-armstrong-safety-42-original-imadxyywkc7sdhdh.jpeg,root:Footwear,True,data/raw/external/flipkart_products_v1/access_sample/4469427f58f4fb2f45e6.image,6d8398e54686cdfde3bd1f86ebb700053105da6bd65292204189dd0cdaa6a9a2,2115,2548,2747037355657107,fbf3f1f9810100e1,"[{""request_url"": ""http://img5a.flixcart.com/image/shoe/k/c/h/black-ap-df-armstrong-safety-42-original-imadxyywkc7sdhdh.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img5a.flixcart.com/image/shoe/k/c/h/black-ap-df-armstrong-safety-42-original-imadxyywkc7sdhdh.jpeg"", ""content_type"": ""image/jpeg"", ""error"": """", ""bytes_read"": 714001}]",200,http://img5a.flixcart.com/image/shoe/k/c/h/black-ap-df-armstrong-safety-42-original-imadxyywkc7sdhdh.jpeg,image/jpeg,
SNDE28TSTBZUGG8M,http://img6a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-1100x1360-imae2w9mxewgbqg9.jpeg,root:Footwear,True,data/raw/external/flipkart_products_v1/access_sample/b363e00d173ff74027e3.image,0f6199134458cb915ab0263f929f140a113c595e016333453f96ef1e1f47c51e,1100,628,70b60f2d270b9b07,ff57838581c1c1e3,"[{""request_url"": ""http://img6a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-1100x1360-imae2w9mxewgbqg9.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-1100x1360-imae2w9mxewgbqg9.jpeg"", ""content_type"": ""image/jpeg"", ""error"": """", ""bytes_read"": 147336}]",200,http://img6a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-1100x1360-imae2w9mxewgbqg9.jpeg,image/jpeg,
NKCE2W3WMZYFWMRP,http://img5a.flixcart.com/image/necklace-chain/m/r/p/dadel20384-voylla-necklace-original-imae2tykdwzkwaaa.jpeg,root:Jewellery,True,data/raw/external/flipkart_products_v1/access_sample/2406bb30fbad62bde32f.image,6339bf7f5fc3a579fdc669c9322e800428e433b040b8e11fad12eb4f8206c17c,687,1144,8880c0c455692332,ffff7e7e3c3d99c3,"[{""request_url"": ""http://img5a.flixcart.com/image/necklace-chain/m/r/p/dadel20384-voylla-necklace-original-imae2tykdwzkwaaa.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img5a.flixcart.com/image/necklace-chain/m/r/p/dadel20384-voylla-necklace-original-imae2tykdwzkwaaa.jpeg"", ""content_type"": ""image/jpeg"", ""error"": """", ""bytes_read"": 62535}]",200,http://img5a.flixcart.com/image/necklace-chain/m/r/p/dadel20384-voylla-necklace-original-imae2tykdwzkwaaa.jpeg,image/jpeg,
NKCEAUR33ZA8MDMG,http://img6a.flixcart.com/image/necklace-chain/d/m/g/es1401-eshoppee-necklace-original-imae8f6tdpwdywpm.jpeg,root:Jewellery,True,data/raw/external/flipkart_products_v1/access_sample/4292a7fb22bdd9154855.image,b836e8dae2fc312c0a539f02b4d6abebcc4604027b56eddf79f31a6051d29686,3900,5396,b333bb23269d191c,dddddd9b83c7c7ef,"[{""request_url"": ""http://img6a.flixcart.com/image/necklace-chain/d/m/g/es1401-eshoppee-necklace-original-imae8f6tdpwdywpm.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/necklace-chain/d/m/g/es1401-eshoppee-necklace-original-imae8f6tdpwdywpm.jpeg"", ""content_type"": ""image/jpeg"", ""error"": """", ""bytes_read"": 645566}]",200,http://img6a.flixcart.com/image/necklace-chain/d/m/g/es1401-eshoppee-necklace-original-imae8f6tdpwdywpm.jpeg,image/jpeg,
JWSEDN9PYHCVCPUH,http://img6a.flixcart.com/image/jewellery-set/p/u/h/fv00271-fashionvalley-original-imaedn54pzuy7fzj.jpeg,root:Jewellery,True,data/raw/external/flipkart_products_v1/access_sample/f17fdd20280cdf954abe.image,ff888c3c94f061b910ac3d5a8effd034e485beed5b782a97907d6cfa5b804ccc,1767,1939,0e4d6d3333939623,e3838581c3c3c381,"[{""request_url"": ""http://img6a.flixcart.com/image/jewellery-set/p/u/h/fv00271-fashionvalley-original-imaedn54pzuy7fzj.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 200, ""final_url"": ""http://img6a.flixcart.com/image/jewellery-set/p/u/h/fv00271-fashionvalley-original-imaedn54pzuy7fzj.jpeg"", ""content_type"": ""image/jpeg"", ""error"": """", ""bytes_read"": 444466}]",200,http://img6a.flixcart.com/image/jewellery-set/p/u/h/fv00271-fashionvalley-original-imaedn54pzuy7fzj.jpeg,image/jpeg,
WATDWGAHG7AHMW6Y,http://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg,root:Watches,False,,,,,,,"[{""request_url"": ""http://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg"", ""scheme_only_upgrade"": false, ""http_status"": 404, ""final_url"": ""http://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg"", ""content_type"": ""text/html; charset=ISO-8859-1"", ""error"": ""404 Client Error: Not Found for url: http://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg"", ""bytes_read"": 0}, {""request_url"": ""https://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg"", ""scheme_only_upgrade"": true, ""http_status"": 403, ""final_url"": ""https://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg"", ""content_type"": ""text/html"", ""error"": ""403 Client Error: Forbidden for url: https://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg"", ""bytes_read"": 0}]",403,https://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg,text/html,403 Client Error: Forbidden for url: https://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg
