product_id,source_id,row_index,root_category,name,occasions,image_urls,sampling_stratum
TSHEF3Z3U8BATN3Z,f840fae182a3902150096532b6f99351,14454,Clothing,Ninja Turtles Printed Men's Round Neck T-Shirt,"[""Casual""]","[""http://img5a.flixcart.com/image/t-shirt/n/e/c/hst-1010-light-grey-f-ninja-turtles-s-original-imaeffby53vvtazn.jpeg"", ""http://img6a.flixcart.com/image/t-shirt/n/e/c/hst-1010-light-grey-f-ninja-turtles-s-original-imaeffby53vvtazn.jpeg"", ""http://img5a.flixcart.com/image/t-shirt/n/e/c/hst-1010-light-grey-f-ninja-turtles-s-original-imaeffbzeh7k3ksc.jpeg"", ""http://img6a.flixcart.com/image/t-shirt/n/e/c/hst-1010-light-grey-f-ninja-turtles-m-original-imaeffbycxdy3mbv.jpeg"", ""http://img6a.flixcart.com/image/t-shirt/n/e/c/hst-1010-light-grey-f-ninja-turtles-s-original-imaeffbzxtpschq7.jpeg""]",root:Clothing
BRAEBQGSZFRHGT8Y,badbc887165d631fdcaa9cf9f490bfb0,10136,Clothing,Clovia Non Padded Women's Full Coverage Bra,"[""Casual""]","[""http://img5a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcaxxhznhps.jpeg"", ""http://img6a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcazxzs3z9c.jpeg"", ""http://img6a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrca8zxef8gv.jpeg"", ""http://img6a.flixcart.com/image/bra/q/g/z/brf236p12-clovia-42c-original-imaebrcayrvupnze.jpeg""]",root:Clothing
TIEEDZZJNZVNZ8UG,8bbdabdc3378f0c804cc20c22f264a60,11481,Clothing,Classique Solid Tie,[],"[""http://img6a.flixcart.com/image/tie/8/u/g/b54-classique-l-original-imaean3ksjzyeuyu.jpeg"", ""http://img5a.flixcart.com/image/tie/8/u/g/b54-classique-l-original-imaean3ksjzyeuyu.jpeg"", ""http://img5a.flixcart.com/image/tie/8/u/g/b54-classique-l-original-imaean3kjz7s7kea.jpeg""]",root:Clothing
SNDE8HPWZAQXVGGK,fdf9e16a0082088b7184eddb1ff2f260,14899,Footwear,Mochi Women Flats,"[""Casual""]","[""http://img5a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3wwa8xwg4.jpeg"", ""http://img6a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3wwa8xwg4.jpeg"", ""http://img6a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3v92g8duz.jpeg"", ""http://img6a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3wbnx5fec.jpeg"", ""http://img6a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3yj3fcyzg.jpeg"", ""http://img5a.flixcart.com/image/sandal/d/h/k/11-black-32-7172-mochi-42-original-imae8gd3fz2nzcae.jpeg""]",root:Footwear
SHODXYYHVHYDQ5YN,5b662857aed31a99169c422b0f88210d,15728,Footwear,Armstrong Safety Defender Safety Boots,"[""Casual""]","[""http://img5a.flixcart.com/image/shoe/k/c/h/black-ap-df-armstrong-safety-42-original-imadxyywkc7sdhdh.jpeg"", ""http://img5a.flixcart.com/image/shoe/k/c/h/black-ap-df-armstrong-safety-42-original-imadxyywgmtg5mnz.jpeg"", ""http://img6a.flixcart.com/image/shoe/k/c/h/black-ap-df-armstrong-safety-42-original-imadxyyw2gvgypw2.jpeg"", ""http://img5a.flixcart.com/image/shoe/k/c/h/black-ap-df-armstrong-safety-42-original-imadxyywack6kuhh.jpeg"", ""http://img5a.flixcart.com/image/shoe/y/t/x/black-ap-vo-armstrong-46-original-imadxyywz8dxdbhz.jpeg""]",root:Footwear
SNDE28TSTBZUGG8M,5a3b00fd5ef69041b64246e51e79effc,11622,Footwear,Catwalk Women Heels,[],"[""http://img6a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-1100x1360-imae2w9mxewgbqg9.jpeg"", ""http://img6a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-original-imae2w9mxewgbqg9.jpeg"", ""http://img5a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-original-imae2w9musu5hmzy.jpeg"", ""http://img6a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-original-imae2w9mrt9ugfnf.jpeg"", ""http://img6a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-original-imae2w9mhetzve9g.jpeg"", ""http://img5a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-original-imae2w9mtyvys6ew.jpeg"", ""http://img6a.flixcart.com/image/sandal/s/t/n/black-6412-catwalk-8-original-imae2w9m5jay67un.jpeg""]",root:Footwear
NKCE2W3WMZYFWMRP,3cf34c0e85f721a88ff09746038be92e,4753,Jewellery,Voylla Silver Plated Alloy Necklace,[],"[""http://img5a.flixcart.com/image/necklace-chain/m/r/p/dadel20384-voylla-necklace-original-imae2tykdwzkwaaa.jpeg"", ""http://img6a.flixcart.com/image/necklace-chain/m/r/p/dadel20384-voylla-necklace-original-imae2tykp4z6cvjd.jpeg""]",root:Jewellery
NKCEAUR33ZA8MDMG,6ed72318439eab4e25c5484a42e91efd,6911,Jewellery,Eshoppee Sai Nath Metal Necklace,"[""Everyday""]","[""http://img6a.flixcart.com/image/necklace-chain/d/m/g/es1401-eshoppee-necklace-original-imae8f6tdpwdywpm.jpeg""]",root:Jewellery
JWSEDN9PYHCVCPUH,7361b0c3c3c26b4c26e55a7a7fca3362,13190,Jewellery,"Fashionvalley Crystal, Acrylic, Metal Jewel Set","[""Wedding and Engagement, Everyday""]","[""http://img6a.flixcart.com/image/jewellery-set/p/u/h/fv00271-fashionvalley-original-imaedn54pzuy7fzj.jpeg"", ""http://img5a.flixcart.com/image/jewellery-set/p/u/h/fv00271-fashionvalley-original-imaedn542dqwq8tx.jpeg"", ""http://img6a.flixcart.com/image/jewellery-set/p/u/h/fv00271-fashionvalley-original-imaedn555cctejz2.jpeg""]",root:Jewellery
WATDWGAHG7AHMW6Y,97fba8a02361aa56eaa9fa51bc1d7661,9036,Watches,Sonata 8925YM06 Analog Watch  - For Women,[],"[""http://img6a.flixcart.com/image/watch/w/6/y/8925ym06-sonata-original-imaeyphwkzreqvac.jpeg""]",root:Watches
